"Animal_ID","Bin","Area","Mean","IntDen","RawIntDen","source_file","Image","Genotype","Sex","Age"
"L57343-2M",1,2031.577,10.045,20406.49,63211,"C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
"L57343-2M",2,3952.747,12.865,50852.388,157520,"C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
"L57343-2M",3,4775.644,9.871,47140.797,146023,"C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
"L57343-2M",4,4256.531,9.706,41315.951,127980,"C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
"L57343-2M",5,4533.197,10.199,46232.672,143210,"C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
"L57343-2M",6,2542.619,11.499,29236.572,90563,"C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
"L57343-2M",7,1852.406,12.185,22571.397,69917,"C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
"L57343-2M",8,1277.444,12.696,16219.045,50240,"C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
"L57343-2M",9,678.914,14.262,9682.68,29993,"C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
"L57343-2M",10,29.7,15.793,469.074,1453,"C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
"L57343-2M",11,25930.779,10.957,284127.066,880110,"C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
"L57343-3M",1,2482.886,11.767,29217.032,90797,"C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S2R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S2R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","WT","M",30
"L57343-3M",2,1697.089,12.105,20542.698,63840,"C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-3M_S2R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-3M_S2R_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","WT","M",30
