"Animal_ID","Bin","Area","Mean","IntDen","RawIntDen","source_file","Image","Genotype","Sex","Age"
"L57343-2M",1,1964.106,4.276,8397.811,26013,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
"L57343-2M",2,3707.072,3.888,14412.158,44643,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
"L57343-2M",3,4416.978,2.871,12680.168,39278,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
"L57343-2M",4,3905.29,2.824,11026.626,34156,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
"L57343-2M",5,4158.713,2.941,12231.756,37889,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
"L57343-2M",6,2353.763,3.089,7270.161,22520,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
"L57343-2M",7,1744.258,2.948,5141.734,15927,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
"L57343-2M",8,1169.295,3.021,3532.743,10943,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
"L57343-2M",9,630.167,3.357,2115.514,6553,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
"L57343-2M",10,29.378,4.341,127.518,395,"C4-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv"," 20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif","KO","M",30
