 ,Area,Mean,IntDen,RawIntDen,source_file
1,1739.415,8.076,14047.359,43513.0,C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S6L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv
2,2476.116,9.224,22840.315,70750.0,C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S6L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv
3,2838.01,9.017,25591.161,79271.0,C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S6L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv
4,3957.266,7.49,29638.497,91808.0,C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S6L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv
5,5180.474,7.45,38593.838,119548.0,C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S6L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv
6,3891.731,7.404,28814.954,89257.0,C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S6L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv
7,4139.02,7.707,31898.962,98810.0,C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S6L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv
8,3706.103,7.824,28997.677,89823.0,C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S6L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv
9,1678.077,9.468,15887.497,49213.0,C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S6L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv
10,864.219,8.861,7657.559,23720.0,C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S6L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv
11,30398.765,8.007,243402.865,753963.0,C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S6L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv
1,2006.397,6.973,13990.218,43336.0,C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S6R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv
2,3201.195,7.676,24571.014,76111.0,C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S6R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv
3,4235.224,6.69,28332.322,87762.0,C3-MAX_TILESCANS_20250704_multi_layer_HCR_IF_set1_lif - 20250704_L57343-2M_S6R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif_subtracted.tif_AllTiles.csv
