"Image","bin","count"
"20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",6,19
"20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",5,27
"20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",10,0
"20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",1,15
"20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",2,34
"20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",7,24
"20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",8,14
"20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",9,9
"20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",3,23
"20250704_L57343-2M_S3L_488-S100b_594-Mfge8_647-Tnc_20X_Merged.tif_rotated.tif",4,28
"20250704_L57343-2M_S6L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",1,18
"20250704_L57343-2M_S6L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",10,10
"20250704_L57343-2M_S6L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",6,23
"20250704_L57343-2M_S6L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",2,33
"20250704_L57343-2M_S6L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",3,27
"20250704_L57343-2M_S6L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",4,26
"20250704_L57343-2M_S6L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",5,34
"20250704_L57343-2M_S6L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",8,32
"20250704_L57343-2M_S6L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",7,35
"20250704_L57343-2M_S6L_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",9,19
"20250704_L57343-2M_S6R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",1,11
"20250704_L57343-2M_S6R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",5,29
"20250704_L57343-2M_S6R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",6,20
"20250704_L57343-2M_S6R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",2,22
"20250704_L57343-2M_S6R_488-S100b_594-Mfge8_647-Id4_20X_Merged.tif_rotated.tif",3,14
