"Genotype","Animal_ID","bin","avg_id4_per_cell"
"KO","L57343-2M",1,1717.06804040404
"KO","L57343-2M",2,1088.04912878788
"KO","L57343-2M",3,1579.74729365079
"KO","L57343-2M",4,1559.25515723982
"KO","L57343-2M",5,1289.80407352941
"KO","L57343-2M",6,1269.62888913043
"KO","L57343-2M",7,963.98182406015
"KO","L57343-2M",8,919.0803775
"KO","L57343-2M",9,1093.30362280702
"KO","L57343-2M",10,985.0731
"KO","L57343-6M",1,4178.03667857143
"KO","L57343-6M",2,2444.68200961538
"KO","L57343-6M",3,4032.31386842105
"KO","L57343-6M",4,3579.10623809524
"KO","L57343-6M",5,3279.6148547619
"KO","L57343-6M",6,2645.91786956522
"KO","L57343-6M",7,4216.08646969697
"KO","L57343-6M",8,2563.21731764706
"KO","L57343-6M",9,3739.91512878788
"KO","L57343-6M",10,3440.600375
"KO","L58201-6F",1,2616.04042857143
"KO","L58201-6F",2,2161.67842857143
"KO","L58201-6F",3,2815.55028571429
"KO","L58201-6F",4,3353.94833333333
"KO","L58201-6F",5,4448.454
"KO","L58201-6F",6,5322.52
"KO","L58201-6F",7,3503.769
"KO","L58201-6F",8,2186.64416666667
"KO","L58201-6F",9,4203.156
"KO","L58201-6F",10,13076.928
"WT","L57343-3M",1,2213.24066039216
"WT","L57343-3M",2,1995.11427857143
"WT","L57343-3M",3,1657.04431627735
"WT","L57343-3M",4,2196.58588013468
"WT","L57343-3M",5,1991.47134057971
"WT","L57343-3M",6,2050.34970039683
"WT","L57343-3M",7,1312.34784710473
"WT","L57343-3M",8,1540.00938271605
"WT","L57343-3M",9,1830.60002731481
"WT","L57343-3M",10,1368.52594242424
"WT","L57343-8F",1,1689.820125
"WT","L57343-8F",2,883.632333333333
"WT","L57343-8F",3,675.924565217391
"WT","L57343-8F",4,945.6375
"WT","L57343-8F",5,1166.32495
"WT","L57343-8F",6,742.488111111111
"WT","L57343-8F",7,792.16345
"WT","L57343-8F",8,921.3283
"WT","L57343-8F",9,760.3484375
"WT","L57343-8F",10,615.734235294118
"WT","L58201-5M",1,3611.08906140351
"WT","L58201-5M",2,2958.61719166667
"WT","L58201-5M",3,3248.91278571429
"WT","L58201-5M",4,7409.89333333333
"WT","L58201-5M",5,6106.62325
"WT","L58201-5M",6,2721.33352083333
"WT","L58201-5M",7,3494.9395
"WT","L58201-5M",8,6652.1545
"WT","L58201-5M",9,3134.53075
