"Genotype","Animal_ID","Bin","mfge8_proportion"
"KO","L57343-2M",1,0.959978224889526
"KO","L57343-2M",2,1.12563813169864
"KO","L57343-2M",3,0.980945331646178
"KO","L57343-2M",4,0.920022314895494
"KO","L57343-2M",5,0.956033658547067
"KO","L57343-2M",6,1.0070826745797
"KO","L57343-2M",7,1.02464093135235
"KO","L57343-2M",8,1.05272326937822
"KO","L57343-2M",9,1.17555752713772
"KO","L57343-2M",10,1.28552471523728
"KO","L57343-6M",1,0.933349792474151
"KO","L57343-6M",2,1.22105597257977
"KO","L57343-6M",3,1.05326815664846
"KO","L57343-6M",4,0.985744261677052
"KO","L57343-6M",5,0.956787115488854
"KO","L57343-6M",6,0.981225961630909
"KO","L57343-6M",7,0.943654013819785
"KO","L57343-6M",8,0.95591162953565
"KO","L57343-6M",9,1.127449601315
"KO","L57343-6M",10,1.2029800982839
"KO","L58201-6F",1,0.849044676004742
"KO","L58201-6F",2,1.12119894836432
"KO","L58201-6F",3,0.963701492907794
"KO","L58201-6F",4,0.961610662131116
"KO","L58201-6F",5,0.967958678252761
"KO","L58201-6F",6,1.00226456413577
"KO","L58201-6F",7,1.07939581129371
"KO","L58201-6F",8,1.00020948104518
"KO","L58201-6F",9,1.17362108832623
"KO","L58201-6F",10,1.36304114774136
"WT","L57343-3M",1,1.00975519177837
"WT","L57343-3M",2,1.13245609705082
"WT","L57343-3M",3,1.04002647029548
"WT","L57343-3M",4,0.960940086760673
"WT","L57343-3M",5,0.955516292425543
"WT","L57343-3M",6,0.994609076276481
"WT","L57343-3M",7,0.903165455400692
"WT","L57343-3M",8,0.97736198421534
"WT","L57343-3M",9,1.06846328893857
"WT","L57343-3M",10,1.13998793486209
"WT","L57343-8F",1,1.01240452581211
"WT","L57343-8F",2,1.14031633813792
"WT","L57343-8F",3,1.00148328651335
"WT","L57343-8F",4,0.937736368457783
"WT","L57343-8F",5,0.970854266490688
"WT","L57343-8F",6,0.980823949282583
"WT","L57343-8F",7,0.912423219237405
"WT","L57343-8F",8,0.951279750655057
"WT","L57343-8F",9,1.06763419102828
"WT","L57343-8F",10,1.22490445324102
"WT","L58201-5M",1,0.976843500188921
"WT","L58201-5M",2,1.00872545821455
"WT","L58201-5M",3,1.05142121031595
"WT","L58201-5M",4,0.972800801474562
"WT","L58201-5M",5,1.00795738843129
"WT","L58201-5M",6,0.961405220131871
"WT","L58201-5M",7,0.980606388060528
"WT","L58201-5M",8,1.03866023389791
"WT","L58201-5M",9,1.04303596138873
"WT","L58201-5M",10,1.04224373538738
