"Genotype","Animal_ID","Bin","tnc_proportion"
"KO","L57343-2M",1,1.33834115805947
"KO","L57343-2M",2,1.2169014084507
"KO","L57343-2M",3,0.898591549295775
"KO","L57343-2M",4,0.883881064162754
"KO","L57343-2M",5,0.920500782472613
"KO","L57343-2M",6,0.966823161189358
"KO","L57343-2M",7,0.922691705790297
"KO","L57343-2M",8,0.945539906103286
"KO","L57343-2M",9,1.05070422535211
"KO","L57343-2M",10,1.35868544600939
"KO","L57343-6M",1,1.17837317924984
"KO","L57343-6M",2,1.08096030293566
"KO","L57343-6M",3,0.952736481341425
"KO","L57343-6M",4,0.940665582110896
"KO","L57343-6M",5,0.973115138006603
"KO","L57343-6M",6,0.985656631621878
"KO","L57343-6M",7,0.957315782545062
"KO","L57343-6M",8,0.994088611777217
"KO","L57343-6M",9,1.08300400868333
"KO","L57343-6M",10,1.40640898894966
"KO","L58201-6F",1,1.29457433335125
"KO","L58201-6F",2,1.13978885140329
"KO","L58201-6F",3,0.929745926709331
"KO","L58201-6F",4,0.912973821005815
"KO","L58201-6F",5,0.87478385521969
"KO","L58201-6F",6,0.902675812871218
"KO","L58201-6F",7,0.956764751389829
"KO","L58201-6F",8,0.963137351693793
"KO","L58201-6F",9,1.21430892656526
"KO","L58201-6F",10,1.64718765866178
"WT","L57343-3M",1,1.3782865888452
"WT","L57343-3M",2,1.11427008640226
"WT","L57343-3M",3,0.954347020871832
"WT","L57343-3M",4,0.925722228188935
"WT","L57343-3M",5,0.890841175588497
"WT","L57343-3M",6,0.922076501939283
"WT","L57343-3M",7,0.884704902820114
"WT","L57343-3M",8,0.897411392766622
"WT","L57343-3M",9,0.990336582118076
"WT","L57343-3M",10,1.49213842615843
"WT","L57343-8F",1,1.16052263182455
"WT","L57343-8F",2,1.04713019132058
"WT","L57343-8F",3,0.89034064395707
"WT","L57343-8F",4,0.89034064395707
"WT","L57343-8F",5,0.940737284181055
"WT","L57343-8F",6,0.920671955202987
"WT","L57343-8F",7,0.882874475034998
"WT","L57343-8F",8,0.885674288380775
"WT","L57343-8F",9,1.00933271115259
"WT","L57343-8F",10,1.55156322911806
