Image,Object ID,Object type,Name,Classification,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: Channel 1 mean,Nucleus: Channel 1 sum,Nucleus: Channel 1 std dev,Nucleus: Channel 1 max,Nucleus: Channel 1 min,Nucleus: Channel 1 range,Nucleus: Channel 2 mean,Nucleus: Channel 2 sum,Nucleus: Channel 2 std dev,Nucleus: Channel 2 max,Nucleus: Channel 2 min,Nucleus: Channel 2 range,Nucleus: Channel 3 mean,Nucleus: Channel 3 sum,Nucleus: Channel 3 std dev,Nucleus: Channel 3 max,Nucleus: Channel 3 min,Nucleus: Channel 3 range,Nucleus: Channel 4 mean,Nucleus: Channel 4 sum,Nucleus: Channel 4 std dev,Nucleus: Channel 4 max,Nucleus: Channel 4 min,Nucleus: Channel 4 range
MAX_40720_5F_KO_S1R_Merged.tif_rotated.tif_subtracted.tif,30e418b3-3c1e-437a-b3d6-0cf1315b3f9d,Detection,,Ctip2-: Cux1-: RORB-,Annotation,Polygon,29.04,2.837,108.7942,55.0133,0.4517,24.0376,6.2102,0.975,133.5953,45556,52.0453,205,29,176,5.4135,1846,3.3027,14,0,14,10.5103,3584,4.04,23,2,21,17.7331,6047,10.171,56,0,56
MAX_40720_5F_KO_S1R_Merged.tif_rotated.tif_subtracted.tif,3bfdb9a4-214a-4929-863e-ca863eb1c942,Detection,,Ctip2-: Cux1-: RORB-,Annotation,Polygon,197.52,2.112,42.2909,27.473,0.7041,11.3364,5.1136,0.8547,105.9851,14202,38.2387,193,39,154,3.0597,410,2.3452,10,0,10,7.3284,982,2.1618,13,2,11,7.2015,965,2.849,15,3,12
MAX_40720_5F_KO_S1R_Merged.tif_rotated.tif_subtracted.tif,c6838bad-b508-46d9-8018-63ed964465be,Detection,,Ctip2-: Cux1-: RORB-,Annotation,Polygon,209.43,1.549,27.7635,24.6785,0.5729,10.4896,3.7758,0.9301,97.6591,8594,22.1556,145,52,93,4.3068,379,2.8258,13,0,13,7.4545,656,3.3798,22,2,20,10.3523,911,3.8982,19,4,15
MAX_40720_5F_KO_S1R_Merged.tif_rotated.tif_subtracted.tif,f1b328af-a57f-4dc4-b7df-8aa9fc31af0d,Detection,,Ctip2-: Cux1-: RORB-,Annotation,Polygon,223.29,3.637,83.2905,48.0658,0.453,20.7326,6.4369,0.9616,96.8435,25373,36.1472,179,25,154,5.1679,1354,3.1844,14,0,14,12.0076,3146,3.9499,24,3,21,15.2023,3983,9.5745,55,2,53
MAX_40720_5F_KO_S1R_Merged.tif_rotated.tif_subtracted.tif,a40ff339-fe5d-41b6-b97f-592cfaf68ed7,Detection,,Ctip2-: Cux1-: RORB-,Annotation,Polygon,49.05,4.358,94.9124,38.1656,0.8188,15.2667,7.9546,0.8605,101.3446,29998,36.7284,201,28,173,9.3446,2766,4.0375,19,0,19,18.6655,5525,6.3041,43,3,40,28.1182,8323,9.0742,62,5,57
MAX_40720_5F_KO_S1R_Merged.tif_rotated.tif_subtracted.tif,bb5e81ff-3cdf-4588-8de2-3cf8b6d35faa,Detection,,Ctip2-: Cux1-: RORB-,Annotation,Polygon,7.76,5.149,91.0384,37.7689,0.802,15.3849,8.0738,0.8507,91.1298,25972,55.7093,215,23,192,10.6491,3035,3.4534,22,4,18,14.0421,4002,6.9489,87,5,82,21.9263,6249,5.0412,36,9,27
MAX_40720_5F_KO_S1R_Merged.tif_rotated.tif_subtracted.tif,28ddf402-997b-4cba-a4b2-e8bbe2147f4b,Detection,,Ctip2-: Cux1-: RORB-,Annotation,Polygon,184.24,5.538,41.6452,25.2044,0.8238,9.6434,5.3574,0.8141,31.9701,4284,7.5043,47,20,27,4.6119,618,2.7198,13,0,13,6.5149,873,2.1824,15,2,13,8.7836,1177,3.3457,32,4,28
MAX_40720_5F_KO_S1R_Merged.tif_rotated.tif_subtracted.tif,fe99a446-5103-4510-a9c3-ec6af0759326,Detection,,Ctip2-: Cux1-: RORB-,Annotation,Polygon,62.76,6.236,68.4402,32.2411,0.8274,11.7985,8.4165,0.6614,41.213,8902,14.9825,99,16,83,15.5324,3355,4.2709,25,3,22,18.7407,4048,4.6373,33,7,26,23.7685,5134,6.3482,45,5,40
MAX_40720_5F_KO_S1R_Merged.tif_rotated.tif_subtracted.tif,f0860944-a692-46ac-b1a3-c4934a66851f,Detection,,Ctip2-: Cux1-: RORB-,Annotation,Polygon,239.65,9.38,74.574,35.9012,0.7271,12.8819,9.2576,0.7583,93.8761,21967,36.0998,189,27,162,13.7179,3210,4.0519,22,2,20,16.8077,3933,3.604,27,7,20,31.3632,7339,14.4436,76,12,64
MAX_40720_5F_KO_S1R_Merged.tif_rotated.tif_subtracted.tif,d1389b44-c961-4d6f-9842-12db0bec9b29,Detection,,Ctip2-: Cux1-: RORB-,Annotation,Polygon,249.98,9.444,83.2905,35.5281,0.8292,12.5939,9.0125,0.611,137.7799,35685,47.713,212,22,190,17.5174,4537,3.1664,27,10,17,19.4749,5044,3.4352,29,9,20,36.0232,9330,10.412,77,12,65
