Image,Height,Width
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,638,500
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h2_Merged.tif_rotated.tif_subtracted.tif,612,500
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s2h2_Merged.tif_rotated.tif_subtracted.tif,691,500
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529552_M_KO_s1h1_Merged.tif_rotated.tif_subtracted.tif,628,500
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529552_M_KO_s1h2_Merged.tif_rotated.tif_subtracted.tif,610,500
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529552_M_KO_s2h1_Merged.tif_rotated.tif_subtracted.tif,636,500
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551834_M_KO_s1h1_Merged.tif_rotated.tif_subtracted.tif,650,500
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551834_M_KO_s1h2_Merged.tif_rotated.tif_subtracted.tif,609,500
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551834_M_KO_s2h1_Merged.tif_rotated.tif_subtracted.tif,660,500
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551932_M_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,668,500
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551932_M_WT_s1h2_Merged.tif_rotated.tif_subtracted.tif,690,500
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551932_M_WT_s2h1_Merged.tif_rotated.tif_subtracted.tif,627,500
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551933_M_KO_s1h2_Merged.tif_rotated.tif_subtracted.tif,624,500
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551933_M_KO_s2h1_Merged.tif_rotated.tif_subtracted.tif,606,500
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551933_M_KO_s2h2_Merged.tif_rotated.tif_subtracted.tif,646,500
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551935_M_KO_s1h2_Merged.tif_rotated.tif_subtracted.tif,684,500
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551935_M_KO_s2h1_Merged.tif_rotated.tif_subtracted.tif,720,500
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551935_M_KO_s2h2_Merged.tif_rotated.tif_subtracted.tif,710,500
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551941_F_KO_s1h1_Merged.tif_rotated.tif_subtracted.tif,693,500
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551941_F_KO_s1h2_Merged.tif_rotated.tif_subtracted.tif,670,500
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551941_F_KO_s2h1_Merged.tif_rotated.tif_subtracted.tif,671,500
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551943_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,690,500
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551943_F_WT_s2h1_Merged.tif_rotated.tif_subtracted.tif,669,500
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551943_F_WT_s2h2_Merged.tif_rotated.tif_subtracted.tif,692,500
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551944_M_KO_s1h2_Merged.tif_rotated.tif_subtracted.tif,705,500
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551944_M_KO_s2h1_Merged.tif_rotated.tif_subtracted.tif,705,500
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551944_M_KO_s2h2_Merged.tif_rotated.tif_subtracted.tif,684,500
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551948_M_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,681,500
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551948_M_WT_s2h1_Merged.tif_rotated.tif_subtracted.tif,688,500
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551948_M_WT_s2h2_Merged.tif_rotated.tif_subtracted.tif,672,500
