 ,Area,Mean,X,Y
1,80,255,545.712,16.650
2,110,255,642.500,26.000
3,58,255,689.069,25.569
4,104,255,703.029,28.279
5,22,255,729.500,25.136
6,32,255,566.531,27.531
7,105,255,581.748,29.357
8,107,255,959.771,31.883
9,163,255,660.126,33.543
10,62,255,518.742,31.661
11,150,255,616.960,33.920
12,52,255,724.385,31.654
13,27,255,766.796,30.907
14,84,255,504.083,34.393
15,95,255,532.784,34.795
16,80,255,557.263,35.150
17,29,255,772.776,34.017
18,89,255,813.579,35.983
19,37,255,601.662,35.716
20,243,255,902.870,40.451
21,65,255,643.100,36.146
22,57,255,588.377,37.833
23,82,255,486.610,39.610
24,69,255,845.804,38.891
25,120,255,886.167,42.583
26,45,255,458.900,40.656
27,32,255,472.594,38.438
28,23,255,700.761,39.152
29,33,255,707.409,39.348
30,61,255,739.811,40.074
31,61,255,826.123,41.730
32,32,255,433.656,41.875
33,38,255,545.342,42.553
34,50,255,567.800,42.640
35,40,255,751.050,42.600
36,40,255,767.425,42.525
37,105,255,1018.100,44.062
38,60,255,504.550,43.617
39,49,255,555.969,42.969
40,84,255,1045.071,43.833
41,128,255,1104.023,45.906
42,38,255,467.605,45.368
43,92,255,653.207,47.098
44,77,255,930.487,45.409
45,81,255,1080.821,46.302
46,60,255,1193.217,45.167
47,56,255,1418.107,45.339
48,33,255,1145.652,44.591
49,117,255,1324.936,48.722
50,148,255,1366.797,50.182
51,42,255,387.381,47.119
52,53,255,397.142,46.972
53,63,255,587.833,46.389
54,21,255,1006.929,45.976
55,29,255,1203.948,45.810
56,30,255,1236.200,45.133
57,37,255,1337.338,46.581
58,134,255,1406.537,49.746
59,21,255,523.024,46.976
60,29,255,535.293,46.500
61,53,255,574.179,47.934
62,89,255,814.298,48.343
63,52,255,917.596,48.654
64,164,255,968.817,50.530
65,92,255,376.967,51.272
66,111,255,839.167,51.167
67,76,255,1132.605,49.250
68,72,255,1289.764,50.208
69,28,255,1429.893,47.857
70,149,255,1436.446,54.037
71,77,255,493.006,50.318
72,48,255,937.729,50.458
73,130,255,994.300,52.885
74,91,255,299.302,51.841
75,84,255,421.143,51.167
76,66,255,795.636,50.576
77,126,255,1161.429,54.317
78,45,255,1377.433,52.078
79,39,255,1547.474,49.731
80,92,255,341.424,53.315
81,64,255,434.938,52.797
82,54,255,954.296,51.963
83,56,255,1117.857,52.696
84,29,255,1150.983,51.328
85,59,255,1270.042,52.263
86,92,255,468.967,54.870
87,39,255,1187.115,52.372
88,167,255,1252.686,55.410
89,48,255,1558.562,53.167
90,111,255,760.410,55.689
91,88,255,895.307,55.205
92,24,255,1041.500,53.167
93,89,255,1053.174,54.624
94,56,255,1093.214,54.000
95,121,255,1226.211,55.417
96,24,255,1421.792,52.792
97,35,255,321.729,54.157
98,142,255,363.218,57.444
99,32,255,662.594,55.188
100,81,255,1067.685,55.821
101,61,255,1141.549,55.811
102,41,255,1331.159,54.817
103,89,255,1347.657,55.253
104,20,255,445.000,54.400
105,24,255,453.542,55.167
106,41,255,531.159,55.841
107,52,255,593.923,55.808
108,40,255,864.175,54.775
109,77,255,1298.812,56.630
110,55,255,1388.355,55.573
111,115,255,240.935,59.326
112,93,255,256.478,57.382
113,30,255,1276.967,55.833
114,31,255,1312.500,56.629
115,49,255,1449.520,57.684
116,25,255,1500.060,56.140
117,27,255,1536.463,57.130
118,70,255,1567.586,57.957
119,82,255,403.463,58.805
120,28,255,857.643,57.571
121,24,255,1484.250,56.292
122,33,255,227.288,58.167
123,68,255,390.000,59.456
124,68,255,921.706,59.044
125,53,255,936.953,58.425
126,63,255,961.183,59.405
127,46,255,1031.739,59.413
128,21,255,1417.357,57.833
129,31,255,1553.694,58.242
130,101,255,654.678,61.896
131,20,255,728.300,58.900
132,57,255,1545.711,60.991
133,85,255,317.512,61.994
134,36,255,419.639,59.694
135,110,255,619.727,63.645
