 ,Area,Mean,X,Y
1,93,255,954.651,3.737
2,74,255,969.068,3.554
3,41,255,988.012,2.037
4,56,255,1005.786,2.518
5,50,255,1033.020,3.620
6,53,255,869.236,4.462
7,80,255,895.438,7.900
8,45,255,928.278,4.056
9,60,255,1113.400,5.483
10,59,255,1129.737,5.195
11,74,255,1141.365,8.216
12,99,255,1188.843,8.500
13,127,255,1229.272,8.264
14,53,255,1054.028,6.160
15,92,255,1096.304,7.098
16,41,255,779.280,6.256
17,112,255,822.330,9.304
18,115,255,1173.343,9.587
19,60,255,665.533,8.350
20,37,255,768.338,8.473
21,26,255,810.654,8.038
22,36,255,907.056,8.056
23,44,255,1200.455,9.705
24,78,255,718.346,11.013
25,24,255,588.292,9.625
26,73,255,639.034,12.473
27,43,255,795.779,10.221
28,69,255,841.775,10.935
29,45,255,922.300,10.144
30,78,255,1068.897,12.231
31,86,255,1246.663,11.581
32,38,255,691.658,11.658
33,52,255,704.385,12.769
34,53,255,758.255,13.575
35,39,255,612.833,14.603
36,37,255,784.068,13.581
37,36,255,426.778,15.667
38,39,255,657.654,14.218
39,26,255,1078.000,13.192
40,21,255,481.310,14.214
41,50,255,913.740,15.900
42,51,255,1013.775,14.324
43,33,255,1353.833,14.409
44,20,255,289.100,16.200
45,88,255,566.239,18.477
46,31,255,832.661,17.339
47,41,255,1126.061,16.549
48,118,255,1385.924,19.415
49,84,255,390.905,19.702
50,37,255,530.203,18.689
51,42,255,580.286,17.500
52,28,255,1337.893,17.000
53,25,255,217.060,18.060
54,100,255,359.680,20.670
55,82,255,381.622,21.085
56,42,255,595.452,18.714
57,50,255,990.240,19.340
58,31,255,239.952,17.984
59,36,255,278.000,19.056
60,45,255,300.856,18.744
61,27,255,341.241,19.241
62,39,255,544.423,20.090
63,109,255,129.968,24.335
64,28,255,205.071,20.607
65,31,255,227.629,19.758
66,24,255,418.958,20.083
67,58,255,496.810,19.414
68,39,255,516.705,19.910
69,45,255,734.967,21.122
70,95,255,1311.753,22.416
71,49,255,450.622,21.582
72,24,255,484.208,20.208
73,64,255,1021.969,21.328
74,57,255,29.833,22.044
75,65,255,50.008,24.192
76,22,255,74.727,21.091
77,67,255,141.724,24.604
78,65,255,1079.085,22.577
79,31,255,1452.629,22.435
80,44,255,1463.523,22.500
81,55,255,103.155,23.318
82,41,255,697.915,22.841
83,53,255,1343.632,23.896
84,62,255,1362.403,24.500
85,43,255,13.733,24.221
86,37,255,39.149,24.581
87,33,255,62.076,24.076
88,32,255,1035.344,23.875
89,37,255,1558.554,23.932
90,48,255,3.333,26.188
91,49,255,667.765,26.827
92,47,255,906.543,27.543
93,51,255,435.716,28.814
94,52,255,33.615,29.788
95,53,255,301.726,29.255
96,89,255,1481.444,32.736
97,38,255,1335.000,31.474
98,39,255,221.705,31.936
99,30,255,1242.333,30.933
100,103,255,1498.665,34.481
101,44,255,233.205,31.273
102,29,255,489.776,31.914
103,27,255,529.500,31.500
104,58,255,822.121,32.310
105,59,255,999.059,33.076
106,91,255,1066.379,34.808
107,49,255,1264.194,33.949
108,53,255,986.406,33.311
109,49,255,1041.602,32.990
110,20,255,1172.950,32.700
111,50,255,1317.640,34.200
112,32,255,1521.375,33.750
113,98,255,350.143,35.847
114,37,255,501.068,34.068
115,73,255,1080.678,36.596
116,69,255,381.572,35.094
117,54,255,396.981,35.093
118,29,255,196.672,35.293
119,23,255,589.326,35.413
120,21,255,974.833,35.214
121,53,255,140.519,38.708
122,150,255,1538.207,42.067
123,63,255,120.262,38.659
124,26,255,301.500,37.615
125,28,255,576.393,37.536
126,24,255,870.333,38.500
127,44,255,286.705,39.932
128,42,255,330.667,39.405
129,20,255,567.400,38.450
130,49,255,699.622,39.071
131,63,255,1352.690,40.167
132,38,255,1397.737,39.658
133,47,255,234.755,41.074
134,40,255,490.900,40.325
135,47,255,714.777,40.223
136,45,255,51.522,42.322
137,43,255,837.267,41.337
138,34,255,860.147,41.147
139,51,255,21.931,42.853
140,35,255,42.071,42.557
141,47,255,318.011,43.457
142,31,255,540.790,43.081
143,46,255,1009.304,42.174
144,43,255,1163.779,42.500
145,33,255,199.439,42.530
146,36,255,1045.056,43.722
147,33,255,1308.136,43.015
148,39,255,64.910,44.474
149,50,255,642.900,44.960
150,53,255,1055.745,46.047
151,27,255,1128.093,43.426
152,33,255,1296.924,43.136
153,40,255,1526.275,45.275
154,56,255,391.696,46.179
155,62,255,445.435,46.355
156,38,255,1144.105,44.921
157,83,255,1328.380,47.139
158,24,255,101.500,46.792
159,65,255,373.008,48.485
160,52,255,458.577,47.346
161,42,255,826.762,47.357
162,37,255,974.365,47.554
163,65,255,1078.531,48.654
164,50,255,1228.620,47.500
165,58,255,1555.983,47.569
166,50,255,997.000,48.320
167,40,255,1069.300,50.325
168,207,255,1443.162,56.563
169,32,255,1469.094,48.531
170,38,255,116.237,49.474
171,92,255,1592.304,51.446
172,26,255,10.000,49.500
173,28,255,86.607,49.214
174,61,255,206.582,52.090
175,85,255,299.159,53.418
176,28,255,689.000,50.000
177,30,255,1574.000,50.533
178,27,255,140.981,50.167
179,21,255,410.262,51.214
180,32,255,611.531,50.781
181,30,255,677.733,50.567
182,48,255,957.729,52.104
183,70,255,1210.686,52.314
184,28,255,1375.964,50.679
185,35,255,1583.586,53.586
186,68,255,1192.794,53.412
187,39,255,938.577,54.090
188,26,255,175.615,53.962
189,31,255,433.500,53.500
190,63,255,339.706,56.151
191,60,255,634.983,55.600
192,45,255,489.011,56.678
193,41,255,728.841,56.378
194,23,255,768.457,55.196
195,35,255,995.729,55.357
196,54,255,1155.500,58.167
197,71,255,1319.599,58.317
198,66,255,1562.500,57.000
199,60,255,1079.700,57.950
200,59,255,1260.008,57.720
201,27,255,1345.500,56.500
202,53,255,442.632,60.047
203,34,255,500.794,58.618
204,24,255,1070.458,59.208
205,51,255,1368.598,59.049
206,44,255,13.045,58.773
207,45,255,451.900,60.033
208,41,255,462.500,60.915
209,42,255,980.024,59.667
210,66,255,1054.136,59.636
211,53,255,1400.179,60.236
212,34,255,73.353,60.147
213,54,255,743.759,59.944
214,31,255,126.339,61.339
215,36,255,613.944,61.278
216,37,255,686.689,61.149
217,70,255,929.086,61.757
218,85,255,1144.418,64.865
219,81,255,1165.648,63.821
220,34,255,1411.265,61.471
221,41,255,1525.524,61.134
222,58,255,587.259,62.552
223,46,255,1175.522,62.696
224,20,255,1378.800,61.800
225,66,255,1270.773,65.303
226,59,255,9.229,66.907
227,54,255,219.685,65.241
228,41,255,200.329,66.915
229,22,255,289.591,65.591
230,58,255,338.845,67.776
231,60,255,378.517,67.683
232,55,255,949.791,66.827
233,60,255,1430.700,67.833
234,25,255,1598.260,67.140
235,59,255,242.144,67.178
236,49,255,313.745,67.071
237,41,255,725.841,66.280
238,37,255,1310.635,68.905
239,31,255,84.339,68.081
240,39,255,125.090,68.936
241,50,255,365.740,69.620
242,67,255,941.843,70.619
243,34,255,987.500,69.000
244,74,255,1065.270,70.959
245,23,255,1203.109,68.413
246,41,255,399.866,70.549
247,68,255,632.176,71.603
248,52,255,711.500,69.788
249,70,255,1297.743,70.986
250,27,255,1375.093,69.944
251,30,255,489.267,72.567
252,35,255,532.129,70.271
253,30,255,563.467,70.767
254,31,255,1245.597,71.016
255,48,255,1453.667,71.833
256,39,255,23.628,72.962
257,61,255,1258.123,73.582
258,41,255,1588.549,72.427
259,42,255,447.333,73.738
260,90,255,743.967,73.322
261,69,255,1089.283,73.978
262,26,255,1434.962,72.962
263,56,255,261.643,74.732
264,35,255,302.014,74.900
265,44,255,556.205,77.318
266,100,255,163.530,79.910
267,41,255,806.573,75.890
268,55,255,918.609,78.991
269,51,255,1354.206,77.049
270,35,255,1530.986,76.186
271,47,255,5.691,77.691
272,111,255,239.554,79.959
273,38,255,414.158,77.053
274,33,255,1395.076,76.924
275,50,255,1551.060,79.040
276,50,255,619.820,77.960
277,49,255,1269.398,78.010
278,40,255,1364.625,79.725
279,26,255,1567.885,78.577
280,54,255,135.944,81.630
281,35,255,226.871,80.071
282,42,255,791.357,80.690
283,43,255,904.105,80.314
284,154,255,1072.110,85.208
285,30,255,506.700,81.000
286,34,255,570.176,81.353
287,69,255,1162.080,81.601
288,73,255,209.678,84.418
289,91,255,720.137,83.687
290,37,255,951.446,81.770
291,78,255,1281.462,85.436
292,79,255,1298.665,83.854
293,47,255,149.713,84.138
294,37,255,335.554,82.392
295,74,255,829.878,83.865
296,59,255,1034.212,83.534
297,30,255,1175.433,83.000
298,35,255,1523.871,83.271
299,68,255,635.397,85.868
300,25,255,1499.020,84.140
301,47,255,57.287,85.032
302,82,255,757.902,88.220
303,37,255,1182.014,85.257
304,90,255,1423.778,86.978
305,25,255,81.220,86.020
306,37,255,217.716,86.824
307,43,255,414.872,86.523
308,48,255,478.833,87.417
309,40,255,870.775,88.475
310,50,255,15.840,90.120
311,24,255,71.417,87.708
312,55,255,888.336,89.100
313,49,255,529.867,89.847
314,63,255,694.786,90.643
315,28,255,1006.214,88.393
316,115,255,1019.422,91.222
317,66,255,1538.424,90.045
318,74,255,176.122,93.405
319,43,255,668.012,91.988
320,26,255,879.269,90.154
321,93,255,996.952,93.253
322,47,255,302.372,91.457
323,35,255,567.929,90.443
324,58,255,683.534,93.155
325,160,255,847.225,97.225
326,59,255,1237.297,92.534
327,56,255,1435.768,92.357
328,86,255,1463.628,93.988
329,48,255,1512.000,92.000
330,29,255,514.948,92.328
331,124,255,614.331,95.847
332,73,255,1042.075,94.226
333,51,255,242.696,93.735
334,91,255,708.412,94.577
335,74,255,798.986,94.689
336,38,255,921.605,93.711
337,62,255,1171.081,94.516
338,39,255,258.423,94.577
339,119,255,582.282,98.197
340,20,255,962.200,93.600
341,25,255,1097.500,94.180
342,42,255,188.595,96.619
343,61,255,410.516,95.943
344,26,255,722.192,94.538
345,80,255,748.688,96.125
346,54,255,1108.111,95.981
347,36,255,1189.000,96.000
348,82,255,67.354,96.927
349,106,255,1305.302,98.660
350,76,255,1441.750,98.500
351,56,255,139.179,97.554
352,72,255,268.597,97.986
353,57,255,343.640,97.360
354,60,255,1319.617,97.533
355,71,255,594.993,99.754
356,51,255,1091.265,99.225
357,36,255,1247.750,98.806
358,37,255,731.770,99.230
359,111,255,881.302,101.491
360,139,255,1153.126,103.363
361,104,255,35.423,102.452
362,79,255,1231.272,101.639
363,27,255,358.019,100.611
364,69,255,500.674,101.616
365,29,255,560.052,101.879
366,34,255,691.794,101.765
367,102,255,808.941,106.686
368,68,255,830.765,103.059
369,140,255,909.486,104.457
370,82,255,1007.988,103.098
371,112,255,274.580,106.929
372,45,255,522.433,102.367
373,73,255,631.623,104.527
374,87,255,640.351,105.500
375,133,255,929.906,108.102
376,67,255,1357.799,102.918
377,59,255,1532.280,102.839
378,51,255,97.245,103.794
379,57,255,390.044,104.272
380,67,255,796.336,104.082
381,67,255,974.351,104.440
382,77,255,220.305,105.370
383,22,255,375.545,104.636
384,93,255,536.317,107.317
385,59,255,1130.669,104.992
386,62,255,1396.565,105.403
387,53,255,1417.236,104.594
388,77,255,1514.968,106.656
389,65,255,427.285,106.146
390,49,255,607.929,105.398
391,55,255,698.664,106.136
392,32,255,819.156,105.125
393,41,255,486.037,105.866
394,93,255,759.457,108.403
395,60,255,1078.633,108.367
396,85,255,1100.782,107.571
397,75,255,1169.100,108.393
398,20,255,350.850,107.200
399,60,255,573.983,108.800
