 ,Area,Mean,X,Y
1,36,255,403.000,1.944
2,32,255,541.906,1.844
3,66,255,609.409,3.045
4,29,255,628.569,1.914
5,79,255,654.475,2.424
6,57,255,671.465,2.640
7,28,255,691.786,1.821
8,25,255,735.500,1.420
9,68,255,761.794,3.235
10,90,255,784.000,2.856
11,23,255,803.413,1.761
12,45,255,886.389,2.078
13,41,255,905.915,1.793
14,26,255,969.538,1.615
15,51,255,334.088,5.990
16,64,255,961.984,7.703
17,23,255,195.283,5.717
18,124,255,511.524,9.460
19,80,255,528.263,8.975
20,37,255,818.122,6.392
21,125,255,839.748,9.052
22,92,255,983.228,9.152
23,121,255,112.682,11.583
24,41,255,895.866,8.720
25,80,255,322.613,10.912
26,83,255,493.645,10.271
27,104,255,923.663,9.337
28,20,255,1023.000,6.900
29,21,255,1064.357,7.310
30,130,255,159.438,10.846
31,50,255,90.760,9.660
32,65,255,134.177,10.900
33,66,255,975.530,13.818
34,88,255,1043.750,13.045
35,40,255,1079.000,10.875
36,68,255,182.838,12.206
37,78,255,462.782,12.462
38,49,255,544.439,11.378
39,43,255,730.570,10.872
40,44,255,767.045,12.114
41,35,255,1090.414,11.900
42,74,255,1104.459,14.135
43,38,255,101.553,14.579
44,29,255,1154.741,13.293
45,36,255,52.639,13.694
46,42,255,144.333,15.429
47,32,255,215.375,13.781
48,48,255,944.146,14.062
49,85,255,377.876,15.982
50,34,255,1124.765,15.412
51,75,255,75.553,18.353
52,130,255,446.462,21.169
53,39,255,632.808,14.962
54,45,255,755.256,17.300
55,29,255,783.017,15.672
56,22,255,876.955,15.864
57,54,255,22.778,17.648
58,40,255,650.450,17.400
59,50,255,931.120,18.960
60,51,255,694.245,18.951
61,33,255,1218.379,19.470
62,48,255,131.792,21.167
63,85,255,147.688,23.488
64,61,255,269.697,20.320
65,26,255,1019.269,19.731
66,33,255,201.500,21.894
67,39,255,790.577,21.372
68,21,255,894.357,20.738
69,25,255,1085.940,20.420
70,50,255,1208.920,21.640
71,105,255,90.586,26.310
72,95,255,162.395,25.416
73,57,255,380.746,22.272
74,128,255,34.188,27.766
75,39,255,125.295,24.397
76,102,255,403.794,27.000
77,44,255,1248.341,24.591
78,89,255,105.320,26.208
79,61,255,175.844,25.172
80,34,255,342.824,23.559
81,87,255,393.718,28.741
82,23,255,640.674,23.717
83,37,255,872.446,24.068
84,127,255,1163.484,27.043
85,45,255,192.633,26.033
86,36,255,1001.500,24.750
87,77,255,48.045,29.019
88,42,255,537.167,27.310
89,36,255,651.889,26.111
90,50,255,681.100,27.280
91,101,255,1265.777,28.302
92,87,255,19.879,29.155
93,56,255,217.268,29.375
94,26,255,207.846,28.731
95,94,255,319.766,30.309
96,30,255,546.333,28.233
97,39,255,889.346,28.628
98,44,255,924.159,28.432
99,38,255,1217.368,28.000
100,39,255,596.500,28.808
101,21,255,723.167,29.548
102,25,255,1031.460,28.100
103,56,255,1053.375,31.161
104,70,255,1104.871,29.771
105,61,255,1286.139,29.254
106,52,255,73.000,31.500
107,54,255,242.074,32.093
108,33,255,775.985,30.894
109,27,255,825.019,31.648
110,46,255,1460.413,33.000
111,108,255,340.241,35.287
112,58,255,1079.517,35.103
113,47,255,1130.543,32.755
114,58,255,257.431,35.224
115,101,255,1200.955,36.243
116,45,255,574.100,36.522
117,46,255,752.087,35.326
118,60,255,770.250,37.550
119,58,255,878.259,36.086
120,64,255,1214.797,36.594
121,145,255,295.307,39.376
122,52,255,167.327,38.942
123,24,255,833.917,37.208
124,51,255,1030.324,37.147
125,36,255,1141.944,36.667
126,30,255,612.233,37.667
127,48,255,911.417,38.875
128,70,255,1282.629,38.271
129,72,255,1324.833,39.653
130,46,255,549.457,39.696
131,31,255,840.597,38.758
132,47,255,1251.479,39.691
133,33,255,34.470,40.621
134,36,255,812.389,40.111
135,21,255,394.929,40.310
136,49,255,688.173,41.255
137,41,255,1459.768,41.402
138,46,255,561.848,42.957
139,41,255,932.232,42.061
140,67,255,1176.425,42.410
141,43,255,886.919,45.012
142,183,255,1377.566,48.423
143,45,255,879.567,44.678
144,46,255,1058.152,45.522
145,50,255,384.180,46.760
146,25,255,1049.380,45.500
147,59,255,1141.958,47.432
148,68,255,178.279,48.221
149,46,255,1003.370,47.087
150,30,255,1154.133,47.133
151,58,255,1275.638,48.034
152,164,255,1312.402,50.274
153,88,255,1391.216,49.739
154,57,255,218.553,48.500
155,27,255,714.056,47.944
156,49,255,159.847,50.235
157,69,255,520.587,51.181
158,42,255,703.143,50.476
159,31,255,985.274,48.371
160,38,255,1297.079,49.053
161,46,255,1336.739,49.935
162,30,255,1365.500,50.300
163,27,255,531.648,50.833
164,21,255,1195.690,49.357
165,43,255,1400.384,51.384
166,52,255,782.192,51.385
167,28,255,948.714,50.321
168,47,255,1069.777,51.968
169,37,255,1240.149,50.824
170,43,255,316.942,51.895
171,22,255,461.864,50.955
172,32,255,378.188,53.531
173,40,255,1127.200,53.325
174,23,255,1202.761,52.978
175,91,255,15.808,57.280
176,39,255,246.346,53.782
177,36,255,266.139,54.306
178,52,255,473.500,55.019
179,67,255,1358.903,60.187
180,111,255,1420.761,56.329
181,26,255,961.000,54.808
182,44,255,1045.545,55.023
183,31,255,65.145,55.403
184,44,255,112.659,55.795
185,54,255,202.315,57.148
186,56,255,397.482,56.089
187,74,255,453.824,58.554
188,49,255,1213.969,58.051
189,33,255,1351.136,56.803
190,22,255,566.682,56.091
191,28,255,796.393,58.143
192,65,255,1332.269,59.315
193,59,255,1435.619,59.110
194,29,255,363.155,60.155
195,25,255,1060.780,59.100
196,64,255,1251.156,59.594
197,45,255,883.411,61.522
198,77,255,955.708,61.838
199,73,255,1148.116,61.856
200,63,255,1476.071,62.754
201,92,255,182.500,63.598
202,51,255,287.010,61.186
203,63,255,1194.500,61.579
204,39,255,55.500,62.192
205,106,255,781.226,64.113
206,57,255,1174.623,64.289
207,64,255,1407.891,63.906
