 ,Area,Mean,X,Y
1,53,255,559.877,8.538
2,23,255,620.022,8.022
3,104,255,721.192,11.250
4,87,255,604.868,12.454
5,25,255,701.220,11.140
6,69,255,517.022,12.717
7,50,255,585.380,11.960
8,78,255,387.795,14.051
9,51,255,468.049,11.794
10,79,255,497.247,13.133
11,39,255,741.397,11.321
12,37,255,454.068,13.041
13,25,255,694.940,12.460
14,29,255,402.879,14.086
15,24,255,543.500,13.875
16,71,255,790.880,15.458
17,22,255,364.455,15.591
18,69,255,648.210,18.587
19,85,255,617.606,21.735
20,77,255,777.513,20.201
21,26,255,858.462,17.808
22,41,255,805.573,19.037
23,21,255,1074.024,18.119
24,73,255,768.021,24.007
25,27,255,1186.278,19.685
26,28,255,172.464,23.750
27,48,255,191.062,23.125
28,21,255,264.500,22.500
29,103,255,1213.723,25.762
30,32,255,1130.281,23.656
31,96,255,1197.771,26.240
32,63,255,1257.627,25.976
33,50,255,1284.400,24.540
34,58,255,161.776,26.448
35,23,255,221.500,23.804
36,29,255,305.155,24.776
37,27,255,861.574,25.500
38,61,255,514.779,26.730
39,32,255,1181.781,25.469
40,39,255,1234.269,26.269
41,22,255,645.591,26.591
42,36,255,656.889,27.611
43,96,255,871.781,30.125
44,25,255,1311.460,26.580
45,46,255,1271.978,27.870
46,62,255,1298.774,28.000
47,20,255,149.550,28.750
48,32,255,1320.281,29.281
49,53,255,840.368,30.802
50,58,255,476.310,31.621
51,150,255,893.380,34.147
52,59,255,992.619,33.195
53,21,255,1243.357,30.690
54,39,255,1367.064,30.885
55,34,255,377.706,31.500
56,106,255,915.585,33.821
57,43,255,725.988,32.105
58,34,255,806.559,32.941
59,47,255,452.926,33.883
60,30,255,797.000,33.833
61,51,255,1012.676,34.422
62,37,255,1374.338,35.176
63,39,255,1003.654,35.859
64,29,255,86.603,36.466
65,38,255,604.421,35.789
66,86,255,977.105,39.384
67,22,255,299.227,36.455
68,37,255,492.527,37.284
69,47,255,1363.138,37.415
70,44,255,10.341,37.909
71,58,255,22.517,41.276
72,63,255,940.500,38.976
73,25,255,373.300,39.740
74,24,255,441.833,39.375
75,80,255,1259.125,42.487
76,37,255,1391.392,41.473
77,41,255,868.037,40.939
