,ImageID,Cell Counts,Normalized distance from pia (%),old_names,Animal,Sex,Genotype,Age
0,Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,250.0,0.0,L38102-10,L38102-10,F,KO,21
1,Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,489.0,10.0,L38102-10,L38102-10,F,KO,21
2,Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,623.0,20.0,L38102-10,L38102-10,F,KO,21
3,Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,659.0,30.0,L38102-10,L38102-10,F,KO,21
4,Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,698.0,40.0,L38102-10,L38102-10,F,KO,21
5,Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,578.0,50.0,L38102-10,L38102-10,F,KO,21
6,Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,580.0,60.0,L38102-10,L38102-10,F,KO,21
7,Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,587.0,70.0,L38102-10,L38102-10,F,KO,21
8,Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,639.0,80.0,L38102-10,L38102-10,F,KO,21
9,Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,645.0,90.0,L38102-10,L38102-10,F,KO,21
0,Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,338.0,0.0,L38102-10,L38102-10,F,KO,21
1,Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,535.0,10.0,L38102-10,L38102-10,F,KO,21
2,Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,651.0,20.0,L38102-10,L38102-10,F,KO,21
3,Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,684.0,30.0,L38102-10,L38102-10,F,KO,21
4,Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,692.0,40.0,L38102-10,L38102-10,F,KO,21
5,Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,595.0,50.0,L38102-10,L38102-10,F,KO,21
6,Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,603.0,60.0,L38102-10,L38102-10,F,KO,21
7,Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,588.0,70.0,L38102-10,L38102-10,F,KO,21
8,Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,641.0,80.0,L38102-10,L38102-10,F,KO,21
9,Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,646.0,90.0,L38102-10,L38102-10,F,KO,21
0,Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,336.0,0.0,L38102-10,L38102-10,F,KO,21
1,Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,546.0,10.0,L38102-10,L38102-10,F,KO,21
2,Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,663.0,20.0,L38102-10,L38102-10,F,KO,21
3,Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,680.0,30.0,L38102-10,L38102-10,F,KO,21
4,Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,679.0,40.0,L38102-10,L38102-10,F,KO,21
5,Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,592.0,50.0,L38102-10,L38102-10,F,KO,21
6,Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,593.0,60.0,L38102-10,L38102-10,F,KO,21
7,Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,608.0,70.0,L38102-10,L38102-10,F,KO,21
8,Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,640.0,80.0,L38102-10,L38102-10,F,KO,21
9,Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,636.0,90.0,L38102-10,L38102-10,F,KO,21
0,Seg_DAPI_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,284.0,0.0,L38102-11,L38102-11,F,WT,21
1,Seg_DAPI_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,512.0,10.0,L38102-11,L38102-11,F,WT,21
2,Seg_DAPI_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,659.0,20.0,L38102-11,L38102-11,F,WT,21
3,Seg_DAPI_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,638.0,30.0,L38102-11,L38102-11,F,WT,21
4,Seg_DAPI_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,647.0,40.0,L38102-11,L38102-11,F,WT,21
5,Seg_DAPI_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,604.0,50.0,L38102-11,L38102-11,F,WT,21
6,Seg_DAPI_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,605.0,60.0,L38102-11,L38102-11,F,WT,21
7,Seg_DAPI_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,634.0,70.0,L38102-11,L38102-11,F,WT,21
8,Seg_DAPI_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,658.0,80.0,L38102-11,L38102-11,F,WT,21
9,Seg_DAPI_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,636.0,90.0,L38102-11,L38102-11,F,WT,21
0,Seg_DAPI_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,395.0,0.0,L38102-11,L38102-11,F,WT,21
1,Seg_DAPI_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,543.0,10.0,L38102-11,L38102-11,F,WT,21
2,Seg_DAPI_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,573.0,20.0,L38102-11,L38102-11,F,WT,21
3,Seg_DAPI_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,600.0,30.0,L38102-11,L38102-11,F,WT,21
4,Seg_DAPI_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,587.0,40.0,L38102-11,L38102-11,F,WT,21
5,Seg_DAPI_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,545.0,50.0,L38102-11,L38102-11,F,WT,21
