Genotype,Animal,Normalized distance from pia (%),Cell Counts
KO,L38102-10,0.0,308.0
KO,L38102-10,10.0,523.3333333333334
KO,L38102-10,20.0,645.6666666666666
KO,L38102-10,30.0,674.3333333333334
KO,L38102-10,40.0,689.6666666666666
KO,L38102-10,50.0,588.3333333333334
KO,L38102-10,60.0,592.0
KO,L38102-10,70.0,594.3333333333334
KO,L38102-10,80.0,640.0
KO,L38102-10,90.0,642.3333333333334
KO,L38102-4,0.0,277.0
KO,L38102-4,10.0,584.6666666666666
KO,L38102-4,20.0,628.0
KO,L38102-4,30.0,658.3333333333334
KO,L38102-4,40.0,613.0
KO,L38102-4,50.0,553.6666666666666
KO,L38102-4,60.0,571.0
KO,L38102-4,70.0,592.6666666666666
KO,L38102-4,80.0,640.3333333333334
KO,L38102-4,90.0,634.6666666666666
KO,L40720_1M,0.0,243.0
KO,L40720_1M,10.0,445.0
KO,L40720_1M,20.0,519.0
KO,L40720_1M,30.0,525.3333333333334
KO,L40720_1M,40.0,513.0
KO,L40720_1M,50.0,476.0
KO,L40720_1M,60.0,489.6666666666667
KO,L40720_1M,70.0,513.3333333333334
KO,L40720_1M,80.0,556.6666666666666
KO,L40720_1M,90.0,610.6666666666666
KO,L40720_5F,0.0,215.33333333333334
KO,L40720_5F,10.0,434.6666666666667
KO,L40720_5F,20.0,481.3333333333333
KO,L40720_5F,30.0,508.3333333333333
KO,L40720_5F,40.0,514.6666666666666
KO,L40720_5F,50.0,463.0
KO,L40720_5F,60.0,474.6666666666667
KO,L40720_5F,70.0,511.3333333333333
KO,L40720_5F,80.0,539.3333333333334
KO,L40720_5F,90.0,594.3333333333334
KO,L41180_3F,0.0,203.66666666666666
KO,L41180_3F,10.0,505.3333333333333
KO,L41180_3F,20.0,553.0
KO,L41180_3F,30.0,610.3333333333334
KO,L41180_3F,40.0,571.6666666666666
KO,L41180_3F,50.0,531.0
KO,L41180_3F,60.0,578.3333333333334
KO,L41180_3F,70.0,655.0
KO,L41180_3F,80.0,655.3333333333334
KO,L41180_3F,90.0,544.0
KO,L50981_1F,0.0,266.3333333333333
KO,L50981_1F,10.0,512.0
KO,L50981_1F,20.0,581.3333333333334
KO,L50981_1F,30.0,636.0
KO,L50981_1F,40.0,592.0
KO,L50981_1F,50.0,548.3333333333334
KO,L50981_1F,60.0,555.6666666666666
KO,L50981_1F,70.0,591.3333333333334
KO,L50981_1F,80.0,593.3333333333334
KO,L50981_1F,90.0,588.6666666666666
KO,L50981_3F,0.0,263.3333333333333
KO,L50981_3F,10.0,590.0
KO,L50981_3F,20.0,613.0
KO,L50981_3F,30.0,661.6666666666666
KO,L50981_3F,40.0,582.3333333333334
KO,L50981_3F,50.0,568.3333333333334
KO,L50981_3F,60.0,642.3333333333334
KO,L50981_3F,70.0,732.6666666666666
KO,L50981_3F,80.0,615.6666666666666
KO,L50981_3F,90.0,542.6666666666666
KO,L52184_1M,0.0,263.6666666666667
KO,L52184_1M,10.0,526.6666666666666
KO,L52184_1M,20.0,570.0
KO,L52184_1M,30.0,601.0
KO,L52184_1M,40.0,591.3333333333334
KO,L52184_1M,50.0,532.0
KO,L52184_1M,60.0,552.6666666666666
KO,L52184_1M,70.0,643.6666666666666
KO,L52184_1M,80.0,607.0
