 ,Area,Mean,X,Y
1,62,255,643.887,26.887
2,158,255,516.823,36.291
3,89,255,503.152,34.500
4,105,255,531.252,35.986
5,99,255,456.611,41.015
6,42,255,468.571,42.143
7,69,255,505.384,43.906
8,257,255,1015.018,47.309
9,97,255,1044.593,44.490
10,165,255,1101.827,45.464
11,62,255,1057.290,45.016
12,41,255,1145.695,44.500
13,88,255,1171.784,47.011
14,110,255,1196.691,46.382
15,74,255,1235.716,45.689
16,101,255,653.550,48.431
17,183,255,965.964,50.790
18,131,255,441.905,51.966
19,69,255,997.819,49.891
20,56,255,1135.000,47.893
21,47,255,1152.351,50.138
22,77,255,1162.591,51.123
23,46,255,453.391,51.239
24,97,255,466.655,52.644
25,38,255,498.053,51.289
26,92,255,1087.978,53.033
27,32,255,1034.344,51.281
28,120,255,1121.158,54.275
29,105,255,1225.319,54.624
30,27,255,1253.648,51.870
31,27,255,1042.426,53.167
32,91,255,1053.038,54.720
33,21,255,1026.786,53.929
34,42,255,1104.000,53.857
35,66,255,1140.909,55.879
36,49,255,319.622,57.520
37,162,255,238.475,62.031
38,179,255,221.360,63.662
39,99,255,259.763,60.631
40,37,255,658.176,60.824
41,57,255,206.816,65.114
42,39,255,248.962,66.628
43,24,255,858.875,68.500
44,89,255,1165.253,70.702
45,102,255,759.431,73.049
46,82,255,195.854,74.415
47,61,255,230.025,74.615
48,40,255,1175.275,74.750
49,83,255,65.380,76.139
50,37,255,220.095,75.392
51,201,255,45.908,81.689
52,71,255,183.937,77.796
53,107,255,77.986,79.846
54,257,255,101.636,82.819
55,93,255,774.091,79.844
56,54,255,115.722,78.778
57,103,255,616.053,81.383
58,75,255,58.727,83.487
59,78,255,172.128,84.000
60,179,255,34.969,88.723
61,40,255,154.000,82.875
62,45,255,1160.389,83.678
63,79,255,701.854,86.791
64,24,255,906.833,85.417
65,125,255,121.100,89.116
66,89,255,891.815,89.354
67,55,255,164.173,89.118
68,123,255,180.053,90.500
69,22,255,195.318,88.273
70,74,255,476.622,88.378
71,96,255,835.156,90.052
72,54,255,1110.167,87.500
73,59,255,86.534,88.347
74,170,255,150.306,95.006
75,90,255,1514.567,89.944
76,64,255,69.516,91.875
77,79,255,135.703,92.044
78,68,255,80.706,94.926
79,85,255,1306.688,95.300
80,78,255,1535.000,94.808
81,76,255,652.763,100.513
82,91,255,1448.698,100.269
83,75,255,1038.807,102.700
84,109,255,578.977,104.335
85,106,255,1160.840,106.981
86,58,255,1185.345,105.552
87,76,255,1011.500,108.000
88,43,255,622.128,108.244
89,27,255,262.019,110.981
90,24,255,1127.500,110.000
91,123,255,1316.654,112.825
92,142,255,174.239,118.901
93,43,255,1042.756,116.779
94,50,255,1597.000,119.900
95,79,255,110.247,124.209
96,51,255,1148.637,121.441
97,105,255,837.167,125.471
98,25,255,1300.260,122.300
99,74,255,934.784,125.811
100,110,255,1210.427,128.318
101,64,255,6.375,126.281
102,85,255,698.794,127.935
103,137,255,784.303,127.704
104,72,255,826.819,126.944
105,21,255,1312.119,126.071
106,93,255,1358.995,130.102
107,25,255,1233.260,128.060
108,101,255,503.807,130.619
109,23,255,1106.761,128.283
110,123,255,1292.711,131.175
111,53,255,1346.104,128.594
112,58,255,82.759,130.500
113,54,255,1162.093,130.611
114,113,255,461.049,133.898
115,59,255,1515.975,132.381
116,184,255,1533.250,135.255
117,38,255,196.921,133.184
118,126,255,1047.008,135.468
119,63,255,51.119,136.310
120,137,255,813.712,137.047
121,40,255,1219.950,133.950
122,186,255,700.769,138.995
123,28,255,1114.571,134.429
124,92,255,32.630,140.207
125,128,255,678.367,140.898
126,111,255,980.545,138.779
127,30,255,191.133,136.867
128,33,255,1069.621,137.318
129,180,255,1398.461,140.878
130,114,255,207.649,143.000
131,52,255,250.731,139.385
132,123,255,840.199,141.614
133,50,255,5.820,141.160
134,58,255,70.724,140.172
135,140,255,97.707,142.407
136,98,255,424.888,141.184
137,106,255,785.585,140.896
138,116,255,1144.983,142.103
139,182,255,1481.044,141.549
140,35,255,747.757,141.814
141,92,255,1089.533,142.837
142,89,255,884.118,145.039
143,81,255,1111.599,144.660
144,138,255,1317.812,146.297
145,216,255,1284.537,148.801
146,73,255,52.363,146.568
147,101,255,1343.292,147.965
148,114,255,726.088,149.447
149,102,255,1358.912,148.314
150,105,255,1374.938,147.900
151,30,255,184.733,148.633
152,164,255,715.506,154.799
153,82,255,979.134,150.085
154,37,255,637.554,148.932
155,104,255,1158.423,150.875
156,69,255,94.399,152.703
157,38,255,202.632,150.553
158,65,255,1498.500,150.546
159,143,255,610.241,155.612
160,80,255,1245.525,154.375
