 ,Area,Mean,X,Y
1,181,255,746.826,10.141
2,71,255,1463.232,9.824
3,160,255,1497.075,11.569
4,141,255,251.933,13.784
5,137,255,189.945,18.142
6,92,255,343.804,15.130
7,92,255,164.424,17.696
8,55,255,237.300,16.355
9,148,255,578.588,17.811
10,78,255,665.090,17.679
11,26,255,1271.423,16.038
12,69,255,604.486,19.167
13,119,255,687.155,21.391
14,57,255,1085.096,19.307
15,280,255,1506.521,27.989
16,176,255,1094.670,27.227
17,87,255,1283.833,20.695
18,20,255,1050.900,21.000
19,61,255,1241.713,22.484
20,75,255,1145.580,22.607
21,92,255,1492.022,24.804
22,128,255,1234.852,29.656
23,94,255,1250.362,26.872
24,144,255,81.257,27.819
25,101,255,1074.193,28.985
26,80,255,54.750,28.712
27,21,255,873.738,27.833
28,55,255,1216.609,28.718
29,32,255,1085.000,31.844
30,72,255,1143.264,32.389
31,132,255,1155.167,34.205
32,52,255,1111.288,34.538
33,120,255,18.650,37.467
34,22,255,1167.409,33.591
35,90,255,1132.500,37.056
36,142,255,1176.444,37.430
37,68,255,1216.515,38.015
38,161,255,1545.593,39.929
39,38,255,454.737,36.921
40,52,255,244.673,39.019
41,133,255,1202.756,39.959
42,44,255,280.500,41.318
43,62,255,260.274,43.242
44,163,255,1536.181,47.426
45,25,255,800.940,43.220
46,103,255,376.917,45.879
47,88,255,634.989,45.568
48,148,255,1556.034,50.007
49,120,255,578.842,48.317
50,60,255,192.783,49.883
51,112,255,758.652,50.116
52,62,255,1008.016,50.516
53,65,255,155.146,50.592
54,158,255,455.968,55.842
55,75,255,284.687,54.673
56,97,255,1395.840,57.737
57,28,255,298.536,60.607
58,78,255,805.551,60.538
59,29,255,345.500,60.500
60,101,255,613.431,62.302
61,22,255,60.136,65.227
62,42,255,29.595,66.524
63,79,255,70.880,67.918
64,78,255,759.577,66.397
65,74,255,986.324,66.851
66,94,255,102.021,68.532
67,35,255,1149.271,67.071
68,84,255,1014.500,71.821
69,72,255,693.653,72.333
70,75,255,1052.860,71.567
71,32,255,1102.000,74.000
72,128,255,1124.477,76.008
73,53,255,122.840,76.500
74,41,255,1269.695,75.524
75,102,255,364.206,77.451
76,54,255,1253.667,77.167
77,26,255,71.346,76.731
78,66,255,415.167,78.606
79,90,255,568.800,81.289
80,20,255,264.550,81.750
81,48,255,706.042,82.875
82,64,255,1344.969,83.078
83,71,255,304.021,83.514
84,21,255,1108.357,83.500
85,116,255,1511.612,90.664
86,46,255,122.870,88.609
87,111,255,770.860,90.455
88,97,255,1229.789,91.675
89,95,255,1297.900,91.405
90,48,255,1111.500,91.104
91,122,255,689.680,94.787
92,79,255,987.665,94.829
93,118,255,1014.686,95.085
94,64,255,55.938,94.438
95,25,255,305.100,92.460
96,85,255,520.324,94.194
97,82,255,1370.512,93.951
98,21,255,179.643,93.167
99,154,255,275.481,95.786
100,108,255,415.120,96.241
101,101,255,488.450,94.936
102,113,255,716.704,96.394
103,99,255,326.015,96.955
104,76,255,1166.342,96.132
105,165,255,851.712,102.367
106,110,255,838.255,99.936
107,82,255,1362.549,99.268
108,22,255,459.000,97.136
109,131,255,203.905,104.989
110,145,255,151.017,104.176
111,35,255,1596.843,99.929
112,188,255,254.660,106.271
113,111,255,119.437,104.302
114,64,255,293.078,103.266
115,80,255,522.500,103.237
116,54,255,1271.796,102.407
117,100,255,463.890,106.320
118,76,255,750.961,103.539
119,90,255,771.089,104.644
120,62,255,1044.484,106.177
121,36,255,1119.917,104.778
122,97,255,494.108,106.613
123,130,255,696.662,107.446
124,72,255,97.042,107.375
125,66,255,131.288,107.348
126,35,255,1297.586,105.957
127,136,255,1337.419,109.074
128,22,255,446.364,107.273
129,80,255,513.712,108.525
130,82,255,571.524,107.817
131,21,255,52.357,107.357
132,22,255,319.955,108.773
133,81,255,558.167,109.093
134,56,255,13.286,110.875
135,80,255,63.850,110.737
136,118,255,172.754,111.915
137,89,255,430.466,109.848
138,84,255,799.119,109.929
139,38,255,1179.053,108.868
140,88,255,265.670,112.932
141,38,255,683.026,110.079
142,33,255,1065.106,109.833
143,170,255,741.329,115.988
144,121,255,889.806,116.079
145,58,255,1167.293,111.810
146,84,255,217.202,114.500
147,113,255,966.580,114.712
148,117,255,1008.483,114.893
149,98,255,1130.459,113.765
150,20,255,1149.500,112.150
151,75,255,536.287,113.620
152,117,255,839.979,114.962
153,24,255,21.875,114.292
154,107,255,45.220,116.285
155,40,255,196.150,114.100
156,84,255,295.452,115.631
157,44,255,581.614,114.864
158,32,255,778.000,113.500
159,104,255,92.846,117.212
160,166,255,132.910,120.446
161,82,255,1254.537,115.646
162,151,255,1363.288,118.182
163,45,255,55.011,117.256
164,109,255,228.656,119.381
165,126,255,239.421,121.048
166,82,255,814.000,119.256
167,111,255,1468.536,118.563
168,59,255,249.297,120.585
169,98,255,490.551,120.469
170,75,255,719.167,118.807
171,141,255,793.032,124.713
172,162,255,77.833,122.290
173,92,255,341.207,122.446
174,40,255,509.575,120.375
175,98,255,660.092,120.816
176,86,255,185.105,122.221
177,85,255,426.418,122.759
178,70,255,608.900,121.229
179,85,255,730.841,123.018
180,83,255,1162.729,122.681
181,80,255,1171.888,122.787
182,59,255,538.432,121.483
183,101,255,557.728,123.124
184,157,255,645.596,124.691
185,128,255,751.398,124.453
186,142,255,1211.035,125.211
187,143,255,118.612,126.836
188,185,255,379.662,128.684
189,99,255,671.914,124.672
190,189,255,778.669,126.802
191,53,255,832.028,122.689
192,69,255,960.833,124.558
193,38,255,864.474,122.921
194,98,255,361.980,127.357
195,72,255,854.472,126.292
196,196,255,1054.010,129.934
197,68,255,213.176,126.603
198,63,255,257.452,127.071
199,91,255,567.071,128.588
200,38,255,1007.053,125.053
201,94,255,3.904,129.202
202,72,255,394.111,128.028
203,106,255,578.274,129.377
204,55,255,599.173,128.027
205,93,255,39.866,129.844
206,95,255,53.889,128.784
207,42,255,94.071,127.619
208,139,255,720.809,129.996
209,92,255,998.272,129.380
210,80,255,408.238,130.025
211,169,255,1286.317,131.104
212,114,255,1551.719,131.579
213,175,255,268.231,133.894
214,96,255,295.490,131.490
215,82,255,466.793,132.037
216,99,255,509.308,131.561
217,48,255,613.271,129.625
218,77,255,824.162,130.162
219,79,255,841.551,131.272
220,84,255,176.964,131.536
221,119,255,491.777,131.954
222,67,255,551.769,132.321
223,97,255,810.582,132.809
224,78,255,933.436,133.077
225,91,255,946.115,132.753
226,23,255,1147.457,128.935
227,59,255,766.093,131.636
228,44,255,1364.909,132.023
229,148,255,192.986,136.709
230,122,255,920.033,134.697
231,123,255,1097.679,135.459
232,76,255,162.816,135.026
233,39,255,345.526,133.910
234,138,255,1008.406,136.819
235,47,255,1301.734,133.947
236,67,255,1350.172,134.545
237,118,255,454.373,137.153
238,67,255,652.216,136.067
239,81,255,883.994,135.883
240,113,255,283.695,137.208
241,84,255,310.071,137.238
242,66,255,983.379,135.712
243,90,255,1373.411,137.300
244,105,255,1404.100,137.862
245,58,255,257.172,139.000
246,56,255,1133.375,136.554
247,34,255,435.441,138.676
248,108,255,642.185,140.148
249,182,255,708.527,140.802
250,83,255,899.825,138.982
251,67,255,1196.455,138.709
252,64,255,104.578,138.891
253,83,255,613.211,140.331
254,108,255,628.093,140.213
255,172,255,863.983,140.669
256,170,255,1118.118,141.906
257,109,255,1236.271,140.904
258,95,255,1386.911,141.142
259,96,255,54.469,140.885
260,35,255,116.500,139.586
261,93,255,499.629,141.919
262,71,255,580.979,140.655
263,84,255,846.536,141.690
264,100,255,246.090,141.840
265,49,255,533.133,141.051
266,111,255,600.698,143.860
267,37,255,1027.149,140.149
268,120,255,1038.025,143.317
269,113,255,1186.925,142.898
270,94,255,1256.309,142.309
271,69,255,340.196,142.384
272,99,255,415.955,144.348
273,88,255,958.727,144.420
274,54,255,1017.519,142.370
275,95,255,1066.805,143.458
276,121,255,216.095,144.963
277,63,255,293.357,144.056
278,142,255,690.042,145.408
279,83,255,724.512,143.645
280,71,255,836.697,143.754
281,164,255,944.585,147.049
282,106,255,25.632,144.547
283,43,255,426.965,143.570
284,63,255,1295.532,144.056
285,139,255,1456.831,146.637
286,136,255,70.324,145.794
287,112,255,168.054,146.545
288,85,255,887.806,146.688
289,142,255,1048.585,148.620
290,53,255,1335.104,144.726
291,106,255,1421.368,145.651
292,98,255,326.194,147.041
293,70,255,379.129,146.657
294,106,255,668.764,146.726
295,106,255,912.906,148.925
296,77,255,973.110,148.071
297,87,255,1137.684,147.017
298,20,255,1312.900,144.700
299,117,255,197.064,149.808
300,60,255,568.333,147.467
301,69,255,1380.181,148.094
302,73,255,88.075,148.993
303,77,255,348.851,150.331
304,98,255,474.969,149.908
305,20,255,980.750,147.200
306,50,255,1086.860,148.000
307,59,255,1365.432,148.551
308,162,255,1354.963,152.920
309,129,255,1506.733,152.663
310,101,255,44.569,153.936
311,54,255,96.870,151.426
312,74,255,110.392,150.689
313,51,255,130.559,150.637
314,95,255,286.416,151.468
315,99,255,358.197,153.581
316,111,255,613.536,151.437
317,97,255,1245.675,151.067
318,51,255,140.402,151.520
319,91,255,338.214,152.742
320,81,255,577.907,151.809
321,117,255,766.927,153.714
322,72,255,899.236,151.875
323,21,255,1172.786,149.071
324,79,255,1413.082,151.399
325,135,255,1561.470,153.115
326,71,255,242.035,152.782
327,84,255,1097.857,152.250
328,34,255,1126.618,150.735
329,97,255,850.397,153.552
330,89,255,923.006,155.680
331,87,255,1064.408,153.960
