 ,Area,Mean,X,Y
1,74,255,624.176,28.716
2,39,255,419.167,35.269
3,26,255,427.231,37.154
4,60,255,346.717,38.150
5,25,255,417.580,41.180
6,56,255,284.911,47.732
7,80,255,840.413,52.175
8,36,255,274.417,51.611
9,74,255,706.257,61.149
10,66,255,1281.682,62.015
11,84,255,1151.810,69.107
12,50,255,1447.620,68.500
13,75,255,1344.620,71.553
14,76,255,953.921,74.658
15,53,255,501.821,74.915
16,58,255,1311.379,75.172
17,43,255,1596.523,77.593
18,52,255,839.500,79.423
19,55,255,1265.427,83.100
20,69,255,1078.428,85.312
21,60,255,591.867,93.550
22,87,255,1133.443,97.971
23,21,255,509.548,96.881
24,24,255,1538.292,97.792
25,64,255,1095.359,100.656
26,27,255,625.093,101.648
27,72,255,88.153,103.042
28,65,255,788.023,103.838
29,71,255,1435.824,105.472
30,66,255,855.061,108.727
31,129,255,690.849,111.484
32,63,255,27.913,109.675
33,66,255,470.136,112.318
34,116,255,491.353,113.931
35,51,255,143.245,112.676
36,76,255,103.355,114.618
37,54,255,219.593,114.352
38,117,255,452.491,115.132
39,143,255,651.983,117.381
40,55,255,563.864,116.136
41,140,255,624.243,118.293
42,91,255,637.335,119.544
43,33,255,248.955,119.439
44,119,255,511.777,123.433
45,56,255,607.375,121.750
46,124,255,1245.218,124.379
47,32,255,697.125,121.562
48,115,255,834.500,125.143
49,81,255,467.710,124.512
50,137,255,550.157,126.361
51,114,255,717.079,126.167
52,83,255,736.307,124.873
53,84,255,483.417,125.762
54,61,255,918.877,125.697
55,70,255,388.257,127.557
56,82,255,699.451,129.232
57,42,255,630.429,128.310
58,75,255,818.713,129.167
59,64,255,1093.969,130.141
60,64,255,1218.234,129.125
61,69,255,93.978,130.254
62,71,255,944.711,130.683
63,65,255,650.008,130.915
64,110,255,1437.091,132.755
65,75,255,153.847,132.447
66,107,255,412.687,133.640
67,83,255,621.837,132.910
68,73,255,1111.349,132.938
69,111,255,597.212,136.986
70,87,255,900.190,134.282
71,71,255,912.500,133.979
72,62,255,1068.629,133.113
73,73,255,1183.925,133.171
74,65,255,730.700,134.485
75,68,255,972.382,135.324
76,72,255,1320.236,134.000
77,27,255,1102.093,135.093
78,104,255,546.567,138.654
79,68,255,1548.603,137.221
80,100,255,466.040,139.970
81,73,255,500.007,139.240
82,119,255,767.710,139.962
83,46,255,1026.891,137.413
84,125,255,743.108,142.884
85,24,255,231.625,138.875
86,105,255,392.052,140.748
87,109,255,429.784,142.472
88,89,255,785.534,141.320
89,107,255,956.696,142.098
90,44,255,1344.909,140.159
91,81,255,631.142,144.414
92,81,255,836.698,143.500
93,71,255,1357.275,142.937
94,57,255,307.640,145.956
95,70,255,1264.971,144.743
