 ,Area,Mean,X,Y
1,220,255,1109.845,43.436
2,130,255,1087.269,59.777
3,67,255,510.067,72.530
4,68,255,538.456,73.838
5,38,255,649.263,74.474
6,115,255,518.874,80.126
7,40,255,910.900,78.775
8,71,255,787.317,84.542
9,69,255,986.065,84.906
10,50,255,1065.160,86.280
11,72,255,1562.181,87.139
12,88,255,1355.511,88.193
13,78,255,1422.244,89.923
14,63,255,590.627,94.040
15,71,255,1301.415,96.556
16,77,255,513.773,97.383
17,99,255,437.631,100.490
18,78,255,1020.179,102.474
19,54,255,957.796,102.815
20,58,255,893.121,104.483
21,64,255,1075.703,105.234
22,49,255,1374.153,104.582
23,60,255,1470.033,109.283
24,59,255,1195.822,108.364
25,71,255,706.359,113.148
26,108,255,583.000,114.954
27,37,255,1354.581,111.932
28,94,255,1413.723,113.734
29,91,255,1447.478,114.280
30,87,255,1525.190,112.925
31,122,255,739.115,116.344
32,91,255,757.390,116.049
33,129,255,606.841,119.236
34,143,255,724.885,121.619
35,22,255,1598.227,117.727
36,53,255,442.009,118.991
37,134,255,689.724,121.791
38,79,255,711.892,121.310
39,81,255,1431.019,119.265
40,166,255,867.614,124.669
41,56,255,956.214,120.089
42,83,255,881.066,122.259
43,75,255,944.687,122.673
44,247,255,575.569,128.771
45,60,255,1100.333,122.617
46,67,255,1123.948,123.888
47,108,255,1476.287,126.352
48,102,255,827.657,127.804
49,134,255,1199.642,127.201
50,65,255,465.731,126.685
51,84,255,735.774,128.357
52,98,255,746.980,129.235
53,72,255,1218.208,127.417
54,88,255,1582.273,127.920
55,30,255,1268.133,126.867
56,73,255,1507.637,127.760
57,32,255,920.000,129.000
58,112,255,883.768,133.348
59,75,255,1038.327,132.060
60,88,255,1084.307,131.523
61,98,255,1546.214,131.673
62,178,255,651.534,134.961
63,80,255,709.138,131.575
64,89,255,1015.096,132.073
65,72,255,1098.819,132.236
66,144,255,418.701,135.458
67,26,255,1001.346,131.962
68,194,255,1228.778,137.093
69,49,255,1126.602,133.684
70,78,255,1278.256,136.385
71,134,255,786.425,139.590
72,85,255,871.641,137.547
73,124,255,1150.653,138.081
74,83,255,1201.331,137.801
75,92,255,1588.576,138.011
76,65,255,856.654,139.608
77,42,255,1321.310,138.690
78,92,255,1384.293,141.630
79,161,255,529.363,142.152
80,69,255,698.167,140.152
81,55,255,949.464,139.227
82,60,255,220.317,139.067
83,151,255,515.619,144.566
84,56,255,742.589,139.482
85,102,255,764.363,142.422
86,65,255,721.438,141.731
87,129,255,366.632,143.508
88,134,255,796.485,145.672
89,61,255,936.189,142.943
90,118,255,1013.695,143.237
91,115,255,1132.370,144.413
92,126,255,1332.746,145.841
93,67,255,1348.142,141.754
94,33,255,567.530,141.682
95,41,255,671.110,143.232
96,65,255,283.777,143.669
97,85,255,385.629,144.876
98,44,255,439.955,143.295
99,166,255,451.627,148.319
100,109,255,581.500,145.849
101,97,255,1313.387,147.376
102,50,255,1417.520,142.900
103,99,255,685.359,146.894
104,53,255,704.651,147.877
105,39,255,254.756,146.064
106,102,255,342.127,148.676
107,65,255,561.515,147.408
108,103,255,661.626,149.345
109,58,255,867.621,146.931
110,110,255,1219.255,149.627
111,54,255,1488.778,148.296
112,80,255,820.638,149.688
113,194,255,1398.139,153.232
114,55,255,1457.227,147.482
115,129,255,1476.880,152.950
116,90,255,464.511,151.167
117,38,255,753.947,148.263
118,113,255,1281.845,151.739
119,167,255,1351.961,150.925
120,80,255,1570.225,150.213
121,114,255,1001.307,151.140
122,76,255,1499.434,151.829
123,79,255,1554.424,151.335
124,57,255,438.640,152.325
125,65,255,728.915,150.808
126,107,255,1426.491,151.958
127,96,255,1589.365,153.135
128,77,255,158.461,151.578
129,114,255,403.789,153.684
130,129,255,1087.841,155.329
131,88,255,1146.284,152.568
132,67,255,1173.470,153.873
133,105,255,876.814,154.738
134,40,255,965.325,152.075
135,20,255,1187.450,151.600
136,150,255,610.907,157.360
137,53,255,886.123,155.047
138,77,255,1516.617,155.552
139,201,255,1538.415,159.032
140,99,255,1100.914,158.005
141,71,255,1230.120,155.655
142,83,255,1269.596,156.283
143,126,255,1382.270,157.405
144,81,255,299.068,156.920
145,69,255,537.297,156.645
146,73,255,585.952,156.911
147,120,255,625.058,159.158
148,87,255,785.879,157.224
149,37,255,899.419,155.284
150,114,255,951.000,158.246
151,28,255,1037.750,155.643
152,48,255,1440.292,155.438
153,72,255,1454.972,156.333
154,71,255,826.655,158.824
155,97,255,1022.036,157.593
156,71,255,57.697,158.627
157,59,255,562.788,159.347
158,67,255,860.933,159.276
159,48,255,1166.625,159.208
160,174,255,251.195,161.667
161,60,255,912.217,159.383
162,160,255,1287.206,164.056
163,59,255,1310.958,158.907
164,62,255,1569.032,160.823
165,192,255,333.828,163.755
166,151,255,929.295,161.765
167,92,255,966.696,161.957
168,67,255,496.037,160.948
169,40,255,639.425,160.575
170,93,255,1005.274,162.468
171,103,255,1239.859,164.150
172,71,255,521.641,162.176
173,63,255,596.992,163.071
174,98,255,1118.480,162.439
175,73,255,1212.185,162.130
176,45,255,1466.900,161.322
177,66,255,777.621,163.652
178,38,255,867.895,162.632
179,103,255,897.267,164.053
180,60,255,994.100,163.400
181,109,255,1031.133,165.280
182,89,255,1059.545,164.792
183,157,255,1148.666,166.487
184,87,255,1192.397,164.052
185,82,255,1496.366,163.707
186,44,255,1526.341,163.114
