,ImageID,Cell Counts,Normalized distance from pia (%),old_names,Animal,Sex,Genotype,Age
0,Seg_NeuN_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,57.0,0.0,L38102-10,L38102-10,F,KO,21
1,Seg_NeuN_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,277.0,10.0,L38102-10,L38102-10,F,KO,21
2,Seg_NeuN_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,447.0,20.0,L38102-10,L38102-10,F,KO,21
3,Seg_NeuN_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,448.0,30.0,L38102-10,L38102-10,F,KO,21
4,Seg_NeuN_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,510.0,40.0,L38102-10,L38102-10,F,KO,21
5,Seg_NeuN_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,413.0,50.0,L38102-10,L38102-10,F,KO,21
6,Seg_NeuN_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,381.0,60.0,L38102-10,L38102-10,F,KO,21
7,Seg_NeuN_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,412.0,70.0,L38102-10,L38102-10,F,KO,21
8,Seg_NeuN_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,478.0,80.0,L38102-10,L38102-10,F,KO,21
9,Seg_NeuN_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,359.0,90.0,L38102-10,L38102-10,F,KO,21
0,Seg_NeuN_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,114.0,0.0,L38102-10,L38102-10,F,KO,21
1,Seg_NeuN_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,349.0,10.0,L38102-10,L38102-10,F,KO,21
2,Seg_NeuN_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,459.0,20.0,L38102-10,L38102-10,F,KO,21
3,Seg_NeuN_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,523.0,30.0,L38102-10,L38102-10,F,KO,21
4,Seg_NeuN_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,559.0,40.0,L38102-10,L38102-10,F,KO,21
5,Seg_NeuN_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,387.0,50.0,L38102-10,L38102-10,F,KO,21
6,Seg_NeuN_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,416.0,60.0,L38102-10,L38102-10,F,KO,21
7,Seg_NeuN_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,411.0,70.0,L38102-10,L38102-10,F,KO,21
8,Seg_NeuN_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,505.0,80.0,L38102-10,L38102-10,F,KO,21
9,Seg_NeuN_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,381.0,90.0,L38102-10,L38102-10,F,KO,21
