Genotype,Animal,Normalized distance from pia (%),Cell Counts
KO,L38102-10,0.0,98.0
KO,L38102-10,10.0,331.3333333333333
KO,L38102-10,20.0,464.0
KO,L38102-10,30.0,491.6666666666667
KO,L38102-10,40.0,531.6666666666666
KO,L38102-10,50.0,403.3333333333333
KO,L38102-10,60.0,388.3333333333333
KO,L38102-10,70.0,419.0
KO,L38102-10,80.0,492.0
KO,L38102-10,90.0,358.6666666666667
KO,L38102-4,0.0,91.66666666666667
KO,L38102-4,10.0,446.3333333333333
KO,L38102-4,20.0,497.0
KO,L38102-4,30.0,509.3333333333333
KO,L38102-4,40.0,451.0
KO,L38102-4,50.0,378.3333333333333
KO,L38102-4,60.0,378.6666666666667
KO,L38102-4,70.0,443.6666666666667
KO,L38102-4,80.0,516.0
KO,L38102-4,90.0,354.3333333333333
KO,L40720_1M,0.0,40.0
KO,L40720_1M,10.0,312.6666666666667
KO,L40720_1M,20.0,380.3333333333333
KO,L40720_1M,30.0,365.0
KO,L40720_1M,40.0,337.3333333333333
KO,L40720_1M,50.0,295.3333333333333
KO,L40720_1M,60.0,306.6666666666667
KO,L40720_1M,70.0,339.6666666666667
KO,L40720_1M,80.0,432.3333333333333
KO,L40720_1M,90.0,222.33333333333334
KO,L40720_5F,0.0,37.0
KO,L40720_5F,10.0,311.3333333333333
KO,L40720_5F,20.0,362.3333333333333
KO,L40720_5F,30.0,378.3333333333333
KO,L40720_5F,40.0,347.0
KO,L40720_5F,50.0,299.3333333333333
KO,L40720_5F,60.0,295.3333333333333
KO,L40720_5F,70.0,346.0
KO,L40720_5F,80.0,426.0
KO,L40720_5F,90.0,176.33333333333334
KO,L41180_3F,0.0,27.333333333333332
KO,L41180_3F,10.0,315.6666666666667
KO,L41180_3F,20.0,412.0
KO,L41180_3F,30.0,412.3333333333333
KO,L41180_3F,40.0,348.0
KO,L41180_3F,50.0,268.6666666666667
KO,L41180_3F,60.0,273.0
KO,L41180_3F,70.0,350.3333333333333
KO,L41180_3F,80.0,199.0
KO,L41180_3F,90.0,98.33333333333333
KO,L50981_1F,0.0,78.0
KO,L50981_1F,10.0,355.3333333333333
KO,L50981_1F,20.0,346.6666666666667
KO,L50981_1F,30.0,353.0
KO,L50981_1F,40.0,338.3333333333333
KO,L50981_1F,50.0,317.6666666666667
KO,L50981_1F,60.0,346.6666666666667
KO,L50981_1F,70.0,441.0
KO,L50981_1F,80.0,356.0
KO,L50981_1F,90.0,119.0
KO,L50981_3F,0.0,67.66666666666667
KO,L50981_3F,10.0,407.0
KO,L50981_3F,20.0,313.0
KO,L50981_3F,30.0,352.3333333333333
KO,L50981_3F,40.0,308.0
KO,L50981_3F,50.0,324.6666666666667
KO,L50981_3F,60.0,415.6666666666667
KO,L50981_3F,70.0,493.3333333333333
KO,L50981_3F,80.0,143.66666666666666
KO,L50981_3F,90.0,235.0
KO,L52184_1M,0.0,59.333333333333336
KO,L52184_1M,10.0,333.3333333333333
KO,L52184_1M,20.0,280.3333333333333
KO,L52184_1M,30.0,296.0
KO,L52184_1M,40.0,304.6666666666667
KO,L52184_1M,50.0,305.3333333333333
KO,L52184_1M,60.0,340.3333333333333
KO,L52184_1M,70.0,435.0
KO,L52184_1M,80.0,331.0
KO,L52184_1M,90.0,197.33333333333334
WT,L38102-11,0.0,119.0
WT,L38102-11,10.0,384.3333333333333
WT,L38102-11,20.0,376.0
WT,L38102-11,30.0,393.3333333333333
WT,L38102-11,40.0,409.0
WT,L38102-11,50.0,354.3333333333333
WT,L38102-11,60.0,347.6666666666667
WT,L38102-11,70.0,398.6666666666667
WT,L38102-11,80.0,436.6666666666667
WT,L38102-11,90.0,321.3333333333333
WT,L38102-3,0.0,110.66666666666667
WT,L38102-3,10.0,426.6666666666667
WT,L38102-3,20.0,410.0
WT,L38102-3,30.0,419.0
WT,L38102-3,40.0,448.3333333333333
WT,L38102-3,50.0,338.6666666666667
WT,L38102-3,60.0,354.3333333333333
WT,L38102-3,70.0,441.6666666666667
WT,L38102-3,80.0,533.0
WT,L38102-3,90.0,269.6666666666667
WT,L40720_2M,0.0,159.66666666666666
WT,L40720_2M,10.0,379.3333333333333
WT,L40720_2M,20.0,328.3333333333333
WT,L40720_2M,30.0,318.0
WT,L40720_2M,40.0,304.6666666666667
WT,L40720_2M,50.0,314.3333333333333
WT,L40720_2M,60.0,315.6666666666667
WT,L40720_2M,70.0,370.0
WT,L40720_2M,80.0,348.6666666666667
WT,L40720_2M,90.0,231.0
WT,L40720_7F,0.0,133.66666666666666
WT,L40720_7F,10.0,344.3333333333333
WT,L40720_7F,20.0,354.0
WT,L40720_7F,30.0,363.0
WT,L40720_7F,40.0,356.6666666666667
WT,L40720_7F,50.0,299.3333333333333
WT,L40720_7F,60.0,301.0
WT,L40720_7F,70.0,342.6666666666667
