 ,Area,Mean,X,Y
1,54,255,755.037,44.463
2,51,255,1369.559,58.363
3,36,255,402.833,61.194
4,43,255,894.779,66.407
5,61,255,461.287,70.057
6,49,255,617.602,78.112
7,58,255,176.241,79.224
8,52,255,104.212,79.673
9,49,255,770.194,84.520
10,58,255,711.000,87.500
11,46,255,1363.370,87.957
12,43,255,984.895,101.570
13,56,255,1105.036,101.393
14,45,255,1459.922,106.544
15,47,255,1251.543,108.926
16,51,255,404.500,112.500
17,29,255,821.397,111.879
18,33,255,1094.924,112.076
19,22,255,822.045,118.364
20,60,255,1156.200,126.667
21,40,255,290.500,127.000
22,58,255,1070.362,130.914
23,51,255,1417.245,134.618
24,47,255,727.564,136.032
25,32,255,1387.125,141.344
26,41,255,1399.500,148.500
27,27,255,174.019,157.019
28,50,255,614.460,160.400
29,26,255,175.115,164.654
30,51,255,944.304,165.539
31,48,255,1181.000,166.500
32,47,255,409.266,170.287
33,50,255,786.380,171.840
34,60,255,458.000,176.500
35,45,255,1191.456,175.811
36,49,255,535.561,177.786
37,53,255,925.462,179.179
38,49,255,247.214,190.010
39,55,255,1301.609,193.209
40,50,255,1002.160,193.480
41,55,255,434.573,197.045
42,49,255,1433.459,207.071
43,61,255,1255.123,212.123
44,77,255,367.136,216.526
45,54,255,1506.056,217.630
46,59,255,829.839,221.008
47,47,255,1298.223,235.415
48,50,255,1233.400,244.880
49,55,255,1035.209,251.809
50,21,255,166.643,259.310
51,45,255,1048.056,262.456
52,70,255,1530.843,263.614
53,57,255,309.921,264.763
54,23,255,165.022,265.370
55,56,255,887.089,268.464
56,46,255,905.130,270.196
57,46,255,243.174,281.739
58,51,255,253.480,283.716
59,33,255,1456.682,287.348
60,46,255,78.652,288.870
61,52,255,133.481,290.519
62,44,255,1441.477,291.818
63,61,255,826.943,295.467
64,27,255,304.611,295.981
65,40,255,819.425,310.450
66,59,255,655.025,315.195
67,63,255,1098.373,313.310
68,37,255,1364.149,314.014
69,44,255,1354.068,321.159
70,72,255,258.639,324.514
71,56,255,638.054,323.536
72,56,255,1473.982,323.589
73,50,255,1215.680,330.940
74,42,255,397.571,333.976
75,57,255,723.833,334.763
76,49,255,384.663,338.153
77,47,255,905.734,338.287
78,70,255,1047.714,342.714
79,75,255,1415.180,352.513
80,74,255,590.000,355.500
81,54,255,1101.556,355.537
82,61,255,862.943,360.451
83,30,255,224.867,366.133
84,43,255,1421.151,367.686
85,24,255,217.208,367.500
86,44,255,1091.614,370.659
87,60,255,1255.117,372.650
88,35,255,646.271,376.071
89,66,255,324.561,379.258
90,63,255,64.373,389.262
91,56,255,1490.607,387.893
92,51,255,239.833,391.873
93,51,255,505.735,391.265
94,68,255,660.221,391.103
95,67,255,855.351,392.873
96,52,255,1475.135,396.731
97,24,255,500.208,405.208
98,49,255,142.684,410.745
99,47,255,1238.926,410.266
100,71,255,1245.852,426.500
101,57,255,548.728,430.816
102,20,255,1519.450,428.600
103,49,255,1415.929,436.561
104,49,255,859.153,439.520
105,61,255,1191.418,446.598
106,56,255,722.732,447.500
107,64,255,1400.000,448.000
108,56,255,279.125,449.589
109,60,255,602.117,449.183
110,43,255,267.849,450.477
111,50,255,446.420,465.280
112,48,255,747.583,465.542
113,49,255,1048.500,468.378
114,52,255,1327.865,469.135
115,50,255,771.560,470.140
116,39,255,1597.141,471.885
117,60,255,24.833,473.483
118,58,255,799.310,474.534
119,54,255,1119.870,481.907
120,78,255,496.795,483.051
121,50,255,439.720,487.000
122,50,255,803.380,489.000
123,22,255,1281.455,487.773
124,26,255,485.000,489.500
125,45,255,308.811,494.433
126,34,255,316.647,495.618
127,58,255,1546.259,496.828
128,29,255,1283.948,497.810
129,48,255,685.021,501.729
130,36,255,451.361,504.111
131,54,255,397.648,509.815
132,47,255,972.755,511.202
133,23,255,884.109,512.457
134,36,255,377.694,514.028
135,43,255,382.942,520.872
136,45,255,1404.167,525.322
137,43,255,897.756,529.058
138,79,255,1209.019,531.386
139,73,255,138.021,544.062
140,22,255,629.000,545.773
141,34,255,619.324,547.059
142,60,255,746.267,550.350
143,56,255,1214.107,549.768
144,47,255,1324.606,551.457
145,52,255,442.654,561.173
146,26,255,627.000,567.500
147,64,255,141.969,570.219
148,45,255,931.256,576.989
149,40,255,1122.100,577.525
150,55,255,1333.045,582.064
151,29,255,1437.810,582.052
152,31,255,352.532,589.790
153,25,255,1.700,592.660
154,48,255,1364.938,593.271
155,42,255,1434.452,596.595
156,54,255,1206.648,596.648
157,25,255,1226.060,597.580
158,40,255,348.075,604.375
159,47,255,540.543,609.372
160,66,255,598.833,615.227
161,41,255,99.354,616.549
162,52,255,254.250,616.885
163,30,255,430.000,615.833
164,41,255,741.354,619.646
165,57,255,617.044,621.219
166,50,255,166.720,622.900
167,56,255,865.768,622.321
168,50,255,416.540,624.560
169,53,255,952.368,626.142
170,28,255,553.000,629.357
171,25,255,945.780,631.980
172,56,255,45.857,640.054
173,58,255,1301.259,645.069
174,55,255,112.500,648.500
175,46,255,998.978,650.543
176,52,255,456.923,660.077
177,56,255,1564.750,663.000
178,72,255,263.694,663.847
179,46,255,876.370,669.587
180,45,255,734.056,675.589
181,65,255,216.992,679.792
182,60,255,537.317,682.617
183,35,255,1480.471,681.329
184,58,255,157.328,685.966
185,60,255,680.367,687.317
186,37,255,722.068,685.932
187,36,255,1472.139,687.111
188,34,255,36.176,696.559
189,49,255,491.071,703.031
190,36,255,38.972,704.667
191,36,255,1333.500,707.139
192,63,255,596.246,713.437
193,30,255,1510.000,712.500
194,40,255,1267.000,724.800
195,57,255,767.132,729.798
196,51,255,926.990,729.775
197,62,255,972.419,729.387
198,45,255,778.833,731.344
199,66,255,1590.091,735.742
200,68,255,1186.309,735.368
201,61,255,76.123,740.844
202,55,255,842.882,742.718
203,64,255,1126.734,741.516
204,38,255,130.974,741.237
205,49,255,409.969,743.867
206,63,255,1499.802,743.690
207,42,255,749.643,743.714
208,48,255,242.812,747.083
209,56,255,936.357,753.143
210,53,255,126.028,753.519
211,37,255,240.500,755.554
212,46,255,1459.152,756.000
213,20,255,751.400,755.500
214,25,255,1249.860,756.260
215,48,255,627.604,757.854
216,31,255,661.113,758.468
217,44,255,643.250,760.591
218,52,255,829.692,768.788
219,47,255,1142.202,773.713
220,43,255,302.198,776.523
221,37,255,457.662,776.581
222,47,255,821.883,779.394
223,49,255,442.847,779.786
224,63,255,1348.579,780.516
225,40,255,989.150,784.750
226,48,255,1360.104,790.438
227,40,255,151.175,795.650
228,45,255,690.033,797.078
229,50,255,1040.540,800.880
230,35,255,698.271,801.814
231,57,255,182.430,809.623
232,54,255,335.130,814.037
233,43,255,243.105,818.360
234,32,255,646.906,820.375
235,64,255,134.000,825.453
236,40,255,508.025,824.875
237,67,255,624.261,827.410
238,46,255,1110.435,833.543
