 ,Area,Mean,X,Y
1,53,255,574.330,48.387
2,41,255,380.549,57.695
3,39,255,1472.295,58.321
4,38,255,678.342,60.342
5,64,255,793.531,71.422
6,40,255,1401.825,68.950
7,61,255,1011.648,72.598
8,53,255,1419.198,82.764
9,50,255,1160.240,83.820
10,49,255,462.173,92.949
11,51,255,1246.539,94.500
12,40,255,350.225,103.350
13,55,255,1472.045,104.845
14,33,255,1487.500,110.712
15,43,255,104.988,111.384
16,61,255,1163.156,114.139
17,48,255,1300.312,113.354
18,49,255,1572.908,112.908
19,34,255,987.324,115.529
20,40,255,339.025,119.725
21,40,255,1010.025,118.675
22,44,255,579.045,128.682
23,43,255,1105.081,128.686
24,27,255,938.500,134.796
25,22,255,850.455,137.182
26,55,255,1551.318,137.609
27,51,255,97.735,140.343
28,39,255,845.910,143.782
29,51,255,687.618,145.618
30,37,255,406.689,149.581
31,45,255,1430.256,156.367
32,84,255,158.119,158.619
33,57,255,576.605,159.430
34,42,255,616.714,167.643
35,35,255,1130.500,168.271
36,50,255,482.420,169.460
37,58,255,540.914,170.983
38,27,255,1323.759,171.093
39,41,255,1176.915,173.159
40,54,255,70.815,176.444
41,33,255,1176.955,181.924
42,42,255,1553.095,187.857
43,44,255,1018.000,192.000
44,21,255,1480.262,192.786
45,37,255,1475.500,199.338
46,57,255,967.482,199.939
47,49,255,1447.704,204.071
48,53,255,1514.028,211.745
49,57,255,1559.500,214.658
50,40,255,1402.100,214.425
51,51,255,1278.892,218.186
52,35,255,1250.471,217.643
53,51,255,850.735,227.324
54,45,255,82.278,228.322
55,42,255,708.690,227.833
56,51,255,904.735,230.931
57,59,255,1362.263,235.839
58,50,255,454.320,244.480
59,38,255,1198.711,244.947
60,24,255,915.000,247.000
61,40,255,609.900,252.325
62,27,255,919.759,253.130
63,47,255,1088.202,254.798
64,25,255,617.060,261.580
65,60,255,1544.767,265.883
66,61,255,968.943,267.615
67,36,255,787.639,273.889
68,21,255,122.357,274.357
69,29,255,202.362,275.155
70,25,255,115.820,276.140
71,62,255,1241.887,280.306
72,61,255,1477.369,283.615
73,49,255,200.622,285.643
74,52,255,345.308,286.846
75,54,255,1152.685,286.537
76,69,255,1468.341,305.196
77,60,255,280.300,316.150
78,34,255,1596.412,313.765
79,33,255,450.500,320.500
80,43,255,1077.384,323.058
81,54,255,136.889,327.463
82,48,255,1395.250,328.062
83,46,255,448.217,328.891
84,58,255,887.293,334.931
85,58,255,1305.655,340.741
86,63,255,641.976,348.262
87,60,255,17.850,349.167
88,32,255,1208.500,351.125
89,46,255,502.391,356.130
90,47,255,850.862,358.074
91,60,255,1545.433,373.933
92,58,255,27.310,375.741
93,45,255,1569.833,379.544
94,50,255,1265.020,386.340
95,56,255,836.982,387.696
96,49,255,1387.724,389.602
97,56,255,502.732,388.554
98,60,255,1089.433,389.133
99,67,255,265.261,392.440
100,49,255,976.602,391.337
101,38,255,1239.105,390.921
102,46,255,1129.761,395.783
103,50,255,459.080,398.800
104,45,255,1456.278,414.167
105,45,255,210.100,414.700
106,21,255,156.595,417.976
107,70,255,1471.157,423.157
108,61,255,872.484,424.844
109,28,255,162.143,426.036
110,37,255,319.581,425.959
111,59,255,504.703,430.958
112,56,255,1184.411,432.161
113,32,255,840.875,436.000
114,45,255,1324.478,438.678
115,31,255,448.726,439.661
116,78,255,1502.000,442.064
117,50,255,155.620,442.340
118,98,255,948.959,450.959
119,34,255,1320.206,449.000
120,54,255,79.389,457.796
121,23,255,211.239,465.109
122,51,255,1330.971,469.324
123,58,255,1047.690,472.793
124,31,255,1480.919,472.565
125,37,255,1597.257,478.716
126,47,255,906.160,482.734
127,58,255,268.155,487.310
128,63,255,118.437,492.294
129,39,255,652.346,494.526
130,23,255,359.804,500.326
131,40,255,452.200,500.425
132,29,255,593.086,500.948
133,20,255,607.000,501.450
134,44,255,1589.295,502.386
