 ,Area,Mean,X,Y
1,28,255,388.750,4.750
2,21,255,770.500,6.500
3,44,255,423.750,10.636
4,34,255,848.765,10.206
5,54,255,519.426,13.852
6,26,255,1384.038,11.038
7,38,255,1451.368,11.263
8,28,255,1444.750,15.857
9,41,255,964.841,23.207
10,26,255,604.615,36.269
11,36,255,959.417,43.194
12,45,255,1251.056,44.856
13,47,255,190.351,49.053
14,42,255,150.833,53.714
15,39,255,6.731,57.167
16,49,255,453.786,70.173
17,38,255,971.000,70.289
18,37,255,1558.068,69.068
19,54,255,816.630,77.444
20,39,255,352.705,83.449
21,41,255,1285.012,85.012
22,40,255,562.025,87.150
23,28,255,568.857,86.036
24,35,255,1551.386,86.443
25,35,255,234.071,88.929
26,37,255,1108.176,89.446
27,48,255,833.292,90.625
28,57,255,1343.096,96.868
29,61,255,1132.221,102.664
30,43,255,391.547,105.686
31,59,255,1382.907,110.178
32,35,255,114.814,110.786
33,39,255,1108.090,115.218
34,73,255,455.842,131.719
35,38,255,902.105,140.632
36,69,255,1227.616,141.732
37,39,255,904.936,150.167
38,60,255,338.967,156.133
39,68,255,274.882,156.662
40,47,255,785.436,162.053
41,51,255,368.892,165.010
42,27,255,1496.426,163.907
43,51,255,199.029,172.892
44,48,255,685.625,172.875
45,61,255,1141.582,175.156
46,43,255,1207.500,188.035
47,65,255,1527.685,190.392
48,52,255,734.481,193.577
49,48,255,765.812,198.292
50,47,255,175.457,201.096
51,50,255,127.880,200.900
52,55,255,474.809,202.536
53,51,255,1489.931,209.951
54,80,255,47.250,213.963
55,38,255,137.211,216.105
56,47,255,895.287,230.011
57,41,255,1188.061,241.573
58,33,255,1184.227,246.833
59,52,255,1259.654,259.288
60,56,255,1397.250,259.946
61,47,255,107.670,263.564
62,47,255,493.840,274.904
63,58,255,1067.397,275.983
64,40,255,1481.000,274.000
65,48,255,22.500,277.000
66,39,255,573.731,285.423
67,27,255,1551.315,285.537
68,71,255,320.894,291.711
69,30,255,399.233,299.867
70,37,255,396.068,306.581
71,25,255,829.620,306.580
72,44,255,490.659,308.614
73,48,255,1268.188,310.938
74,40,255,50.325,315.200
75,52,255,927.000,319.000
76,53,255,1189.047,324.972
77,45,255,816.456,325.833
78,63,255,70.944,346.611
79,44,255,427.886,354.523
80,68,255,966.838,357.838
81,39,255,123.782,356.449
82,49,255,1307.888,362.724
83,31,255,426.242,364.210
84,27,255,526.167,364.204
85,58,255,671.379,365.052
86,36,255,523.694,372.306
87,33,255,124.318,372.712
88,56,255,765.196,374.679
89,25,255,601.900,393.540
90,39,255,370.603,395.859
91,52,255,1296.827,397.577
92,47,255,1104.734,400.500
93,56,255,1574.571,408.929
94,70,255,81.343,418.286
95,73,255,695.295,425.760
96,22,255,472.227,426.318
97,55,255,990.573,428.045
98,41,255,916.378,431.598
99,42,255,1177.190,433.286
100,58,255,1484.845,434.552
101,51,255,775.206,438.343
102,63,255,262.183,440.246
103,46,255,580.957,439.804
104,49,255,861.704,458.949
105,51,255,1340.186,459.225
106,61,255,645.352,465.172
107,34,255,1129.265,469.294
108,45,255,126.411,473.278
109,79,255,29.576,478.854
110,28,255,1127.321,477.107
111,41,255,348.500,479.744
112,47,255,456.968,483.713
113,59,255,748.229,490.958
114,48,255,949.542,489.958
115,55,255,1084.664,490.864
116,21,255,1339.310,494.548
117,50,255,905.140,498.540
118,55,255,115.064,499.827
119,46,255,1364.174,500.848
120,41,255,628.183,503.549
121,42,255,764.595,504.881
122,36,255,1031.528,507.278
123,57,255,1583.833,509.868
124,73,255,1278.705,514.747
125,65,255,1506.238,517.423
126,51,255,406.245,533.559
127,20,255,461.800,535.000
128,59,255,711.161,540.788
129,50,255,990.320,542.340
130,54,255,1499.556,545.537
131,49,255,363.969,551.888
132,52,255,614.250,558.558
133,54,255,646.926,563.630
134,35,255,771.471,567.643
135,44,255,729.205,569.295
136,21,255,1296.500,568.500
137,36,255,1186.333,571.250
138,49,255,272.296,573.276
139,51,255,818.029,572.931
140,45,255,1029.056,577.211
141,31,255,1185.339,577.274
142,29,255,545.086,579.224
143,43,255,986.640,580.198
144,61,255,1567.008,584.795
145,55,255,720.027,585.936
146,39,255,810.449,589.551
147,43,255,399.384,590.384
148,25,255,30.300,601.260
149,55,255,93.755,603.445
150,43,255,570.267,603.384
151,45,255,1485.144,604.389
152,58,255,602.500,612.293
153,36,255,273.333,613.250
154,40,255,936.250,615.900
155,70,255,1530.571,619.429
156,63,255,143.722,622.817
157,56,255,276.643,629.429
158,44,255,1020.727,636.886
159,32,255,1405.406,640.250
160,24,255,1597.792,645.833
161,52,255,33.827,647.096
162,39,255,1411.962,648.064
163,32,255,361.000,649.000
164,27,255,332.796,657.278
165,51,255,1106.422,660.637
166,57,255,120.588,660.974
167,33,255,50.258,663.591
168,46,255,491.022,666.978
169,52,255,1514.788,692.846
170,44,255,1355.136,693.250
171,38,255,734.132,698.474
172,53,255,162.557,701.802
173,39,255,287.372,701.756
174,38,255,555.816,703.474
175,45,255,76.256,705.056
176,53,255,1480.708,711.142
177,61,255,1221.123,713.336
178,43,255,84.500,713.500
179,53,255,927.896,716.292
180,60,255,1159.767,725.250
181,23,255,1496.109,723.543
182,54,255,1281.056,735.796
183,37,255,46.554,738.365
184,54,255,1186.204,752.870
185,64,255,400.422,755.719
186,46,255,1568.630,756.000
187,48,255,167.083,757.000
188,49,255,1072.684,762.316
189,44,255,881.318,764.023
190,62,255,1422.258,763.871
191,63,255,1409.976,768.167
192,50,255,926.020,769.440
193,54,255,1212.926,769.796
194,45,255,103.567,772.056
195,22,255,737.409,778.409
196,43,255,122.523,786.012
197,38,255,1184.711,788.132
198,39,255,1571.603,795.782
199,42,255,1275.048,799.333
200,36,255,25.917,800.500
201,36,255,1357.639,799.972
202,56,255,214.607,803.000
203,31,255,59.952,809.403
204,52,255,1001.788,813.308
205,40,255,69.825,814.525
206,60,255,1452.717,817.150
207,48,255,476.500,817.750
208,30,255,1595.133,817.867
209,70,255,1344.571,820.343
210,41,255,921.451,823.232
211,42,255,1067.881,828.595
212,43,255,1228.779,830.430
213,24,255,839.208,834.958
214,57,255,1384.096,837.395
215,26,255,161.808,839.423
216,55,255,1435.045,842.536
217,40,255,177.000,845.075
218,35,255,26.586,848.700
219,36,255,193.361,846.889
220,39,255,639.910,851.500
221,21,255,222.214,857.357
222,47,255,490.926,864.053
223,31,255,696.177,864.597
224,51,255,1338.814,865.461
225,30,255,55.133,864.867
226,32,255,603.125,865.000
227,64,255,1548.812,866.766
228,49,255,1402.173,871.929
229,37,255,220.095,873.473
230,40,255,667.075,877.350
231,23,255,761.065,876.674
232,60,255,1378.117,883.367
233,51,255,1079.461,884.931
234,60,255,1548.900,886.250
235,39,255,797.910,885.808
236,31,255,811.210,894.952
237,34,255,422.412,896.088
238,41,255,537.378,897.524
239,62,255,1260.306,899.548
240,32,255,805.656,899.312
241,32,255,942.688,900.781
242,46,255,875.435,902.087
243,28,255,1467.607,902.214
244,23,255,595.935,910.587
245,55,255,1108.664,912.409
246,44,255,920.386,912.818
247,48,255,974.250,913.500
248,27,255,125.093,914.759
249,63,255,1327.929,917.548
250,35,255,878.357,916.900
251,54,255,1443.852,917.944
252,59,255,1146.534,919.449
253,52,255,412.635,925.288
254,42,255,302.024,925.881
255,32,255,1103.781,926.469
256,33,255,379.652,928.348
257,25,255,516.460,927.420
258,28,255,1258.000,928.000
259,47,255,1451.053,932.564
260,40,255,654.825,936.825
261,39,255,389.295,939.269
262,42,255,911.929,939.238
263,49,255,1196.582,939.398
264,26,255,881.692,940.846
265,69,255,991.370,941.399
266,37,255,471.770,944.554
267,52,255,721.038,944.481
268,56,255,1268.036,946.839
269,37,255,1385.743,945.257
270,39,255,1036.500,946.500
271,52,255,1072.904,947.327
272,44,255,519.000,947.000
273,24,255,480.833,947.500
274,35,255,799.357,947.357
275,50,255,229.860,948.840
276,45,255,759.167,950.189
277,37,255,1047.743,950.257
278,42,255,1114.214,949.405
279,56,255,1493.571,951.482
280,39,255,973.244,951.064
281,53,255,1403.047,953.651
282,26,255,812.654,952.769
283,62,255,924.935,954.694
284,58,255,953.483,957.121
285,52,255,1234.981,958.981
286,61,255,165.008,961.238
287,34,255,288.000,960.500
288,40,255,1123.400,960.075
289,56,255,1085.929,961.750
290,49,255,1443.806,963.704
291,55,255,1193.518,965.264
292,47,255,1577.287,965.564
293,53,255,664.745,966.443
294,27,255,825.204,965.611
295,43,255,404.291,967.663
296,51,255,530.422,968.245
