 ,Area,Mean,X,Y
1,25,255,696.300,27.260
2,35,255,543.671,29.814
3,55,255,998.882,42.809
4,40,255,1161.525,43.950
5,45,255,1508.100,43.678
6,44,255,379.682,46.000
7,37,255,947.932,55.878
8,44,255,280.886,58.614
9,43,255,482.523,59.128
10,23,255,946.630,63.978
11,32,255,1143.594,64.438
12,38,255,870.053,67.658
13,32,255,636.906,70.750
14,29,255,736.948,70.810
15,48,255,1569.708,72.750
16,23,255,1020.891,71.283
17,36,255,59.611,72.639
18,38,255,729.342,73.105
19,44,255,1474.864,77.295
20,37,255,326.743,81.473
21,49,255,190.827,82.929
22,33,255,356.470,82.682
23,47,255,1059.394,83.798
24,46,255,985.652,88.174
25,59,255,1315.686,88.280
26,26,255,1099.962,88.192
27,49,255,170.806,89.031
28,43,255,886.244,90.593
29,42,255,25.405,95.333
30,21,255,807.881,94.071
31,35,255,798.786,100.814
32,51,255,966.324,107.049
33,65,255,242.823,108.177
34,35,255,107.957,108.557
35,42,255,1043.024,108.976
36,42,255,413.571,115.476
37,37,255,110.554,117.500
38,38,255,1215.737,127.658
39,32,255,1358.906,137.688
40,41,255,1571.329,139.159
41,46,255,1207.370,143.783
42,47,255,1370.053,145.287
43,21,255,1509.500,143.500
44,38,255,1449.947,147.079
45,48,255,736.562,148.833
46,44,255,1345.136,149.477
47,34,255,1145.735,152.882
48,53,255,790.821,158.613
49,26,255,365.115,161.192
50,24,255,180.375,165.292
51,46,255,1456.674,165.217
52,39,255,837.936,172.936
53,37,255,174.878,175.797
54,47,255,255.798,176.500
55,38,255,91.658,179.921
56,45,255,72.656,184.278
57,44,255,1537.705,195.659
58,42,255,1057.452,204.833
59,31,255,1176.113,204.177
60,39,255,74.962,211.910
61,55,255,1319.191,211.300
62,27,255,1239.907,213.019
63,36,255,1587.361,220.361
64,53,255,1233.047,221.066
65,30,255,908.633,222.733
66,43,255,1429.919,224.523
67,36,255,1482.444,233.583
68,26,255,219.692,233.308
69,43,255,1584.058,234.058
70,26,255,208.615,234.500
71,52,255,51.385,236.942
72,43,255,1495.895,236.407
73,46,255,914.739,238.609
74,39,255,875.218,241.141
75,39,255,108.449,244.090
76,56,255,360.929,246.482
77,39,255,519.782,252.859
78,56,255,959.000,253.357
79,26,255,14.769,262.500
80,50,255,978.300,264.620
81,46,255,596.174,266.283
82,52,255,456.365,273.558
83,28,255,795.857,275.036
84,29,255,235.293,278.810
85,51,255,296.735,280.971
86,33,255,1029.712,300.015
87,29,255,1391.397,300.328
88,30,255,670.000,302.500
89,28,255,375.536,304.750
90,35,255,79.214,306.100
91,30,255,443.133,307.867
92,43,255,1032.802,312.035
93,38,255,287.026,311.737
94,29,255,1181.914,318.914
95,48,255,528.521,320.562
96,46,255,940.326,325.022
97,33,255,502.742,327.924
98,47,255,159.883,339.862
99,38,255,176.553,343.684
100,46,255,1237.652,348.848
101,41,255,747.232,363.159
102,37,255,882.365,366.311
103,27,255,887.463,372.759
104,43,255,1340.616,379.500
105,33,255,624.712,381.712
106,29,255,1152.086,397.362
107,36,255,21.694,397.889
108,41,255,845.866,400.841
109,41,255,1014.329,404.378
110,44,255,1345.091,412.659
111,45,255,1416.833,411.322
112,44,255,811.205,427.136
113,42,255,534.405,427.214
114,21,255,282.500,431.500
115,22,255,1043.318,435.000
116,20,255,505.000,442.900
117,33,255,1232.258,447.924
118,40,255,897.800,449.950
119,56,255,1001.661,458.393
120,22,255,1091.818,464.591
121,50,255,850.580,467.700
122,43,255,1313.570,469.826
123,24,255,167.833,476.375
124,44,255,1163.568,483.864
125,55,255,362.082,487.391
126,52,255,394.827,490.096
127,33,255,1339.894,490.803
128,20,255,49.000,502.500
129,37,255,278.878,509.500
130,49,255,62.929,516.031
131,23,255,841.239,515.326
132,40,255,996.700,515.575
133,39,255,707.603,515.321
134,31,255,486.758,524.984
135,52,255,921.981,540.692
136,47,255,1221.670,540.628
137,47,255,374.309,541.117
138,50,255,1450.880,543.260
139,40,255,1145.000,555.200
140,45,255,760.967,568.700
141,54,255,461.667,572.222
142,39,255,1064.500,570.397
143,30,255,1463.133,575.867
144,46,255,1016.174,600.239
145,23,255,1407.109,598.413
146,45,255,637.633,605.100
