,ImageID,Cell Counts,Normalized distance from pia (%),old_names,Animal,Sex,Genotype,Age
0,Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,8.0,0.0,L38102-10,L38102-10,F,KO,21
1,Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,38.0,10.0,L38102-10,L38102-10,F,KO,21
2,Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,41.0,20.0,L38102-10,L38102-10,F,KO,21
3,Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,32.0,30.0,L38102-10,L38102-10,F,KO,21
4,Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,31.0,40.0,L38102-10,L38102-10,F,KO,21
5,Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,34.0,50.0,L38102-10,L38102-10,F,KO,21
6,Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,31.0,60.0,L38102-10,L38102-10,F,KO,21
7,Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,38.0,70.0,L38102-10,L38102-10,F,KO,21
8,Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,50.0,80.0,L38102-10,L38102-10,F,KO,21
9,Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,54.0,90.0,L38102-10,L38102-10,F,KO,21
0,Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,16.0,0.0,L38102-10,L38102-10,F,KO,21
1,Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,29.0,10.0,L38102-10,L38102-10,F,KO,21
2,Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,28.0,20.0,L38102-10,L38102-10,F,KO,21
3,Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,31.0,30.0,L38102-10,L38102-10,F,KO,21
4,Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,39.0,40.0,L38102-10,L38102-10,F,KO,21
5,Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,33.0,50.0,L38102-10,L38102-10,F,KO,21
6,Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,42.0,60.0,L38102-10,L38102-10,F,KO,21
7,Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,43.0,70.0,L38102-10,L38102-10,F,KO,21
8,Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,31.0,80.0,L38102-10,L38102-10,F,KO,21
9,Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,54.0,90.0,L38102-10,L38102-10,F,KO,21
0,Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,15.0,0.0,L38102-10,L38102-10,F,KO,21
1,Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,30.0,10.0,L38102-10,L38102-10,F,KO,21
2,Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,27.0,20.0,L38102-10,L38102-10,F,KO,21
3,Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,31.0,30.0,L38102-10,L38102-10,F,KO,21
4,Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,38.0,40.0,L38102-10,L38102-10,F,KO,21
5,Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,34.0,50.0,L38102-10,L38102-10,F,KO,21
6,Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,43.0,60.0,L38102-10,L38102-10,F,KO,21
7,Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,35.0,70.0,L38102-10,L38102-10,F,KO,21
8,Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,32.0,80.0,L38102-10,L38102-10,F,KO,21
9,Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,81.0,90.0,L38102-10,L38102-10,F,KO,21
0,Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,13.0,0.0,L38102-11,L38102-11,F,WT,21
1,Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,39.0,10.0,L38102-11,L38102-11,F,WT,21
2,Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,31.0,20.0,L38102-11,L38102-11,F,WT,21
3,Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,31.0,30.0,L38102-11,L38102-11,F,WT,21
4,Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,40.0,40.0,L38102-11,L38102-11,F,WT,21
5,Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,27.0,50.0,L38102-11,L38102-11,F,WT,21
6,Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,31.0,60.0,L38102-11,L38102-11,F,WT,21
7,Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,33.0,70.0,L38102-11,L38102-11,F,WT,21
8,Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,33.0,80.0,L38102-11,L38102-11,F,WT,21
9,Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.tif_rotated,54.0,90.0,L38102-11,L38102-11,F,WT,21
0,Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,34.0,0.0,L38102-11,L38102-11,F,WT,21
1,Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,33.0,10.0,L38102-11,L38102-11,F,WT,21
2,Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,41.0,20.0,L38102-11,L38102-11,F,WT,21
3,Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,36.0,30.0,L38102-11,L38102-11,F,WT,21
4,Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,37.0,40.0,L38102-11,L38102-11,F,WT,21
5,Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,52.0,50.0,L38102-11,L38102-11,F,WT,21
6,Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,53.0,60.0,L38102-11,L38102-11,F,WT,21
7,Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,41.0,70.0,L38102-11,L38102-11,F,WT,21
8,Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,34.0,80.0,L38102-11,L38102-11,F,WT,21
9,Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,60.0,90.0,L38102-11,L38102-11,F,WT,21
0,Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,35.0,0.0,L38102-11,L38102-11,F,WT,21
1,Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,36.0,10.0,L38102-11,L38102-11,F,WT,21
2,Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,41.0,20.0,L38102-11,L38102-11,F,WT,21
3,Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,46.0,30.0,L38102-11,L38102-11,F,WT,21
4,Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,53.0,40.0,L38102-11,L38102-11,F,WT,21
5,Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,47.0,50.0,L38102-11,L38102-11,F,WT,21
6,Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,41.0,60.0,L38102-11,L38102-11,F,WT,21
7,Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,39.0,70.0,L38102-11,L38102-11,F,WT,21
8,Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,49.0,80.0,L38102-11,L38102-11,F,WT,21
9,Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,91.0,90.0,L38102-11,L38102-11,F,WT,21
0,Seg_Olig2_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,21.0,0.0,L38102-3_,L38102-3,M,WT,21
1,Seg_Olig2_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,34.0,10.0,L38102-3_,L38102-3,M,WT,21
2,Seg_Olig2_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,28.0,20.0,L38102-3_,L38102-3,M,WT,21
3,Seg_Olig2_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,23.0,30.0,L38102-3_,L38102-3,M,WT,21
4,Seg_Olig2_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,29.0,40.0,L38102-3_,L38102-3,M,WT,21
5,Seg_Olig2_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,31.0,50.0,L38102-3_,L38102-3,M,WT,21
6,Seg_Olig2_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,22.0,60.0,L38102-3_,L38102-3,M,WT,21
7,Seg_Olig2_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,26.0,70.0,L38102-3_,L38102-3,M,WT,21
