Genotype,Animal,Normalized distance from pia (%),Cell Counts
KO,L38102-10,0.0,13.0
KO,L38102-10,10.0,32.333333333333336
KO,L38102-10,20.0,32.0
KO,L38102-10,30.0,31.333333333333332
KO,L38102-10,40.0,36.0
KO,L38102-10,50.0,33.666666666666664
KO,L38102-10,60.0,38.666666666666664
KO,L38102-10,70.0,38.666666666666664
KO,L38102-10,80.0,37.666666666666664
KO,L38102-10,90.0,63.0
KO,L38102-4,0.0,19.666666666666668
KO,L38102-4,10.0,32.666666666666664
KO,L38102-4,20.0,26.666666666666668
KO,L38102-4,30.0,39.0
KO,L38102-4,40.0,38.0
KO,L38102-4,50.0,43.333333333333336
KO,L38102-4,60.0,51.666666666666664
KO,L38102-4,70.0,60.0
KO,L38102-4,80.0,64.66666666666667
KO,L38102-4,90.0,125.66666666666667
KO,L40720_1M,0.0,23.666666666666668
KO,L40720_1M,10.0,30.333333333333332
KO,L40720_1M,20.0,32.0
KO,L40720_1M,30.0,22.0
KO,L40720_1M,40.0,37.0
KO,L40720_1M,50.0,36.666666666666664
KO,L40720_1M,60.0,33.333333333333336
KO,L40720_1M,70.0,44.666666666666664
KO,L40720_1M,80.0,48.666666666666664
KO,L40720_1M,90.0,154.33333333333334
KO,L40720_5F,0.0,18.333333333333332
KO,L40720_5F,10.0,30.333333333333332
KO,L40720_5F,20.0,25.333333333333332
KO,L40720_5F,30.0,24.666666666666668
KO,L40720_5F,40.0,29.666666666666668
KO,L40720_5F,50.0,26.333333333333332
KO,L40720_5F,60.0,36.0
KO,L40720_5F,70.0,37.0
KO,L40720_5F,80.0,50.333333333333336
KO,L40720_5F,90.0,158.0
KO,L41180_3F,0.0,13.333333333333334
KO,L41180_3F,10.0,22.666666666666668
KO,L41180_3F,20.0,19.0
KO,L41180_3F,30.0,20.0
KO,L41180_3F,40.0,18.666666666666668
KO,L41180_3F,50.0,18.0
KO,L41180_3F,60.0,19.666666666666668
KO,L41180_3F,70.0,22.333333333333332
KO,L41180_3F,80.0,42.666666666666664
KO,L41180_3F,90.0,48.0
KO,L50981_1F,0.0,24.0
KO,L50981_1F,10.0,29.333333333333332
KO,L50981_1F,20.0,25.0
KO,L50981_1F,30.0,28.666666666666668
KO,L50981_1F,40.0,26.666666666666668
KO,L50981_1F,50.0,36.0
KO,L50981_1F,60.0,27.666666666666668
KO,L50981_1F,70.0,25.333333333333332
KO,L50981_1F,80.0,46.666666666666664
KO,L50981_1F,90.0,81.0
KO,L50981_3F,0.0,26.666666666666668
KO,L50981_3F,10.0,29.666666666666668
KO,L50981_3F,20.0,29.0
KO,L50981_3F,30.0,25.0
KO,L50981_3F,40.0,26.666666666666668
KO,L50981_3F,50.0,24.666666666666668
KO,L50981_3F,60.0,20.666666666666668
KO,L50981_3F,70.0,22.0
KO,L50981_3F,80.0,36.0
KO,L50981_3F,90.0,40.333333333333336
KO,L52184_1M,0.0,25.333333333333332
KO,L52184_1M,10.0,34.0
KO,L52184_1M,20.0,29.333333333333332
KO,L52184_1M,30.0,29.0
KO,L52184_1M,40.0,26.666666666666668
KO,L52184_1M,50.0,27.0
KO,L52184_1M,60.0,28.666666666666668
KO,L52184_1M,70.0,29.333333333333332
KO,L52184_1M,80.0,62.666666666666664
KO,L52184_1M,90.0,92.66666666666667
WT,L38102-11,0.0,27.333333333333332
WT,L38102-11,10.0,36.0
WT,L38102-11,20.0,37.666666666666664
WT,L38102-11,30.0,37.666666666666664
WT,L38102-11,40.0,43.333333333333336
