 ,Area,Mean,X,Y
1,30,255,278.667,65.067
2,58,255,793.603,71.172
3,68,255,1011.765,72.471
4,46,255,607.043,71.326
5,32,255,819.500,76.000
6,40,255,1160.600,83.725
7,57,255,1245.289,91.833
8,67,255,957.187,92.530
9,33,255,1197.803,91.682
10,30,255,1284.300,94.767
11,85,255,454.853,106.524
12,41,255,1256.500,105.256
13,46,255,1471.500,105.000
14,47,255,754.904,108.798
15,58,255,1235.828,108.534
16,36,255,1497.806,112.167
17,62,255,748.484,113.839
18,43,255,1162.942,113.547
19,29,255,1573.500,113.155
20,76,255,819.368,120.118
21,69,255,926.819,123.993
22,57,255,959.360,123.518
23,42,255,1358.500,122.000
24,48,255,14.604,126.812
25,66,255,1218.227,131.182
26,31,255,1160.016,132.597
27,47,255,382.436,133.968
28,36,255,724.444,132.806
29,34,255,1597.794,134.000
30,24,255,225.167,134.375
31,41,255,1550.988,137.817
32,60,255,70.300,139.783
33,65,255,1015.438,140.715
34,30,255,33.167,142.000
35,51,255,1515.775,143.892
36,71,255,1289.373,144.106
37,66,255,238.591,147.621
38,57,255,1370.500,148.026
39,28,255,327.607,150.179
40,73,255,948.596,153.226
41,57,255,1086.184,153.447
42,73,255,1428.582,155.363
43,77,255,158.409,158.877
44,40,255,114.075,161.650
45,28,255,1302.464,164.786
46,78,255,1078.385,168.397
47,65,255,864.715,169.685
48,84,255,787.179,172.333
49,73,255,925.705,172.801
50,53,255,1365.783,172.481
51,36,255,1177.361,173.111
52,79,255,998.158,176.829
53,68,255,1116.118,177.647
54,72,255,1443.083,178.417
55,37,255,1146.797,177.986
56,56,255,859.036,182.393
57,50,255,1553.180,188.940
58,79,255,137.449,191.006
59,54,255,843.000,189.500
60,31,255,737.081,192.532
61,71,255,1477.218,196.923
62,54,255,230.389,195.796
63,62,255,759.565,196.565
64,31,255,104.306,197.435
65,37,255,1278.311,198.284
66,64,255,967.125,200.062
67,106,255,639.962,203.953
68,83,255,1049.235,209.114
69,95,255,793.753,211.542
70,30,255,1028.133,209.133
71,95,255,722.395,214.468
72,59,255,1559.381,214.432
73,46,255,1391.978,218.022
74,48,255,1160.292,219.646
75,71,255,1533.387,224.965
76,66,255,121.227,225.652
77,77,255,836.162,226.500
78,79,255,983.108,225.867
79,65,255,849.408,227.854
80,110,255,1334.109,234.345
81,51,255,1362.186,235.598
82,77,255,1401.643,240.136
83,72,255,574.917,243.278
84,68,255,952.500,245.838
85,44,255,583.977,248.227
86,75,255,1074.993,251.793
87,87,255,1482.523,249.638
88,86,255,855.988,251.733
89,70,255,936.257,251.586
90,20,255,919.250,252.550
91,57,255,690.921,257.009
92,31,255,898.081,258.403
93,58,255,1597.000,262.086
94,66,255,895.545,267.561
95,50,255,969.040,267.660
96,54,255,1444.000,269.685
97,20,255,59.800,272.050
98,50,255,1357.540,274.560
99,64,255,1487.547,275.453
100,88,255,9.818,277.375
101,31,255,119.048,275.048
102,72,255,1302.556,281.431
103,32,255,1241.031,280.344
104,58,255,1352.948,282.259
105,69,255,1292.355,284.022
106,64,255,1138.094,285.219
107,48,255,1476.979,283.604
108,65,255,748.700,285.685
109,60,255,752.433,294.517
110,37,255,72.284,299.527
111,68,255,1469.044,305.294
112,80,255,488.163,315.025
113,24,255,1597.208,313.458
114,71,255,697.007,318.331
115,24,255,295.042,319.667
116,60,255,393.650,323.650
117,76,255,962.276,324.882
118,80,255,670.362,325.200
119,94,255,1420.404,324.830
120,67,255,1252.321,325.545
121,45,255,575.256,326.478
122,34,255,690.765,326.382
123,43,255,1174.221,330.826
124,68,255,984.176,333.735
125,49,255,1239.459,332.337
126,22,255,887.364,334.864
127,53,255,1028.858,336.858
128,54,255,976.870,340.167
129,65,255,1174.715,340.808
130,48,255,1351.521,339.042
131,67,255,1305.903,340.828
132,42,255,1534.429,341.000
133,103,255,645.587,346.782
134,72,255,772.375,347.875
135,80,255,1097.700,347.863
136,83,255,826.645,349.717
137,64,255,1354.312,348.188
138,57,255,17.465,349.167
139,81,255,1525.475,349.315
140,22,255,502.364,356.045
141,65,255,537.592,364.115
142,78,255,551.244,365.410
143,94,255,740.064,372.702
144,129,255,1261.143,374.779
145,42,255,730.095,372.429
146,128,255,593.328,378.328
147,60,255,1545.333,373.950
148,57,255,27.377,375.693
149,86,255,633.267,377.267
150,80,255,1404.650,379.613
151,82,255,786.244,385.744
