 ,Area,Mean,X,Y
1,50,255,1595.760,9.320
2,58,255,1574.862,9.966
3,55,255,773.518,10.445
4,21,255,718.119,10.548
5,46,255,628.870,12.674
6,31,255,535.113,16.210
7,39,255,455.551,18.064
8,36,255,362.861,18.417
9,56,255,817.036,20.554
10,29,255,624.121,24.500
11,28,255,275.714,28.643
12,42,255,320.024,31.357
13,63,255,756.087,34.262
14,28,255,151.321,37.107
15,104,255,181.510,40.029
16,59,255,579.619,39.856
17,28,255,1207.000,39.107
18,60,255,462.417,52.333
19,48,255,721.250,51.500
20,30,255,77.200,51.667
21,52,255,1085.327,52.385
22,24,255,1224.583,51.750
23,50,255,88.760,54.080
24,42,255,59.071,54.429
25,49,255,197.929,56.969
26,21,255,405.262,56.548
27,30,255,523.133,58.133
28,31,255,763.339,58.403
29,30,255,6.867,60.133
30,26,255,1245.923,59.731
31,62,255,363.323,64.468
32,30,255,1157.833,63.067
33,69,255,1420.746,66.167
34,27,255,815.685,66.463
35,53,255,311.142,68.802
36,72,255,684.347,71.056
37,42,255,79.357,73.333
38,53,255,567.443,73.632
39,67,255,768.037,74.142
40,49,255,248.194,74.745
41,67,255,394.381,76.291
42,33,255,1369.439,75.924
43,67,255,416.455,78.963
44,25,255,558.260,80.540
45,40,255,157.725,84.525
46,84,255,1510.167,85.774
47,20,255,773.150,84.700
48,56,255,1576.839,85.839
49,63,255,272.929,88.214
50,35,255,810.814,86.243
51,37,255,164.284,88.284
52,30,255,517.367,87.967
53,61,255,665.123,90.270
54,35,255,1213.814,90.500
55,74,255,574.054,94.365
56,71,255,681.768,95.937
57,40,255,1021.675,95.075
58,49,255,866.602,97.622
59,64,255,893.906,97.344
60,49,255,18.745,99.418
61,23,255,44.674,100.935
62,69,255,608.036,103.065
63,49,255,745.724,102.684
64,45,255,1016.700,103.189
65,46,255,321.957,104.804
66,54,255,1458.833,105.778
67,21,255,1413.976,104.881
68,28,255,598.786,106.143
69,74,255,1393.135,111.500
70,72,255,1256.167,115.264
71,26,255,1354.846,114.077
72,60,255,284.783,117.183
73,56,255,32.643,117.893
74,75,255,1038.873,119.647
75,71,255,1201.754,120.697
76,75,255,134.207,121.393
77,77,255,1545.721,121.851
78,55,255,323.082,120.336
79,71,255,245.204,125.162
80,81,255,482.364,125.549
81,70,255,360.114,127.057
82,45,255,1126.544,126.078
83,76,255,804.474,128.566
84,44,255,199.227,129.023
85,84,255,676.607,130.881
86,24,255,289.292,133.042
87,63,255,1593.611,136.325
88,69,255,926.775,136.935
89,32,255,109.656,135.781
90,73,255,416.555,137.829
91,53,255,321.387,138.236
92,56,255,725.500,138.429
93,73,255,211.267,142.938
94,45,255,1558.256,149.944
95,51,255,526.265,149.461
96,51,255,2.833,153.873
97,52,255,998.231,152.096
98,72,255,1335.097,153.375
99,63,255,1462.897,157.929
100,74,255,992.000,158.392
101,52,255,55.365,159.462
102,25,255,1393.460,161.820
103,52,255,513.654,165.423
104,55,255,812.427,165.391
105,21,255,95.976,167.643
106,37,255,1103.149,168.905
107,93,255,1467.909,172.543
108,25,255,595.580,175.300
109,102,255,612.500,185.010
110,46,255,243.913,184.370
111,53,255,234.387,186.557
112,81,255,278.537,188.809
113,53,255,634.368,189.462
114,52,255,853.750,187.981
115,70,255,843.171,188.786
116,53,255,1487.387,189.953
117,75,255,743.540,192.113
118,77,255,296.851,193.357
119,28,255,1419.393,190.786
120,74,255,1175.905,193.257
121,61,255,521.828,196.795
122,98,255,491.296,204.561
123,49,255,37.969,202.867
124,89,255,1113.938,204.916
125,80,255,948.575,206.300
126,26,255,447.000,204.500
127,61,255,668.221,206.451
128,78,255,786.859,209.115
129,55,255,23.773,208.918
130,78,255,1567.128,210.026
131,47,255,1283.479,208.691
132,81,255,386.957,212.969
133,68,255,922.691,212.500
134,73,255,1231.130,213.130
135,48,255,1348.083,211.521
136,59,255,1290.534,214.585
137,27,255,1546.685,213.574
138,51,255,377.500,216.833
139,44,255,1278.955,217.682
140,62,255,861.387,224.097
141,57,255,1329.132,227.254
142,78,255,707.590,229.436
143,82,255,1395.220,231.378
144,83,255,1233.741,232.295
145,36,255,1348.639,230.111
146,50,255,948.500,231.980
147,59,255,101.958,235.076
148,92,255,1034.120,236.489
149,61,255,1330.631,235.549
150,83,255,1420.102,237.355
151,63,255,415.516,239.071
152,98,255,1523.612,246.357
153,91,255,1445.390,246.511
154,90,255,483.300,247.444
155,51,255,429.716,254.010
156,86,255,331.651,257.988
157,113,255,267.288,261.084
158,61,255,892.680,257.123
159,94,255,614.883,259.021
160,61,255,994.648,260.123
161,38,255,1497.895,260.500
162,84,255,357.560,264.179
163,82,255,791.061,269.098
164,32,255,901.406,267.500
165,59,255,993.636,270.466
166,117,255,445.919,277.534
167,80,255,582.962,278.762
168,24,255,170.833,278.083
169,56,255,769.268,282.036
170,69,255,342.906,282.964
171,62,255,891.016,283.694
172,86,255,1105.721,285.395
173,56,255,1195.571,285.964
174,37,255,62.959,286.581
175,46,255,821.348,287.043
176,94,255,971.457,288.840
177,61,255,828.844,288.975
178,131,255,125.950,292.363
179,60,255,236.600,292.800
180,59,255,774.585,295.534
181,24,255,21.000,295.000
182,39,255,676.782,296.449
183,68,255,1344.574,299.676
184,24,255,1360.167,297.375
185,97,255,737.840,302.201
186,96,255,1059.271,301.802
187,31,255,51.210,300.210
188,93,255,638.231,302.059
189,67,255,913.052,302.321
190,31,255,1199.984,300.661
191,85,255,1167.159,303.818
192,68,255,1393.265,304.971
193,45,255,1473.011,311.389
194,67,255,567.948,316.978
195,88,255,1536.602,319.045
196,81,255,396.475,321.278
197,35,255,147.214,320.414
198,71,255,464.866,323.514
199,59,255,1257.873,324.890
200,51,255,1198.598,325.578
201,56,255,157.125,325.929
202,86,255,1483.337,328.930
203,87,255,495.385,331.661
204,79,255,1153.513,330.627
205,93,255,1047.005,332.339
206,106,255,691.283,334.368
207,43,255,2.430,333.105
208,53,255,1508.613,332.877
209,68,255,1128.794,338.647
210,74,255,302.378,340.500
211,32,255,873.656,338.875
212,86,255,57.395,343.721
213,45,255,184.189,343.789
214,32,255,994.156,342.781
215,69,255,944.529,345.558
216,79,255,278.006,350.108
217,86,255,1326.093,350.302
218,74,255,808.878,351.622
219,95,255,1537.763,352.153
220,98,255,1440.622,353.163
221,28,255,866.000,350.893
222,89,255,1279.758,353.556
223,84,255,755.464,354.452
224,68,255,953.853,355.544
225,43,255,230.756,357.500
226,84,255,213.833,361.643
227,54,255,459.259,362.167
228,85,255,1206.406,366.500
229,46,255,398.500,366.087
230,73,255,1314.144,366.815
231,85,255,1559.912,368.853
232,83,255,358.765,371.753
233,88,255,873.795,374.023
234,39,255,186.731,373.628
235,96,255,634.833,376.625
236,76,255,925.513,381.145
237,62,255,1019.371,379.935
238,40,255,1423.775,379.650
239,124,255,691.742,386.339
240,80,255,789.275,385.550
241,86,255,458.779,386.523
242,126,255,26.921,391.619
243,46,255,1021.717,389.087
244,28,255,1209.643,387.821
245,84,255,550.369,392.167
246,31,255,1159.694,390.113
247,78,255,829.449,393.103
248,75,255,1416.767,393.460
249,59,255,362.907,395.381
250,26,255,1381.000,393.500
251,30,255,814.900,397.333
252,58,255,1312.500,400.293
253,44,255,534.432,400.614
254,40,255,149.775,402.350
255,83,255,455.054,404.283
256,23,255,1483.761,400.935
257,78,255,1260.833,403.974
258,90,255,923.078,405.678
259,72,255,83.278,407.833
260,79,255,300.449,408.956
261,102,255,955.716,410.971
262,28,255,277.429,413.786
263,46,255,483.870,414.543
264,38,255,645.921,414.632
265,57,255,1156.570,416.325
266,80,255,1526.037,419.262
267,24,255,738.208,417.917
268,77,255,287.916,420.864
269,81,255,600.710,424.191
270,48,255,458.583,434.708
271,83,255,830.175,434.500
272,68,255,1196.559,435.471
273,89,255,1378.815,438.612
274,89,255,1419.994,438.500
275,78,255,875.282,444.038
276,39,255,1095.910,442.731
277,71,255,84.387,445.894
278,75,255,358.393,447.287
279,79,255,226.728,448.361
280,77,255,739.162,448.539
281,28,255,1329.929,448.036
282,107,255,1517.388,450.855
283,87,255,1022.201,451.190
284,67,255,1132.724,452.201
285,35,255,202.043,451.414
286,31,255,575.629,457.694
287,66,255,871.439,459.409
288,86,255,71.756,461.663
289,73,255,1340.336,462.144
290,53,255,17.632,462.217
291,51,255,1173.598,463.853
292,77,255,459.461,467.357
293,94,255,976.128,467.426
294,99,255,13.207,477.035
295,85,255,1581.324,471.912
296,82,255,1072.024,478.610
297,70,255,1423.800,476.671
298,40,255,1453.525,477.575
299,86,255,493.267,484.977
300,80,255,114.050,485.913
301,75,255,1090.260,485.553
302,79,255,1364.500,486.373
303,26,255,1315.615,485.346
