 ,Area,Mean,X,Y
1,37,255,724.419,1.770
2,35,255,513.157,10.014
3,33,255,548.106,11.258
4,71,255,747.754,20.275
5,52,255,411.231,19.769
6,33,255,777.682,29.258
7,48,255,308.312,33.375
8,34,255,173.353,42.500
9,29,255,741.259,52.190
10,47,255,489.245,60.245
11,37,255,248.014,62.176
12,29,255,75.672,64.155
13,64,255,976.453,67.438
14,31,255,155.403,73.532
15,65,255,840.131,76.838
16,38,255,483.947,78.658
17,22,255,1048.227,77.682
18,78,255,1470.590,81.897
19,53,255,199.009,85.085
20,55,255,419.682,93.227
21,79,255,371.310,97.475
22,42,255,332.214,98.048
23,64,255,585.719,98.750
24,66,255,525.182,99.788
25,69,255,450.601,100.572
26,51,255,1013.539,102.794
27,31,255,645.855,102.242
28,25,255,1061.540,103.900
29,23,255,416.326,109.500
30,25,255,1597.180,113.300
31,30,255,718.133,116.133
32,60,255,975.017,116.733
33,39,255,470.141,119.936
34,50,255,346.900,129.500
35,58,255,869.483,129.707
36,72,255,1181.986,130.653
37,28,255,1401.429,127.357
38,61,255,419.254,134.975
39,48,255,1107.792,131.354
40,55,255,1487.791,133.064
41,40,255,795.200,132.275
42,50,255,1392.460,135.840
43,73,255,1037.171,136.349
44,41,255,235.866,136.354
45,77,255,401.786,137.747
46,35,255,613.614,140.757
47,50,255,577.540,142.580
48,52,255,1372.115,142.885
49,45,255,541.189,144.744
50,29,255,921.603,146.672
51,26,255,694.231,150.154
52,61,255,231.697,153.287
53,39,255,338.654,151.808
54,39,255,1202.321,152.192
55,37,255,1534.338,150.581
56,75,255,1258.020,154.113
57,25,255,1432.820,154.260
58,57,255,1440.939,156.675
59,61,255,544.746,159.713
60,48,255,368.854,162.583
61,35,255,1179.586,162.129
62,35,255,1288.157,163.014
63,32,255,117.531,163.844
64,79,255,1392.373,169.361
65,60,255,670.417,173.950
66,36,255,1118.944,172.333
67,59,255,365.568,174.839
68,59,255,1230.975,174.432
69,40,255,871.450,176.025
70,62,255,1536.000,176.274
71,86,255,429.372,180.802
72,43,255,1305.663,180.058
73,103,255,640.782,186.422
74,58,255,573.897,187.914
75,51,255,1350.853,188.167
76,32,255,923.562,189.500
77,23,255,1498.457,190.891
78,56,255,826.536,193.714
79,76,255,1392.000,195.184
80,21,255,660.833,221.738
81,35,255,119.043,221.700
82,45,255,112.522,229.900
83,27,255,383.019,228.722
84,61,255,604.484,241.926
85,31,255,863.081,240.048
86,62,255,755.306,243.194
87,36,255,771.917,242.167
88,81,255,666.920,255.241
89,67,255,614.037,259.022
90,44,255,198.432,263.000
91,69,255,290.572,263.717
92,39,255,1596.295,264.808
93,26,255,1262.269,266.423
94,50,255,662.720,270.160
95,99,255,1112.126,273.015
96,62,255,575.484,277.306
97,62,255,1272.677,279.355
98,60,255,440.333,283.900
99,63,255,457.294,285.563
100,73,255,723.432,289.966
101,75,255,1204.607,297.713
102,51,255,854.245,299.951
103,63,255,1259.944,299.468
104,35,255,1039.214,306.900
105,48,255,97.146,310.250
106,50,255,1046.040,310.340
107,58,255,1424.948,312.879
108,116,255,1152.957,318.241
109,76,255,1370.803,316.895
110,71,255,694.345,319.415
111,74,255,799.446,318.676
112,28,255,1538.393,320.893
113,30,255,707.200,329.267
114,36,255,1481.444,336.417
115,22,255,165.000,336.773
116,22,255,998.409,339.227
117,53,255,265.387,341.255
118,21,255,1343.357,339.357
119,76,255,1585.026,344.947
120,48,255,644.646,345.417
121,69,255,570.688,348.181
122,35,255,809.929,346.443
123,45,255,362.056,353.456
124,22,255,463.909,357.273
125,65,255,712.377,358.238
126,104,255,1238.913,364.115
127,48,255,98.625,366.917
128,52,255,717.923,368.635
129,64,255,121.906,368.906
130,68,255,88.132,371.868
131,131,255,155.439,375.981
132,62,255,576.113,372.806
133,65,255,223.331,374.623
134,50,255,1508.840,375.340
135,61,255,1067.795,384.172
136,48,255,498.396,391.042
137,61,255,270.811,395.713
138,60,255,1269.300,396.567
139,73,255,1340.623,396.952
140,27,255,1050.278,403.759
141,45,255,265.656,406.300
142,31,255,509.435,406.629
143,45,255,906.189,407.456
144,41,255,185.793,411.939
145,50,255,1118.940,411.440
146,66,255,652.197,414.061
147,55,255,1136.682,416.500
148,109,255,38.179,420.729
149,53,255,912.594,420.368
150,45,255,1183.322,424.900
151,61,255,1307.811,424.844
152,50,255,163.740,433.240
153,75,255,813.527,437.060
154,47,255,364.926,438.479
155,28,255,1545.000,438.714
156,25,255,1.820,440.580
157,73,255,554.130,443.267
158,100,255,682.300,451.080
159,48,255,10.854,454.792
160,24,255,36.375,453.167
161,70,255,105.643,457.786
162,36,255,1281.139,458.333
163,50,255,1386.000,458.140
164,50,255,289.920,459.200
165,25,255,876.420,458.940
166,68,255,223.912,466.618
167,62,255,1245.161,466.726
168,24,255,1393.500,466.625
169,61,255,1148.516,477.467
170,48,255,1221.958,476.333
171,44,255,1392.227,477.659
172,40,255,1409.050,480.700
173,40,255,2.475,483.800
174,130,255,747.915,487.362
175,20,255,1132.250,481.950
176,34,255,1385.147,502.676
177,38,255,1256.079,504.237
178,82,255,1127.500,507.232
179,39,255,1462.038,507.782
180,52,255,80.615,513.327
181,46,255,1081.696,513.478
182,83,255,42.645,515.380
183,52,255,689.250,523.096
184,37,255,623.500,524.500
185,26,255,900.731,525.923
186,48,255,192.792,529.062
187,83,255,1572.175,529.536
188,70,255,130.771,531.614
189,30,255,412.867,529.867
190,41,255,1346.500,530.256
191,47,255,834.840,535.202
192,67,255,696.485,537.664
193,26,255,973.346,538.962
194,49,255,1270.888,539.867
195,58,255,747.552,545.655
196,43,255,1207.384,548.384
197,28,255,137.214,551.107
198,42,255,578.762,561.119
