 ,Area,Mean,X,Y
1,40,255,385.800,15.700
2,43,255,583.616,17.849
3,62,255,365.581,19.145
4,41,255,768.817,20.159
5,64,255,932.953,23.344
6,43,255,1042.919,28.547
7,61,255,1096.238,33.910
8,64,255,454.719,35.672
9,47,255,1141.479,36.564
10,66,255,598.333,47.682
11,84,255,84.095,51.012
12,68,255,486.956,51.221
13,50,255,515.560,50.540
14,48,255,981.792,50.604
15,55,255,888.736,51.900
16,60,255,906.250,56.900
17,51,255,538.775,57.186
18,38,255,23.342,57.605
19,64,255,1077.422,60.500
20,55,255,251.900,60.882
21,49,255,497.112,63.602
22,59,255,795.432,63.975
23,20,255,145.000,64.000
24,37,255,1327.932,64.932
25,82,255,586.841,69.976
26,59,255,1021.381,68.585
27,25,255,293.060,67.700
28,61,255,847.221,68.762
29,61,255,369.057,70.254
30,39,255,1375.244,69.474
31,70,255,473.057,78.571
32,43,255,1091.035,77.593
33,52,255,346.808,78.346
34,46,255,1138.043,81.283
35,57,255,394.851,82.518
36,60,255,916.133,82.167
37,29,255,1444.259,84.534
38,66,255,1238.470,91.030
39,64,255,545.984,94.750
40,64,255,980.438,96.531
41,34,255,1087.206,96.000
42,72,255,449.931,98.833
43,69,255,877.587,101.051
44,49,255,24.541,99.684
45,40,255,125.800,100.275
46,73,255,1329.705,104.048
47,75,255,306.913,105.460
48,52,255,163.250,106.962
49,57,255,738.658,108.693
50,40,255,34.775,109.575
51,74,255,1210.730,111.595
52,52,255,1038.942,115.635
53,58,255,170.603,117.414
54,53,255,229.726,117.500
55,35,255,1499.929,118.557
56,72,255,1058.208,121.111
57,65,255,282.562,123.808
58,72,255,1164.556,123.764
59,77,255,1019.162,127.604
60,59,255,1425.992,124.686
61,63,255,63.690,128.786
62,64,255,1299.000,129.094
63,44,255,701.250,130.091
64,53,255,769.934,133.538
65,75,255,1122.073,134.380
66,26,255,886.846,132.846
67,51,255,1465.716,137.461
68,55,255,608.355,140.955
69,110,255,413.773,144.100
70,60,255,1096.567,153.333
71,71,255,1213.303,159.232
72,55,255,1542.118,160.191
73,40,255,1095.650,161.575
74,66,255,1422.667,163.576
75,105,255,827.243,171.205
76,58,255,565.724,170.517
77,65,255,457.423,170.608
78,55,255,634.864,170.518
79,69,255,959.601,170.587
80,51,255,910.971,175.735
81,89,255,881.725,180.376
82,52,255,565.865,180.788
83,56,255,713.268,181.143
84,71,255,169.697,185.923
85,73,255,1006.747,192.884
86,70,255,1131.586,193.743
87,84,255,434.214,198.238
88,49,255,1586.949,197.480
89,52,255,1548.865,197.404
90,22,255,31.545,198.227
91,109,255,267.693,203.555
92,115,255,213.970,207.630
93,58,255,1487.431,205.500
94,63,255,1070.262,206.437
95,45,255,1084.033,207.233
96,34,255,151.853,217.824
97,112,255,1236.857,223.116
98,49,255,363.071,225.173
99,78,255,762.103,238.500
100,76,255,1279.592,238.789
101,76,255,1465.000,238.500
102,70,255,1430.129,243.514
103,40,255,1566.000,242.200
104,71,255,988.401,245.599
105,60,255,1029.817,247.983
106,71,255,1175.275,251.261
107,59,255,1566.958,249.958
108,52,255,635.462,254.327
109,79,255,407.462,256.665
110,56,255,102.143,256.268
111,58,255,1028.414,256.776
112,100,255,37.920,260.150
113,80,255,546.100,261.175
114,62,255,454.903,262.468
115,59,255,594.686,269.788
116,88,255,1137.818,271.557
117,63,255,99.373,271.484
118,94,255,827.894,275.798
119,62,255,1496.435,276.468
120,55,255,1221.936,282.464
121,79,255,1398.981,285.563
122,85,255,174.218,286.300
123,62,255,1088.452,290.210
124,62,255,638.097,292.048
125,79,255,677.981,294.943
126,57,255,127.763,305.026
127,49,255,953.867,306.969
128,60,255,420.467,309.383
129,61,255,1088.041,311.320
130,56,255,128.214,315.000
131,86,255,1454.791,322.047
132,58,255,394.879,324.500
133,84,255,720.905,327.607
134,83,255,1151.741,333.994
135,48,255,606.792,336.146
136,57,255,1452.237,340.009
137,38,255,293.395,341.263
138,61,255,490.057,342.975
139,33,255,435.924,349.561
140,69,255,101.558,352.949
141,41,255,293.524,351.915
142,70,255,980.800,354.686
143,59,255,1199.280,356.805
144,80,255,635.450,360.688
145,77,255,1395.942,361.006
146,22,255,784.818,361.727
147,81,255,837.957,362.772
148,59,255,157.263,366.246
149,66,255,915.121,365.682
150,38,255,1084.421,367.553
151,73,255,360.596,376.336
