,ImageID,Cell Counts,Normalized distance from pia (%),old_names,Animal,Sex,Genotype,Age
0,Seg_Sox9_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,15.0,0.0,L38102-10,L38102-10,F,KO,21
1,Seg_Sox9_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,63.0,10.0,L38102-10,L38102-10,F,KO,21
2,Seg_Sox9_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,50.0,20.0,L38102-10,L38102-10,F,KO,21
3,Seg_Sox9_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,52.0,30.0,L38102-10,L38102-10,F,KO,21
4,Seg_Sox9_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,50.0,40.0,L38102-10,L38102-10,F,KO,21
5,Seg_Sox9_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,46.0,50.0,L38102-10,L38102-10,F,KO,21
6,Seg_Sox9_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,51.0,60.0,L38102-10,L38102-10,F,KO,21
7,Seg_Sox9_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,54.0,70.0,L38102-10,L38102-10,F,KO,21
8,Seg_Sox9_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,64.0,80.0,L38102-10,L38102-10,F,KO,21
9,Seg_Sox9_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.tif_rotated,72.0,90.0,L38102-10,L38102-10,F,KO,21
0,Seg_Sox9_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,20.0,0.0,L38102-10,L38102-10,F,KO,21
1,Seg_Sox9_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,67.0,10.0,L38102-10,L38102-10,F,KO,21
2,Seg_Sox9_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,58.0,20.0,L38102-10,L38102-10,F,KO,21
3,Seg_Sox9_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,54.0,30.0,L38102-10,L38102-10,F,KO,21
4,Seg_Sox9_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,60.0,40.0,L38102-10,L38102-10,F,KO,21
5,Seg_Sox9_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,62.0,50.0,L38102-10,L38102-10,F,KO,21
6,Seg_Sox9_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,56.0,60.0,L38102-10,L38102-10,F,KO,21
7,Seg_Sox9_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,53.0,70.0,L38102-10,L38102-10,F,KO,21
8,Seg_Sox9_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,48.0,80.0,L38102-10,L38102-10,F,KO,21
9,Seg_Sox9_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.tif_rotated,79.0,90.0,L38102-10,L38102-10,F,KO,21
0,Seg_Sox9_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.tif_rotated,28.0,0.0,L38102-10,L38102-10,F,KO,21
