file,Cells,Area (um^2),"Cells per 40,000 um^2"
Decoder_triplenuc_set1.csv,4,1208493.879296,0.0
Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.csv,5748,1208493.879296,190.0
Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.csv,5973,1208493.879296,198.0
Seg_DAPI_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.csv,5973,1208493.879296,198.0
Seg_DAPI_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.csv,5877,1208493.879296,195.0
Seg_DAPI_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.csv,5567,1208493.879296,184.0
Seg_DAPI_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.csv,5497,1208493.879296,182.0
Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.csv,5730,1208493.879296,190.0
Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.csv,5935,1208493.879296,196.0
Seg_DAPI_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.csv,5855,1208493.879296,194.0
Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.csv,5880,1208493.879296,195.0
Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.csv,5537,1208493.879296,183.0
Seg_DAPI_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.csv,5843,1208493.879296,193.0
