file,Cells,Area (um^2),"Cells per 40,000 um^2"
Seg_NeuN_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.csv,3206,1208493.879296,106.0
Seg_NeuN_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.csv,2944,1208493.879296,97.0
Seg_NeuN_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section3_A01.tif_rotated.tif.csv,2945,1208493.879296,97.0
Seg_NeuN_Stitched-L40720_2M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.csv,3129,1208493.879296,104.0
Seg_NeuN_Stitched-L40720_2M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.csv,3070,1208493.879296,102.0
Seg_NeuN_Stitched-L40720_2M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section3_A01.tif_rotated.tif.csv,3010,1208493.879296,100.0
Seg_NeuN_Stitched-L40720_5F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.csv,3068,1208493.879296,102.0
Seg_NeuN_Stitched-L40720_5F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.csv,2999,1208493.879296,99.0
Seg_NeuN_Stitched-L40720_5F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section3_A01.tif_rotated.tif.csv,2870,1208493.879296,95.0
Seg_NeuN_Stitched-L40720_7F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.csv,3021,1208493.879296,100.0
Seg_NeuN_Stitched-L40720_7F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.csv,3196,1208493.879296,106.0
Seg_NeuN_Stitched-L40720_7F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section3_A01.tif_rotated.tif.csv,2994,1208493.879296,99.0
Seg_NeuN_Stitched-L41180_2F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.csv,2078,1208493.879296,69.0
Seg_NeuN_Stitched-L41180_2F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.csv,2316,1208493.879296,77.0
Seg_NeuN_Stitched-L41180_2F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section3_A01.tif_rotated.tif.csv,2566,1208493.879296,85.0
Seg_NeuN_Stitched-L41180_3F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.csv,2593,1208493.879296,86.0
Seg_NeuN_Stitched-L41180_3F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.csv,2718,1208493.879296,90.0
