file,Cells,Area (um^2),"Cells per 40,000 um^2"
Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.csv,357,1208493.879296,12.0
Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.csv,346,1208493.879296,11.0
Seg_Olig2_Stitched-L38102-10_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.csv,366,1208493.879296,12.0
Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1_Cy.tif_rotated.tif.csv,332,1208493.879296,11.0
Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.csv,421,1208493.879296,14.0
Seg_Olig2_Stitched-L38102-11_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.csv,478,1208493.879296,16.0
Seg_Olig2_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.csv,365,1208493.879296,12.0
Seg_Olig2_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.csv,449,1208493.879296,15.0
Seg_Olig2_Stitched-L38102-3_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.csv,476,1208493.879296,16.0
Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section1.tif_rotated.tif.csv,527,1208493.879296,17.0
Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section2.tif_rotated.tif.csv,412,1208493.879296,14.0
Seg_Olig2_Stitched-L38102-4_V1_488-Sox9_594_NeuN_647-Olig2_30X_section3.tif_rotated.tif.csv,565,1208493.879296,19.0
