file,Cells,Area (um^2),"Cells per 40,000 um^2"
Seg_Sox9_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.csv,668,1208493.879296,22.0
Seg_Sox9_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.csv,488,1208493.879296,16.0
Seg_Sox9_Stitched-L40720_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section3_A01.tif_rotated.tif.csv,416,1208493.879296,14.0
Seg_Sox9_Stitched-L40720_2M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.csv,858,1208493.879296,28.0
Seg_Sox9_Stitched-L40720_2M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.csv,831,1208493.879296,28.0
Seg_Sox9_Stitched-L40720_2M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section3_A01.tif_rotated.tif.csv,692,1208493.879296,23.0
Seg_Sox9_Stitched-L40720_5F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.csv,336,1208493.879296,11.0
Seg_Sox9_Stitched-L40720_5F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.csv,568,1208493.879296,19.0
Seg_Sox9_Stitched-L40720_5F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section3_A01.tif_rotated.tif.csv,442,1208493.879296,15.0
Seg_Sox9_Stitched-L40720_7F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.csv,486,1208493.879296,16.0
Seg_Sox9_Stitched-L40720_7F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.csv,522,1208493.879296,17.0
Seg_Sox9_Stitched-L40720_7F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section3_A01.tif_rotated.tif.csv,522,1208493.879296,17.0
Seg_Sox9_Stitched-L41180_2F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.csv,450,1208493.879296,15.0
Seg_Sox9_Stitched-L41180_2F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.csv,413,1208493.879296,14.0
Seg_Sox9_Stitched-L41180_2F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section3_A01.tif_rotated.tif.csv,527,1208493.879296,17.0
Seg_Sox9_Stitched-L41180_3F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.csv,364,1208493.879296,12.0
Seg_Sox9_Stitched-L41180_3F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.csv,438,1208493.879296,14.0
Seg_Sox9_Stitched-L41180_3F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section3_A01.tif_rotated.tif.csv,462,1208493.879296,15.0
Seg_Sox9_Stitched-L50981_1F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.csv,412,1208493.879296,14.0
Seg_Sox9_Stitched-L50981_1F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.csv,509,1208493.879296,17.0
Seg_Sox9_Stitched-L50981_1F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section3_A01.tif_rotated.tif.csv,417,1208493.879296,14.0
Seg_Sox9_Stitched-L50981_3F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.csv,562,1208493.879296,19.0
Seg_Sox9_Stitched-L50981_3F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.csv,487,1208493.879296,16.0
Seg_Sox9_Stitched-L50981_3F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section3_A01.tif_rotated.tif.csv,549,1208493.879296,18.0
Seg_Sox9_Stitched-L50981_4F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.csv,257,1208493.879296,9.0
Seg_Sox9_Stitched-L50981_4F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.csv,467,1208493.879296,15.0
Seg_Sox9_Stitched-L50981_4F_V1_488-Sox9_568_NeuN_647-Olig2_30X_section3_A01.tif_rotated.tif.csv,366,1208493.879296,12.0
Seg_Sox9_Stitched-L50981_5M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.csv,501,1208493.879296,17.0
Seg_Sox9_Stitched-L50981_5M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.csv,463,1208493.879296,15.0
Seg_Sox9_Stitched-L50981_5M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section3_A01.tif_rotated.tif.csv,371,1208493.879296,12.0
Seg_Sox9_Stitched-L52184_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section1_A01.tif_rotated.tif.csv,797,1208493.879296,26.0
Seg_Sox9_Stitched-L52184_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section2_A01.tif_rotated.tif.csv,789,1208493.879296,26.0
Seg_Sox9_Stitched-L52184_1M_V1_488-Sox9_568_NeuN_647-Olig2_30X_section3_A01.tif_rotated.tif.csv,723,1208493.879296,24.0
