Genotype,Animal,Normalized distance from pia (%),Cell Counts
KO,L38102-10,0.0,21.0
KO,L38102-10,10.0,61.666666666666664
KO,L38102-10,20.0,55.0
KO,L38102-10,30.0,54.666666666666664
KO,L38102-10,40.0,53.333333333333336
KO,L38102-10,50.0,52.0
KO,L38102-10,60.0,54.666666666666664
KO,L38102-10,70.0,51.666666666666664
KO,L38102-10,80.0,55.0
KO,L38102-10,90.0,96.66666666666667
KO,L38102-4,0.0,36.333333333333336
KO,L38102-4,10.0,62.0
KO,L38102-4,20.0,59.333333333333336
KO,L38102-4,30.0,70.0
KO,L38102-4,40.0,67.33333333333333
KO,L38102-4,50.0,68.66666666666667
KO,L38102-4,60.0,67.0
KO,L38102-4,70.0,63.666666666666664
KO,L38102-4,80.0,76.66666666666667
KO,L38102-4,90.0,144.0
KO,L40720_1M,0.0,45.333333333333336
KO,L40720_1M,10.0,47.666666666666664
KO,L40720_1M,20.0,40.666666666666664
KO,L40720_1M,30.0,47.333333333333336
KO,L40720_1M,40.0,41.666666666666664
KO,L40720_1M,50.0,38.666666666666664
KO,L40720_1M,60.0,43.0
KO,L40720_1M,70.0,41.333333333333336
KO,L40720_1M,80.0,53.333333333333336
KO,L40720_1M,90.0,125.0
KO,L40720_5F,0.0,22.666666666666668
KO,L40720_5F,10.0,32.666666666666664
KO,L40720_5F,20.0,35.333333333333336
KO,L40720_5F,30.0,30.0
KO,L40720_5F,40.0,35.0
KO,L40720_5F,50.0,30.666666666666668
KO,L40720_5F,60.0,36.333333333333336
KO,L40720_5F,70.0,36.333333333333336
KO,L40720_5F,80.0,50.333333333333336
KO,L40720_5F,90.0,139.33333333333334
KO,L41180_3F,0.0,33.666666666666664
KO,L41180_3F,10.0,55.0
KO,L41180_3F,20.0,32.0
KO,L41180_3F,30.0,34.333333333333336
KO,L41180_3F,40.0,35.0
KO,L41180_3F,50.0,33.0
KO,L41180_3F,60.0,32.666666666666664
KO,L41180_3F,70.0,35.333333333333336
KO,L41180_3F,80.0,59.333333333333336
KO,L41180_3F,90.0,71.0
KO,L50981_1F,0.0,10.0
KO,L50981_1F,10.0,32.333333333333336
KO,L50981_1F,20.0,36.0
KO,L50981_1F,30.0,39.666666666666664
KO,L50981_1F,40.0,39.0
KO,L50981_1F,50.0,39.333333333333336
KO,L50981_1F,60.0,40.666666666666664
KO,L50981_1F,70.0,35.0
KO,L50981_1F,80.0,56.333333333333336
KO,L50981_1F,90.0,117.66666666666667
KO,L50981_3F,0.0,50.0
KO,L50981_3F,10.0,38.0
KO,L50981_3F,20.0,35.666666666666664
KO,L50981_3F,30.0,41.666666666666664
KO,L50981_3F,40.0,44.666666666666664
KO,L50981_3F,50.0,37.333333333333336
KO,L50981_3F,60.0,38.0
KO,L50981_3F,70.0,45.333333333333336
KO,L50981_3F,80.0,109.33333333333333
KO,L50981_3F,90.0,92.66666666666667
KO,L52184_1M,0.0,65.33333333333333
KO,L52184_1M,10.0,72.33333333333333
KO,L52184_1M,20.0,53.0
KO,L52184_1M,30.0,64.33333333333333
KO,L52184_1M,40.0,57.0
KO,L52184_1M,50.0,46.0
KO,L52184_1M,60.0,47.0
KO,L52184_1M,70.0,54.666666666666664
KO,L52184_1M,80.0,127.66666666666667
KO,L52184_1M,90.0,182.33333333333334
WT,L38102-11,0.0,40.666666666666664
WT,L38102-11,10.0,65.0
WT,L38102-11,20.0,62.666666666666664
WT,L38102-11,30.0,66.66666666666667
WT,L38102-11,40.0,67.33333333333333
WT,L38102-11,50.0,68.0
WT,L38102-11,60.0,68.66666666666667
WT,L38102-11,70.0,65.0
WT,L38102-11,80.0,63.666666666666664
WT,L38102-11,90.0,126.66666666666667
WT,L38102-3,0.0,8.333333333333334
WT,L38102-3,10.0,21.333333333333332
WT,L38102-3,20.0,43.0
WT,L38102-3,30.0,50.0
WT,L38102-3,40.0,55.0
WT,L38102-3,50.0,56.333333333333336
WT,L38102-3,60.0,56.333333333333336
WT,L38102-3,70.0,54.333333333333336
WT,L38102-3,80.0,66.0
WT,L38102-3,90.0,129.33333333333334
WT,L40720_2M,0.0,44.0
WT,L40720_2M,10.0,59.0
WT,L40720_2M,20.0,68.0
WT,L40720_2M,30.0,83.33333333333333
WT,L40720_2M,40.0,79.0
WT,L40720_2M,50.0,80.33333333333333
WT,L40720_2M,60.0,76.33333333333333
WT,L40720_2M,70.0,65.0
