#Selection name: Selection 1
#Area (µm^2): 4378331.15
Cell ID,Cluster,Transcripts,Area (µm^2)
mljpmddo-1,Cluster 10,0,167.03
mhpnjhad-1,Cluster 2,0,61.59
mfokkhlj-1,Cluster 8,0,61.95
mgckhneh-1,Cluster 2,0,111.27
bjhocpki-1,Cluster 10,0,197.51
obnilclp-1,Cluster 10,0,158.45
mfpjhoff-1,Cluster 3,0,25.15
mgcjiahl-1,Cluster 3,0,62.45
mgcjcmop-1,Cluster 16,0,36.67
mfonalip-1,Cluster 11,0,79.16
obniigcb-1,Cluster 1,0,72.25
ohbodnfj-1,Cluster 3,0,193.63
mfofplcl-1,Cluster 14,0,91.44
mfpkahpa-1,Cluster 8,0,51.39
mfmkjcao-1,Cluster 10,0,130.10
mfpccfpd-1,Cluster 10,0,174.89
mfpejahh-1,Cluster 14,0,102.69
mfmmjhkd-1,Cluster 10,0,187.85
mfmlpomg-1,Cluster 5,0,124.72
mfmlgmni-1,Cluster 11,0,101.78
bjhnlmdd-1,Cluster 10,0,222.12
mfpemoak-1,Cluster 15,0,264.89
mfmkjjmi-1,Cluster 10,0,189.97
mgaaeghe-1,Cluster 3,0,89.45
bjholkco-1,Cluster 15,0,138.00
mfofbobl-1,Cluster 10,0,111.31
mfpfbcdc-1,Cluster 3,0,35.54
mfmljgfe-1,Cluster 6,0,65.48
obnhpfcc-1,Cluster 10,0,83.72
bjiaacik-1,Cluster 10,0,354.03
mfkhdonp-1,Cluster 14,0,53.10
mfmhifkk-1,Cluster 3,0,55.09
mfmgmofe-1,Cluster 8,0,41.81
bjhlkodc-1,Cluster 5,0,156.92
bjhkdgeo-1,Cluster 15,0,145.81
mfknggfc-1,Cluster 8,0,26.87
mfkmeaao-1,Cluster 11,0,21.54
mdjpkcha-1,Cluster 14,0,71.57
mhbmlfbo-1,Cluster 26,0,83.76
mhadenij-1,Cluster 5,0,140.66
mgamofnl-1,Cluster 10,0,134.88
mgaffgdk-1,Cluster 2,0,50.08
mfppgmco-1,Cluster 8,0,39.56
mfppbggc-1,Cluster 10,0,181.08
mgccmfaj-1,Cluster 14,0,117.36
mfopigni-1,Cluster 2,0,30.16
bjjbbdhk-1,Cluster 21,0,158.00
mfpboial-1,Cluster 8,0,54.91
bjjpabke-1,Cluster 10,0,186.00
bjhnmlje-1,Cluster 10,0,156.78
mfpaabmn-1,Cluster 8,0,10.12
mfompphd-1,Cluster 31,0,151.27
bjjnpgnh-1,Cluster 10,0,164.01
mfonnloh-1,Cluster 14,0,68.10
mfoplaeh-1,Cluster 8,0,74.51
mfoohjfe-1,Cluster 10,0,196.25
mfpmffda-1,Cluster 10,0,184.42
mfpnbole-1,Cluster 10,0,72.57
mfojiffg-1,Cluster 1,0,118.72
mfoijogi-1,Cluster 33,0,52.92
mfohijop-1,Cluster 10,0,166.22
ohbnfami-1,Cluster 14,0,65.97
obnhcpgi-1,Cluster 10,0,102.23
bjjciila-1,Cluster 10,0,172.14
bjjcblol-1,Cluster 10,0,188.21
mfoojdbc-1,Cluster 8,0,37.75
bjjcaeck-1,Cluster 10,0,182.48
mfokaimm-1,Cluster 3,0,60.10
mfombnhk-1,Cluster 3,0,14.59
mgceacmf-1,Cluster 2,0,50.62
mfokiplo-1,Cluster 10,0,142.24
mfpmnpch-1,Cluster 10,0,180.94
bjjokbji-1,Cluster 10,0,241.59
obnlfhbn-1,Cluster 2,0,55.81
mfpljepc-1,Cluster 10,0,215.94
mfpmfdcm-1,Cluster 11,0,119.26
mfppeooo-1,Cluster 10,0,150.60
mfofbmim-1,Cluster 14,0,157.82
mfpfmlip-1,Cluster 31,0,61.41
mgcejanj-1,Cluster 8,0,39.65
bjjpnnck-1,Cluster 15,0,150.78
