#Selection name: Selection 1
#Area (µm^2): 2480733.99
Cell ID,Cluster,Transcripts,Area (µm^2)
mheegakk-1,Cluster 6,0,80.24
mljioall-1,Cluster 28,0,180.22
moebmkck-1,Cluster 7,0,24.97
mnomoapl-1,Cluster 22,0,106.61
obngdefi-1,Cluster 9,0,64.93
moalifba-1,Cluster 9,0,141.88
moakphee-1,Cluster 12,0,90.81
mociljbh-1,Cluster 9,0,78.53
mocjkpmg-1,Cluster 9,0,118.13
afjkklok-1,Cluster 13,1,125.90
mobpmdnh-1,Cluster 9,0,157.96
moakajhl-1,Cluster 9,0,174.66
mociannk-1,Cluster 22,0,108.69
mociemie-1,Cluster 9,0,149.87
aflddkjn-1,Cluster 9,0,162.25
obnlimio-1,Cluster 2,0,28.81
mociplcm-1,Cluster 13,0,129.10
obnfemnm-1,Cluster 12,0,37.62
moeoepfm-1,Cluster 7,0,114.34
ohahnjdj-1,Cluster 2,0,239.24
moagdpoo-1,Cluster 9,0,173.99
mnpkbich-1,Cluster 6,0,32.42
obodfhhp-1,Cluster 2,0,17.48
mnpkgagc-1,Cluster 1,0,102.82
mnppdfai-1,Cluster 9,0,160.08
mnpjmoap-1,Cluster 1,0,119.75
aepfomfk-1,Cluster 9,0,160.94
mnpkdeih-1,Cluster 2,0,38.56
mnpknhlf-1,Cluster 12,0,83.40
modckdkp-1,Cluster 7,0,79.52
mnpkinmf-1,Cluster 6,0,81.60
mnpkpfak-1,Cluster 12,0,132.99
mnpggfmg-1,Cluster 1,0,28.18
modecifa-1,Cluster 2,0,47.41
mnplfnbj-1,Cluster 22,0,93.47
aflcapnk-1,Cluster 9,0,234.68
moeohilj-1,Cluster 1,0,67.51
moeohcmn-1,Cluster 1,0,62.59
mnpkedob-1,Cluster 1,0,121.47
moeoeffd-1,Cluster 7,0,43.21
moeodfbf-1,Cluster 7,0,188.08
moeoddkj-1,Cluster 7,0,35.36
moenhfhg-1,Cluster 7,0,86.75
mnpkjehj-1,Cluster 6,0,16.93
moemmkgd-1,Cluster 7,0,43.67
moemldbm-1,Cluster 7,0,56.58
mnpcenbm-1,Cluster 24,0,123.73
moejcjei-1,Cluster 35,0,103.54
moekboef-1,Cluster 2,0,97.54
moaffjeh-1,Cluster 24,0,77.26
aepehcma-1,Cluster 12,0,171.10
modjodki-1,Cluster 31,0,93.83
mnpmlneo-1,Cluster 9,0,151.54
moahbpjg-1,Cluster 9,0,132.85
mnpmgfee-1,Cluster 9,0,139.13
moahcfkj-1,Cluster 9,0,122.64
modhbcic-1,Cluster 1,0,19.91
mnpcloff-1,Cluster 15,0,121.70
modipaga-1,Cluster 1,0,43.62
obneaglj-1,Cluster 19,0,58.30
modijgjn-1,Cluster 1,0,51.70
afkpjhbo-1,Cluster 9,0,169.79
obndfnle-1,Cluster 31,0,30.30
moaeodhl-1,Cluster 9,0,97.09
afknkgfi-1,Cluster 24,0,109.82
aflaocjn-1,Cluster 9,0,160.53
obndngdj-1,Unassigned,0,7.36
mnphbeao-1,Cluster 1,0,64.08
mnpiphhf-1,Cluster 6,0,25.74
mnpioeji-1,Cluster 8,0,28.13
obodenon-1,Cluster 7,0,34.27
aeoggnjj-1,Cluster 12,0,171.64
mnpidpak-1,Cluster 31,0,107.88
mnpjgamg-1,Cluster 6,0,60.64
moefbibo-1,Cluster 7,2,65.39
moacgeac-1,Cluster 2,0,25.06
moacfnop-1,Cluster 9,0,61.37
moeffcpg-1,Cluster 7,0,44.66
moaapfcb-1,Cluster 12,0,93.34
moaajakp-1,Cluster 9,0,160.76
moeffhpl-1,Cluster 7,0,117.00
mnphojkk-1,Cluster 2,0,21.31
moefhmbe-1,Cluster 7,1,62.23
mofkdibd-1,Cluster 2,0,56.67
moegbppf-1,Cluster 6,0,36.76
mofmajeg-1,Cluster 12,0,122.92
oboepncf-1,Cluster 19,0,56.72
mofkmcpb-1,Cluster 9,0,146.04
aepkokho-1,Cluster 12,0,176.34
moeggioe-1,Cluster 1,0,26.19
moegobio-1,Cluster 7,0,34.00
moehmmlh-1,Cluster 8,0,72.93
moehigfp-1,Cluster 7,0,42.67
moehcbih-1,Cluster 2,0,44.34
moejjjmh-1,Cluster 1,0,78.89
mofaiina-1,Cluster 7,0,74.33
moegpcbn-1,Cluster 7,1,54.46
moeonfcg-1,Cluster 7,0,37.57
moeikhlf-1,Cluster 1,0,168.39
mnphhnnf-1,Cluster 1,0,121.61
moehpnnp-1,Cluster 1,0,53.06
moegmhpd-1,Cluster 2,0,42.76
moeimnhj-1,Cluster 2,0,86.25
mofllfjl-1,Cluster 9,0,175.84
aepkbofa-1,Cluster 12,0,178.64
moefnkci-1,Cluster 6,0,57.30
moflhoga-1,Cluster 8,0,92.93
mnpbgjpe-1,Cluster 24,0,125.67
obnfkcde-1,Cluster 12,0,95.73
afagikap-1,Cluster 24,0,143.82
afafdidf-1,Cluster 9,1,185.91
mnpbmkaa-1,Cluster 2,0,90.27
mnpghggg-1,Cluster 2,0,93.52
afadoomd-1,Cluster 9,0,150.87
mnpbgnam-1,Cluster 6,0,41.27
moekildo-1,Cluster 2,0,39.11
moepfomb-1,Cluster 7,0,58.93
moepfede-1,Cluster 7,0,89.18
obndcfdg-1,Cluster 1,0,60.64
moabjjim-1,Cluster 24,0,102.73
aepgnaci-1,Cluster 9,0,132.13
mnpnhefc-1,Cluster 9,0,163.65
moelceaa-1,Cluster 8,0,43.35
aepiblok-1,Cluster 9,0,134.70
obobllch-1,Cluster 13,0,41.81
aepdkgij-1,Cluster 9,1,155.92
mnkpmnod-1,Cluster 9,0,150.87
mnkncohe-1,Cluster 13,0,110.99
mnkmikaj-1,Cluster 13,0,85.62
mobnkibi-1,Cluster 9,0,67.24
mnpnlenk-1,Cluster 9,0,80.38
mnlemnlh-1,Cluster 19,0,71.53
mnkphbag-1,Cluster 9,0,167.80
mobofcjl-1,Cluster 9,0,140.57
moadlngl-1,Cluster 8,0,104.67
aepddkop-1,Cluster 9,0,175.88
mnpoeedf-1,Cluster 11,0,288.05
mnldolbb-1,Cluster 9,0,140.44
mnlekjji-1,Cluster 2,0,72.43
mnleecnc-1,Cluster 9,0,128.11
mnkpobil-1,Cluster 9,1,160.67
mnlenohg-1,Cluster 9,0,187.49
aepchbkg-1,Cluster 9,0,152.76
aepfdnlf-1,Cluster 9,0,181.03
moacimdk-1,Cluster 9,0,106.52
moaddokg-1,Cluster 6,0,45.47
moaenool-1,Cluster 9,0,175.75
mohiieem-1,Cluster 9,0,204.06
moaelnej-1,Cluster 9,0,133.53
afklckae-1,Cluster 9,0,212.91
moaelbcp-1,Cluster 9,0,158.81
mnoipnml-1,Cluster 13,0,175.21
mobpljkl-1,Cluster 9,0,114.65
mnlbfjgd-1,Cluster 13,1,141.61
moajjnmo-1,Cluster 9,0,111.49
mnldpbhc-1,Cluster 22,0,157.51
mobohapa-1,Cluster 11,0,138.63
moajbcig-1,Cluster 9,0,175.79
mnkpaiij-1,Cluster 9,0,144.73
mnpmlhla-1,Cluster 24,0,149.92
mohiklnc-1,Cluster 1,0,58.25
mnlcghbm-1,Cluster 9,1,144.18
mocoidik-1,Cluster 9,0,155.25
afldmkge-1,Cluster 9,0,134.16
moajmmnh-1,Cluster 2,0,52.65
modafnel-1,Cluster 13,0,110.36
mnpmhjnk-1,Cluster 2,0,124.77
aflcekbo-1,Cluster 9,0,153.53
afkpnccn-1,Cluster 9,0,168.12
mochebpa-1,Cluster 21,0,43.17
mochgdbg-1,Cluster 9,1,98.71
mocplajl-1,Cluster 2,0,28.67
aflcfeof-1,Cluster 9,0,160.58
modbkpfc-1,Cluster 9,0,66.29
modbcdii-1,Cluster 2,0,74.87
mnpmliao-1,Cluster 9,0,168.07
obnmjimc-1,Cluster 24,0,69.27
obnmjlib-1,Cluster 9,0,89.77
mocjpado-1,Cluster 9,0,141.02
moahgcca-1,Cluster 9,0,128.42
afjklhid-1,Cluster 13,0,133.12
mogpamic-1,Cluster 4,0,127.11
aeogmofc-1,Cluster 9,0,135.33
mnpphkho-1,Cluster 9,0,141.79
mnokapkl-1,Cluster 13,0,92.93
moflaief-1,Cluster 9,0,104.72
afaipbog-1,Cluster 9,0,167.76
mofkjiol-1,Cluster 9,0,162.83
obobjmpo-1,Cluster 21,0,28.09
ohahdbaf-1,Cluster 1,0,28.72
afaggkmi-1,Cluster 9,0,170.65
mohkjcfk-1,Cluster 9,0,167.26
afaideec-1,Cluster 9,0,154.93
mohjainp-1,Cluster 9,0,172.54
mnmnccea-1,Cluster 9,0,117.50
mohkbjid-1,Cluster 22,0,189.70
mnmnaaph-1,Cluster 9,0,203.43
mohjpknc-1,Cluster 9,0,93.43
mohjdpfa-1,Cluster 9,0,70.99
mohiolnd-1,Cluster 9,0,146.04
aeohmajf-1,Cluster 9,0,193.00
aeogclal-1,Cluster 9,0,164.87
mogpniec-1,Cluster 9,1,110.32
afahgnij-1,Cluster 9,0,144.23
mogommkf-1,Cluster 9,0,63.90
afahckmn-1,Cluster 9,0,227.00
mohadood-1,Cluster 9,0,175.39
mogomgdg-1,Cluster 13,0,126.57
mohkippd-1,Cluster 6,0,98.94
mnnfcdbh-1,Cluster 13,0,100.02
afabpjid-1,Cluster 9,0,179.54
mogphblj-1,Cluster 9,0,170.10
mogphbgk-1,Cluster 13,0,118.04
mohabdmk-1,Cluster 9,1,132.71
afaabkmn-1,Cluster 9,0,188.66
obneaoef-1,Cluster 2,0,107.20
mnoeoghi-1,Cluster 2,0,59.61
mnohjifd-1,Cluster 1,0,91.22
aepoegco-1,Cluster 9,0,232.51
mnogpgch-1,Cluster 9,0,139.94
aepmlogm-1,Cluster 9,0,164.05
mnogdmok-1,Cluster 22,0,159.45
mnogpknb-1,Cluster 9,0,162.79
aepjonfe-1,Cluster 9,0,125.99
mnppipkd-1,Cluster 9,0,114.79
aeppgpbf-1,Cluster 9,0,180.63
mnogiikj-1,Cluster 13,0,88.01
mohihepf-1,Cluster 9,0,120.70
mnoecchj-1,Cluster 1,0,72.25
mohhklmm-1,Cluster 13,0,113.97
mobmnkdc-1,Cluster 22,0,109.77
aepjfafb-1,Cluster 13,1,147.21
mnoedcin-1,Cluster 9,0,140.03
mobnplki-1,Cluster 9,0,126.21
mnogkdkm-1,Cluster 9,0,115.42
mnogalni-1,Cluster 9,0,113.70
aephmion-1,Cluster 13,0,146.22
aepigifi-1,Cluster 9,0,150.05
mnlgofca-1,Cluster 19,1,201.80
mnlnlmon-1,Cluster 6,0,13.19
afjmgdcb-1,Cluster 22,0,150.19
afjkhode-1,Cluster 17,0,183.42
mnpaeaej-1,Cluster 13,0,122.64
