#Selection name: Selection 5
#Area (µm^2): 1389450.20
Cell ID,Cluster,Transcripts,Area (µm^2)
mgnogamg-1,Cluster 9,0,161.70
bbbocnkp-1,Cluster 6,0,59.06
apfkacci-1,Cluster 9,5,159.00
mhkenhme-1,Cluster 9,1,169.25
ognbldod-1,Cluster 1,0,20.18
mhkpkadh-1,Cluster 9,0,179.95
mlpjjion-1,Cluster 2,0,86.93
mlplelfo-1,Cluster 2,0,96.63
mmbafdkj-1,Cluster 2,0,27.36
mmekelgi-1,Cluster 9,0,168.84
apffiflk-1,Cluster 7,1,54.32
mmadijob-1,Cluster 1,1,64.17
mmemefkb-1,Cluster 9,1,202.93
mmekcpac-1,Cluster 9,0,181.03
mmadbhaf-1,Cluster 2,0,32.24
apehnjoa-1,Cluster 9,0,182.39
mmacidgm-1,Cluster 7,1,68.14
mlpdpjin-1,Cluster 1,2,161.39
mmabjjci-1,Cluster 8,0,106.07
mlphjjan-1,Cluster 9,0,164.78
mmabfpja-1,Cluster 6,0,42.45
mmakhbme-1,Cluster 9,0,186.81
mlpohhbh-1,Cluster 1,3,99.93
mlpofmgj-1,Cluster 7,0,76.63
mmbahfhm-1,Cluster 6,0,44.89
apecnnin-1,Cluster 9,0,191.06
mlpljanl-1,Cluster 7,0,109.10
mlpfmcag-1,Cluster 2,0,43.40
obbhdccj-1,Cluster 31,0,67.60
mmamklhb-1,Cluster 9,0,109.46
mmalnphp-1,Cluster 9,0,153.03
apecmpcj-1,Cluster 9,0,196.79
mmamjkmk-1,Cluster 9,0,215.12
mmaniadp-1,Cluster 9,0,71.66
apejaklo-1,Cluster 9,0,188.75
mlpdgijl-1,Cluster 22,1,118.63
mlpeoile-1,Cluster 1,1,70.08
mhkmfppm-1,Cluster 9,0,171.82
mlpjecmo-1,Cluster 9,0,144.82
apeeeajn-1,Cluster 6,0,53.96
apeehgdd-1,Cluster 9,1,166.94
mhjckhbm-1,Cluster 24,0,88.19
mhjcaijl-1,Cluster 9,0,135.42
mlpggcif-1,Cluster 12,0,170.65
mmaleoid-1,Cluster 9,0,156.20
mlpgfjbb-1,Cluster 24,0,163.83
mlpfpdmd-1,Cluster 9,0,113.03
apeemdin-1,Cluster 9,0,175.03
mhjahdhg-1,Cluster 9,0,162.43
mhjbdghf-1,Cluster 2,0,87.92
aphkahfl-1,Cluster 9,1,174.75
mkmncapc-1,Cluster 13,7,58.16
aphipjbl-1,Cluster 9,0,189.79
mhiellnd-1,Cluster 6,4,40.14
mkmmmphi-1,Cluster 13,13,122.60
aphjmjeb-1,Cluster 9,0,202.16
mmggicpp-1,Cluster 13,7,116.14
aphkhdph-1,Cluster 9,0,158.00
mhicnmmb-1,Cluster 13,5,129.87
mhijgcbn-1,Cluster 8,0,54.59
mhiicncl-1,Cluster 13,6,109.32
mmghdmke-1,Cluster 13,6,78.84
mhiaphgh-1,Cluster 1,1,21.72
aphjhajc-1,Cluster 9,3,226.10
mhihmglb-1,Cluster 9,0,153.31
obbedhjm-1,Cluster 13,3,72.70
mhkelgfo-1,Cluster 9,0,121.38
obbdneic-1,Cluster 13,4,186.00
mkmmbfhf-1,Cluster 13,22,194.76
mhkifolp-1,Cluster 9,0,86.02
mmggkogn-1,Cluster 13,17,125.72
mhijgbif-1,Cluster 13,11,130.00
apghfmma-1,Cluster 13,11,148.56
mkmmmhni-1,Cluster 13,15,110.09
mhibhlih-1,Cluster 13,11,86.43
aphiamnl-1,Cluster 9,3,193.22
apgmanhp-1,Cluster 13,10,139.26
mhiaigff-1,Cluster 13,3,79.48
aphimikd-1,Cluster 9,2,190.56
mhibckna-1,Cluster 13,6,131.13
apglnaff-1,Cluster 13,25,226.64
apgkpllp-1,Cluster 13,10,143.87
apgipdbi-1,Cluster 1,1,113.43
obbhbejp-1,Cluster 9,0,107.92
obbfilpf-1,Cluster 9,1,144.14
mmgdkaje-1,Cluster 9,0,165.72
mmemoipc-1,Cluster 9,0,194.08
mmemocpj-1,Cluster 9,0,184.01
mknddaan-1,Cluster 13,9,107.56
apfebmkp-1,Cluster 2,0,76.95
apffdojf-1,Cluster 13,10,124.22
mmfjkbcc-1,Cluster 9,0,97.27
mmhhdokm-1,Cluster 2,0,64.12
mmfjgefl-1,Cluster 24,1,91.17
mmhhmnop-1,Cluster 22,1,135.42
obbglpie-1,Cluster 1,1,43.03
mkndbbhb-1,Cluster 13,14,123.91
apfjpocn-1,Cluster 22,2,168.61
apfgjeed-1,Cluster 13,5,126.03
apfgmfgk-1,Cluster 9,0,181.17
apfgmjjp-1,Cluster 9,2,172.59
apfhekod-1,Cluster 9,8,191.69
mkmoihmm-1,Cluster 13,5,86.34
mmhifilm-1,Cluster 9,0,161.48
apfjbdep-1,Cluster 9,2,190.56
oigfhllh-1,Cluster 13,0,148.38
mkmoadpp-1,Cluster 13,8,165.86
obbbbbnm-1,Cluster 13,5,69.00
mmgjdhne-1,Cluster 13,6,93.88
mmgifhll-1,Cluster 9,2,196.70
mmhijhdo-1,Cluster 6,0,55.68
obbdidad-1,Cluster 9,1,110.90
mkmpmnmm-1,Cluster 2,0,27.32
mknadbbk-1,Cluster 2,0,35.85
obbkbeib-1,Cluster 8,0,25.15
mkncaiom-1,Cluster 13,9,131.40
mmfjlpfl-1,Cluster 9,0,204.96
obbhoacc-1,Cluster 9,1,114.11
apejlomg-1,Cluster 9,4,193.22
mmgfcacb-1,Cluster 9,1,201.53
mmgiojef-1,Cluster 13,6,110.68
apepnnhc-1,Cluster 9,0,183.47
obbbbbkd-1,Cluster 13,2,54.05
apepgaja-1,Cluster 9,8,149.60
mkmpdeig-1,Cluster 13,13,78.84
mmhjgkjd-1,Cluster 9,0,162.52
mkmlgnai-1,Cluster 31,0,89.41
mmgffchi-1,Cluster 9,0,184.10
apejboed-1,Cluster 13,1,145.31
obbkceca-1,Cluster 9,2,80.42
oigdfdea-1,Cluster 1,0,13.01
mmfjhkpm-1,Cluster 19,0,42.00
apelbhah-1,Cluster 13,11,202.25
apeljffl-1,Cluster 13,15,171.32
apemjgle-1,Cluster 13,7,146.17
apekfadj-1,Cluster 22,0,180.53
mmggfbmc-1,Cluster 9,7,238.92
mmgepgmc-1,Cluster 9,0,128.65
apeldgcn-1,Cluster 13,5,129.06
mmgdnchf-1,Cluster 6,0,52.29
mhamkbkd-1,Cluster 10,0,111.58
mhcakice-1,Cluster 7,1,67.55
mhccheod-1,Cluster 31,0,202.44
mhcaclfa-1,Cluster 7,0,141.38
mhcencie-1,Cluster 7,0,88.33
mhbbibhe-1,Cluster 35,0,77.53
mhbdffga-1,Cluster 19,2,166.08
mhbdkdgg-1,Cluster 14,0,112.12
mhapkohd-1,Cluster 1,2,76.13
mhbdehhe-1,Cluster 1,1,112.21
mhcbipem-1,Cluster 2,0,70.44
mhcagcng-1,Cluster 1,0,118.35
mhcdpnpk-1,Cluster 7,0,108.33
mhbpmfhf-1,Cluster 3,0,69.68
obaejgig-1,Cluster 2,0,37.16
appcigkb-1,Cluster 10,0,117.45
appejlhh-1,Cluster 10,0,170.56
mhhdngcb-1,Cluster 1,0,44.80
mhheihfj-1,Cluster 1,0,27.55
mhhbmncn-1,Cluster 6,0,39.83
mhcidike-1,Cluster 10,0,141.20
mhbcijha-1,Cluster 22,2,138.63
apibmjbf-1,Cluster 10,0,146.67
mhgogehl-1,Cluster 2,0,62.54
aphphgih-1,Cluster 22,0,229.53
mhamjgnm-1,Cluster 17,0,103.05
mhgpgcka-1,Cluster 22,1,197.20
apiaicje-1,Cluster 22,0,175.70
mhhenflp-1,Cluster 3,0,15.99
apjfefig-1,Cluster 17,1,170.06
mhgkdpmh-1,Cluster 10,0,90.76
apidjnjh-1,Cluster 17,0,185.14
apjdffnp-1,Cluster 8,0,194.26
apidnoee-1,Cluster 28,1,144.95
mhhenlki-1,Cluster 10,0,158.81
mhclmpon-1,Cluster 6,0,55.41
mhhhecck-1,Cluster 17,0,76.99
mhclojli-1,Cluster 10,0,120.16
mhcmdcjl-1,Cluster 34,0,74.87
apidlpng-1,Cluster 1,0,79.02
apibhcgl-1,Cluster 10,0,144.64
mhbbofhi-1,Cluster 28,0,199.73
apidmfgl-1,Cluster 17,0,163.69
mhgpngjo-1,Cluster 10,0,150.51
mhchpjco-1,Cluster 6,0,20.82
mhcibhep-1,Cluster 22,0,291.71
apieilna-1,Cluster 22,0,163.65
apiacecp-1,Cluster 17,0,184.87
apicohlm-1,Cluster 17,0,167.53
aphpmkbc-1,Cluster 10,0,124.86
aphpfkbp-1,Cluster 17,0,189.57
appbnckp-1,Cluster 10,0,153.12
mhhfbffh-1,Cluster 17,1,158.59
mhheliia-1,Cluster 10,0,150.73
mhgkdaki-1,Cluster 1,1,67.64
mheghdcb-1,Cluster 35,0,65.93
mhglccnj-1,Cluster 2,1,59.65
mhgnimhn-1,Cluster 7,0,25.74
mhcjonog-1,Cluster 8,0,67.28
mhehgaem-1,Cluster 11,0,76.00
mhgknalh-1,Cluster 7,0,20.46
oigcghmd-1,Cluster 1,0,9.26
mhcjgjcp-1,Cluster 17,1,116.77
oakodfog-1,Cluster 10,0,27.46
mhhcjido-1,Cluster 10,1,120.48
mhhdhbaa-1,Cluster 10,0,140.57
mhcldhfo-1,Cluster 21,0,78.89
appejckp-1,Cluster 10,0,138.54
oalafjgd-1,Cluster 10,0,35.36
oakpkkpn-1,Cluster 19,0,16.30
mhbhdocf-1,Cluster 17,0,200.90
mkkchdfk-1,Cluster 13,2,71.53
ogngjcmd-1,Cluster 1,3,93.29
mhhmonom-1,Cluster 13,17,245.33
obddkgki-1,Cluster 1,0,47.69
miafkgcb-1,Cluster 13,11,155.25
apikgpja-1,Cluster 13,22,282.14
mhhnjoah-1,Cluster 13,7,171.41
miajhdop-1,Cluster 6,11,182.57
