,KO_n,KO_s,KO_l,KO_p
0,Prex2,20.764034,0.5427441,4.9172539662055854e-92
1,Cpe,20.397926,0.46726993,8.031944340670046e-89
2,Ctnnd2,19.447893,0.256335,1.0873327429758422e-80
3,Pnpla7,16.104055,0.8167773,5.4997292839602205e-55
4,Rgs20,16.007378,0.35386702,2.438340032728268e-54
5,Rsrp1,15.6917715,0.71261567,3.4681003620180176e-52
6,Zswim6,13.538194,0.6432672,1.4422512832717012e-38
7,Nfia,13.439688,0.36776266,4.95912329790274e-38
8,Sik3,13.130088,0.45337304,2.9729167407061558e-36
9,Sorbs1,12.839489,0.5736172,1.2700298021066382e-34
10,Gabrb1,12.831988,0.24488914,1.3453853845906845e-34
11,Maml2,12.70955,0.3390809,6.246673855356322e-34
12,Ccnd3,12.649664,0.75252074,1.2931611924173648e-33
13,Vcl,12.086159,0.5782596,1.3890449484995028e-30
14,Glis3,11.996255,0.56926465,3.993335545186068e-30
15,Sesn3,11.985831,0.6944886,4.382794305203435e-30
16,Fam20a,11.948485,0.54147345,6.658819613283954e-30
17,Rmst,11.853152,0.5399364,1.964381522814977e-29
18,Fars2,11.840969,0.58106923,2.2067850093827265e-29
19,Fut8,11.377832,0.5885732,4.8271784102721604e-27
20,Gpm6b,10.976614,0.3068992,4.199133542880585e-25
21,Slc7a11,10.95918,0.54867107,4.961413266753354e-25
22,Zbtb20,10.91273,0.1846551,8.072935390419666e-25
23,Tcf4,10.845442,0.2567581,1.6476761120972612e-24
24,Wnk2,10.785733,0.5250344,3.0847557876558544e-24
25,Tspan7,10.780543,0.3384735,3.1879541945469292e-24
26,Plpp3,10.755417,0.3759467,4.092888770492778e-24
27,Pde8b,10.744387,0.501297,4.510274734774338e-24
28,Tnfrsf19,10.668304,0.5414998,1.0033516865010729e-23
29,Lama2,10.662307,0.43213567,1.0474474548379354e-23
30,Magi3,10.615252,0.5292194,1.699376793353879e-23
31,Ntrk2,10.601086,0.45339248,1.937187060310765e-23
32,Adk,10.591508,0.5118294,2.103096413902013e-23
33,Bmpr1b,10.543911,0.5012938,3.4247408105566906e-23
34,Bcl2,10.502545,0.55394185,5.2109530327477426e-23
35,Gabbr2,10.456796,0.49480167,8.293312754719834e-23
36,Stard13,10.374731,0.52712834,1.9283684580743237e-22
37,Ddah1,10.273981,0.5313705,5.409136691216469e-22
38,Nckap5,10.185303,0.34484887,1.3272934241824688e-21
39,Tef,10.169806,0.54263777,1.5290782135542137e-21
40,Prkd1,10.111622,0.5092866,2.7262419203066254e-21
41,Zhx3,10.032181,0.5091753,6.011593636639191e-21
42,Slc38a11,10.030094,0.67698836,6.037681013747678e-21
43,Mapre2,9.897949,0.5738301,2.2447903371038583e-20
44,Pan3,9.867248,0.5291133,3.0005799139471555e-20
45,Cdk19,9.863843,0.532514,3.0548644790454336e-20
46,Dennd1a,9.634097,0.37084153,2.8900776889075304e-19
47,Fam214a,9.542063,0.57549995,6.836952852747315e-19
48,Nr3c2,9.536708,0.4875928,7.09178992947591e-19
49,Crlf3,9.402878,0.515785,2.4442134949456758e-18
50,Bcar3,9.388634,0.5097598,2.7589645884188376e-18
51,Mir99ahg,9.371369,0.1577555,3.2046798610851527e-18
52,Gldc,9.31953,0.5009841,5.089148299566757e-18
53,Gm36264,9.304052,0.45936304,5.8091366215088785e-18
54,Ngef,9.30066,0.54097354,5.9185850502290224e-18
55,Per3,9.298182,0.5064233,5.979508677795798e-18
56,Csgalnact1,9.289256,0.45527273,6.338121389548305e-18
57,Igf1r,9.284927,0.45662925,6.4834929570781696e-18
58,Zfp608,9.28418,0.46421573,6.4834929570781696e-18
59,Nt5c2,9.229306,0.5400319,1.0705295699883361e-17
60,Akt3,9.175418,0.46798715,1.746576517689119e-17
61,Fgfr2,9.134288,0.4777927,2.5259402103852625e-17
62,Neo1,9.131396,0.5030887,2.5530366405467734e-17
63,Pde7b,9.130586,0.453493,2.5530366405467734e-17
64,Cdh20,9.112527,0.39876172,2.981374915642228e-17
65,Gli3,9.045514,0.42670637,5.4552541276668237e-17
66,Ranbp3l,8.949799,0.47906223,1.2895524465185275e-16
67,Map3k19,8.942687,0.6157179,1.3600493791340595e-16
68,Gm5089,8.914184,0.44536436,1.7403387222864537e-16
69,Pid1,8.879436,0.4644914,2.3539952164850963e-16
70,Lnpep,8.876466,0.53257644,2.39166120406423e-16
71,B3galt1,8.873603,0.2636869,2.4278818752166984e-16
72,Rfx3,8.80951,0.48235184,4.2639351139663733e-16
73,Grina,8.794629,0.50467455,4.817984261984357e-16
74,Rorb,8.78607,0.30630887,5.145782946206635e-16
75,Gpam,8.757471,0.47527474,6.566395145046839e-16
76,Gphn,8.721333,0.28999326,8.950216157302278e-16
77,Kcnn2,8.668853,0.43817773,1.4066992612416652e-15
78,Atxn7l1,8.6567335,0.49097276,1.5490465939416021e-15
79,Gnao1,8.64969,0.20121703,1.6315649019206366e-15
80,Insr,8.643509,0.5125247,1.7056059898868955e-15
81,Klf12,8.63893,0.4431905,1.7582867810002238e-15
82,Ptprt,8.607956,0.28512827,2.2827478436921123e-15
83,Rasa2,8.536552,0.45762795,4.204285854854318e-15
84,Plekha7,8.51311,0.559681,5.092042430659306e-15
85,Gjb6,8.512212,0.5311387,5.092042430659306e-15
86,Ndrg2,8.506749,0.45842162,5.288731074229913e-15
87,Gramd3,8.50036,0.45270386,5.537319852436341e-15
88,Cmip,8.4931755,0.4618739,5.837626811997072e-15
89,Ston2,8.487431,0.45909438,6.0786806191731605e-15
90,Psd3,8.436408,0.46148437,9.332653586437345e-15
91,Neat1,8.402957,0.42842126,1.2307680100130461e-14
92,Ephb1,8.400398,0.4289736,1.2469492302437682e-14
93,Carmil1,8.394063,0.45689404,1.3047023482034775e-14
94,F3,8.392671,0.5554304,1.308974642516337e-14
95,Ctdspl,8.356062,0.4743994,1.7710268904846717e-14
96,Fat3,8.337745,0.43007696,2.0506295546395223e-14
97,Tle1,8.329096,0.53675413,2.1877308662840643e-14
98,Ablim1,8.327623,0.45170096,2.1968070402726846e-14
99,Msi2,8.311143,0.17129663,2.503798576350803e-14
100,Tbl1xr1,8.273183,0.5324686,3.4173630647008604e-14
101,Pantr1,8.263574,0.45722148,3.6742545577278186e-14
102,Hdac4,8.2624855,0.55408794,3.678264188055998e-14
103,Apoe,8.254878,0.4628763,3.8891555174587694e-14
104,Acss1,8.251118,0.39182296,3.9819390115026734e-14
105,Slc43a2,8.246882,0.8209403,4.093351500728819e-14
106,Atp13a4,8.225338,0.44978657,4.8625573749006275e-14
107,Cyp7b1,8.213545,0.47443843,5.283087208535619e-14
108,Peak1,8.207191,0.45981926,5.527974442443519e-14
109,Ttyh1,8.188095,0.45005333,6.43068895487101e-14
110,Zcchc24,8.180192,0.51290786,6.815599193665043e-14
111,Pbxip1,8.162692,0.43673518,7.763827674620446e-14
112,Sox6,8.147101,0.39064413,8.768332375914863e-14
113,Tmcc3,8.1342945,0.44672486,9.676135907379141e-14
114,Akt2,8.127851,0.43841285,1.0131059130683095e-13
115,Lncpint,8.12289,0.4318054,1.0478605146659653e-13
116,Phf21a,8.111412,0.41917697,1.1436011512717058e-13
117,Tle4,8.089579,0.4436726,1.3587852667659979e-13
118,Lhfp,8.077313,0.46384773,1.4921162756050112e-13
119,Hnrnpa2b1,8.049179,0.45112282,1.8653944590779755e-13
120,Hdac9,8.027255,0.4144246,2.215380702994121e-13
121,Scara3,7.9898734,0.5052556,2.9816031112052234e-13
122,Elovl6,7.9682364,0.44224736,3.528628961757324e-13
123,Tbcel,7.946628,0.44587678,4.145318340515126e-13
124,Slco1c1,7.945596,0.3836635,4.152104991962117e-13
125,Zmiz1,7.940071,0.43882126,4.284191445721691e-13
126,Palld,7.928677,0.4126395,4.665381560290088e-13
127,Tcf7l2,7.925399,0.42103648,4.759037661468671e-13
128,Slc27a1,7.9156766,0.4017844,5.112909871002264e-13
129,Ankrd28,7.9011593,0.47130582,5.708343983412623e-13
130,Peli2,7.898435,0.4470012,5.797300654421809e-13
131,Dtna,7.8878436,0.21243781,6.271055802301927e-13
132,Pik3ip1,7.8851585,0.6913836,6.367094276854255e-13
133,Mxi1,7.882509,0.44864193,6.462944587731131e-13
134,Nedd4,7.8645353,0.42946604,7.415611573366152e-13
135,Scg3,7.8551617,0.4271955,7.942513725941115e-13
136,Hdac8,7.834221,0.30664006,9.327209054788298e-13
137,Mboat2,7.8232245,0.43553868,1.011753082054229e-12
138,Pitpnc1,7.8095174,0.24754103,1.1145005568366963e-12
139,Uty,7.7690835,0.6324541,1.5255926709118055e-12
140,Nme7,7.76094,0.53244853,1.6171472099381126e-12
141,Ncoa2,7.73889,0.4280529,1.9124186006783883e-12
142,Gm16751,7.7311416,0.41788515,2.0205648004047587e-12
143,Hivep3,7.728812,0.3472044,2.045841747132509e-12
144,Nhsl1,7.6932435,0.34703016,2.672253532600075e-12
145,Cadm1,7.691791,0.273434,2.6872351847018772e-12
146,Pcca,7.679219,0.43602723,2.947604470241965e-12
147,Timp3,7.6707425,0.5200337,3.131210029059928e-12
148,Grm3,7.663324,0.19933,3.2803042020613354e-12
149,Fgf13,7.66166,0.39616773,3.3045255132715835e-12
150,Pbx1,7.6549816,0.29685095,3.4615318055632908e-12
151,Csrp1,7.6542387,0.4718985,3.462364039665812e-12
152,Clasp2,7.629166,0.37732393,4.183790947160999e-12
153,Npas3,7.6188045,0.14515258,4.50252889325333e-12
154,Fam107a,7.6182833,0.43778345,4.50252889325333e-12
155,Marchf2,7.615273,0.46914762,4.5838094543423845e-12
156,Lpp,7.5957923,0.4078369,5.300377125503264e-12
157,Mcc,7.581536,0.4083644,5.885109905665079e-12
158,Pygb,7.5766964,0.42840916,6.076242480809535e-12
159,Col11a2,7.5587687,0.45402163,6.938217516006768e-12
160,Rgs7,7.549831,0.32054752,7.3922555781717e-12
161,Phka1,7.532466,0.4014073,8.401121653682199e-12
162,Ccdc88a,7.528852,0.35672477,8.591922243645457e-12
163,Ppp2r2b,7.4920087,0.24324575,1.1325762466642964e-11
164,Tbl1x,7.4262342,0.4175738,1.856095163683962e-11
165,Ptprs,7.42278,0.41445044,1.895394683683461e-11
166,Pamr1,7.4084125,0.46515808,2.101666725109064e-11
167,AI480526,7.384753,0.48921272,2.4859793759329173e-11
168,Chchd3,7.37808,0.41576344,2.600646115544869e-11
169,Gng12,7.373811,0.41169357,2.671914037078328e-11
170,Rora,7.3556075,0.1137225,3.0473104110006854e-11
171,Atf7ip,7.3540726,0.46533287,3.067265380549944e-11
172,Senp7,7.323224,0.4195011,3.8431522391121673e-11
173,Arhgap31,7.32001,0.5127816,3.917034945422053e-11
174,Usp54,7.319172,0.4310059,3.922353644943794e-11
175,Dpf3,7.3061223,0.40342352,4.3015561771506084e-11
176,Kmt5b,7.301683,0.43038565,4.4244479547196714e-11
177,Dkk3,7.2895565,0.59362847,4.8181955931621884e-11
178,Cst3,7.2878823,0.5722892,4.855087398367511e-11
179,Cpq,7.2790504,0.39520273,5.1590563435677975e-11
180,Gpr37l1,7.2668157,0.74403125,5.616115308194029e-11
181,Appl2,7.2663074,0.3880943,5.616115308194029e-11
182,Nrcam,7.2630935,0.36998975,5.724244305941745e-11
183,Ube2h,7.260171,0.40252128,5.821965042014397e-11
184,Slc39a12,7.2358694,0.405693,6.933393687900573e-11
185,Gpc6,7.235013,0.31862584,6.944983747553739e-11
186,Acyp2,7.228799,0.4218603,7.236727182932238e-11
187,Ogt,7.217692,0.4036855,7.816884739056655e-11
188,Fam163a,7.209824,0.4040726,8.244248359913738e-11
189,Foxn3,7.206672,0.39174232,8.398921892058848e-11
190,Plxnb1,7.1988277,0.40602607,8.856211857147649e-11
191,Mapk10,7.173265,0.37012306,1.0630546574014232e-10
