names,scores,logfoldchanges,pvals,pvals_adj
Nrg1,19.44154,3.1159952,3.4369233701390897e-84,3.6920576483157485e-80
Csmd1,17.32308,1.9248111,3.1503450500348344e-67,1.2690771240934077e-63
Dscaml1,11.845295,3.9249084,2.2761620132803876e-32,2.157466858881972e-29
Gm29260,11.691774,3.9314551,1.4042121768411735e-31,1.2570429395294582e-28
Zbtb20,11.68305,0.5858158,1.5560941194207506e-31,1.3553579780154737e-28
Trim2,11.629153,2.5275445,2.929879907258282e-31,2.421057430031094e-28
Kif21a,11.432643,2.2396808,2.8723259323931835e-30,2.2039630434103598e-27
Mir99ahg,9.974698,0.53782225,1.966985082855498e-23,1.0061909248441926e-20
Lrp4,9.7607,1.6300795,1.6600572496069998e-22,7.867450732806586e-20
Nrg3,9.754673,1.0413308,1.7616745233407745e-22,8.228041284594658e-20
Kcnip4,9.703531,0.88989776,2.9123976384832463e-22,1.3219413900760505e-19
Meis2,9.581082,0.96753234,9.603285802507864e-22,4.239521802156451e-19
Rtn1,9.432862,2.5556512,3.990480141571388e-21,1.7146827136322814e-18
Eda,9.091269,1.8380933,9.789029515365243e-20,3.668268071996229e-17
Malat1,9.002398,0.46049413,2.2084162417127423e-19,7.996700024907478e-17
Pdzrn3,8.848667,1.8919991,8.857104594559492e-19,3.1366803271304257e-16
Thbs4,8.605243,5.562679,7.615569244781344e-18,2.5565307297038376e-15
Ldb2,8.602851,3.101076,7.776006462324384e-18,2.583477940838432e-15
Gfap,8.579222,2.74147,9.551700255582063e-18,3.14104738914942e-15
Tmem132b,8.572985,2.8559737,1.0083688133320124e-17,3.2496701747250762e-15
Csmd2,8.5686035,1.588556,1.0474765231666518e-17,3.3422797932764044e-15
Nkain2,8.432896,1.2963469,3.372153758662052e-17,1.0349942779085899e-14
Igfbp5,8.323036,3.3135693,8.57383061086495e-17,2.5349434779481168e-14
Cadps,7.9481897,1.4862565,1.8925663996162757e-15,5.082644780036143e-13
Chd7,7.8501735,1.2281162,4.154627740433519e-15,1.0885462454548864e-12
Dlg2,7.788777,0.798964,6.766105798652774e-15,1.7305658061363727e-12
Slc35f1,7.5879607,1.8069233,3.2497949304080323e-14,7.934177365322701e-12
Anks1b,7.5822783,1.1595114,3.395389967661785e-14,8.227310713371154e-12
Ptprd,7.5495424,0.43875635,4.367902844550587e-14,1.042699296083939e-11
Tox3,7.3292494,3.0056012,2.3144544806524937e-13,5.2159387795795744e-11
Tnc,7.223886,1.889214,5.052262921060408e-13,1.1076141303198215e-10
Adamts9,7.1427636,1.6373094,9.147284519860833e-13,1.9267290079840198e-10
Meg3,7.1249127,0.7042889,1.0414652872190222e-12,2.1794351825459368e-10
Dpp10,7.039007,0.6538175,1.9361407248062187e-12,3.949114375843672e-10
Garnl3,7.021597,2.0770857,2.193468851614445e-12,4.41805754256117e-10
Gm17167,6.8352833,1.4907808,8.184317092692462e-12,1.5793771673425148e-09
Lrrtm4,6.6685424,0.7921509,2.5835641496319404e-11,4.8976777558934436e-09
Igf1r,6.6437654,0.8971466,3.057686077649872e-11,5.7625759780364e-09
Sorbs1,6.53448,0.7960052,6.383088111730233e-11,1.1754730318670299e-08
4930578G10Rik,6.505456,1.3532878,7.745810158995358e-11,1.4183194545110422e-08
Ttc28,6.460762,1.0755801,1.0417698873202216e-10,1.8755931932217195e-08
Mgat5,6.376119,0.86395466,1.8163138342077608e-10,3.2519081075007505e-08
Sncaip,6.2686896,3.048888,3.640989189194137e-10,6.377073836965187e-08
Plce1,6.2350926,1.9877048,4.515103844093306e-10,7.823024278687902e-08
Epha5,5.9639835,1.2007997,2.4616161206444127e-09,3.888750133333701e-07
Tenm2,5.9151955,0.6827657,3.3148201385627945e-09,5.185762553663261e-07
Sox2ot,5.660502,0.8623466,1.509310017031148e-08,2.2109333599483096e-06
Phactr1,5.502562,0.48930517,3.743115544358762e-08,5.111414603730925e-06
Pcdh15,5.451516,1.3891202,4.99421866435909e-08,6.791083750898751e-06
Mir670hg,5.4372816,1.517771,5.4099639287016044e-08,7.234311515778698e-06
Ntrk2,5.417938,0.46922228,6.029018326613304e-08,7.995768461389586e-06
Celf2,5.3612866,0.2580346,8.2631257567024e-08,1.0694608584789085e-05
Nrxn3,5.253226,0.49446714,1.4945826144137053e-07,1.8596877959347675e-05
Setbp1,5.233366,0.63469654,1.6645072465807971e-07,2.0552519170712395e-05
Zeb2,5.193704,0.5224992,2.061507864532779e-07,2.5070269415206743e-05
Cttnbp2,5.135024,0.951215,2.821076195042694e-07,3.379733179837951e-05
Grin2b,5.088991,0.83774,3.5997336702132024e-07,4.2338911310204694e-05
Mir100hg,5.0877857,0.2595376,3.6226816863409686e-07,4.2453877347531046e-05
Syt1,5.0803432,0.6092985,3.767535442428288e-07,4.399143648664364e-05
Tspan18,5.0212235,4.2377877,5.134339637263996e-07,5.785467254898839e-05
Sox6,4.9966764,0.4783663,5.832686447745714e-07,6.504151769948135e-05
Creb5,4.920318,1.8491995,8.640373337828019e-07,9.407206471560256e-05
Kcnh7,4.8939724,0.96547467,9.882073909259513e-07,0.00010686899190392829
Chd5,4.861944,3.2779982,1.1623832513976978e-06,0.0001244522426670884
Gm14964,4.836785,1.7068814,1.3195607978931567e-06,0.0001394278224055828
Prkca,4.814725,0.92679226,1.4740273907615915e-06,0.00015524013307867258
Rims1,4.806517,1.0475805,1.5358235077131232e-06,0.00016122144685039354
Ttc3,4.803781,0.6627703,1.5569701554069686e-06,0.00016291064025422198
Bmper,4.799572,2.2859764,1.5900509832046196e-06,0.00016529862269592027
2310014F06Rik,4.791785,3.209573,1.6530400816962807e-06,0.00017129428525024452
