names,scores,logfoldchanges,pvals,pvals_adj
Malat1,16.990929,0.3534259,9.585818837250873e-65,3.861527295851048e-61
Adamts9,14.956137,1.6926574,1.4203634640113194e-50,3.0516035569795193e-47
Ctnna2,14.731366,0.56660753,4.054258362139615e-49,8.166036514792086e-46
Tnc,14.631724,1.8937521,1.7626262432226843e-48,3.341420937666908e-45
Son,13.833622,0.37950158,1.5976899665168065e-43,2.3403979341335056e-40
Grin3a,13.281743,1.9226583,2.9543706658086185e-40,3.967104310292265e-37
Lrp4,13.152515,0.99645996,1.6460517122979912e-39,2.1218923412890944e-36
Robo2,12.108214,1.0887346,9.555128215126866e-34,1.0264437232963116e-30
Ptprd,11.673299,0.3494647,1.7452180919797177e-31,1.7043376803100109e-28
Tenm3,11.584068,0.5597442,4.963353480717321e-31,4.443166461752142e-28
Unc5c,11.464153,1.3087596,1.997027309442387e-30,1.6936368184578897e-27
Gfap,11.420034,2.1580782,3.321041400159684e-30,2.744287210331952e-27
Pdzrn3,10.947246,1.1655608,6.849916585837128e-28,5.01709685935848e-25
Csmd1,10.864901,0.42996794,1.694079911540564e-27,1.213224740204839e-24
Id4,10.499254,0.96198505,8.706507757414422e-26,5.969885648897758e-23
Dpp10,10.484401,0.4115226,1.0188994249675135e-25,6.840848285089178e-23
Cadps,10.139429,0.9811615,3.692525420631757e-24,2.163618486012721e-21
Tprkb,9.719826,1.1088198,2.4820490429765867e-22,1.3791205949656284e-19
Pbx1,9.707562,0.3128719,2.799515970065552e-22,1.5291525621576702e-19
Pdgfd,9.692823,2.7802308,3.2346130379954247e-22,1.7373645729246425e-19
Fgf14,9.336334,0.30939272,9.972738354196282e-21,4.944483676010516e-18
Sorbs1,8.704512,0.45523107,3.1894461384463026e-18,1.37048374271612e-15
Adam23,8.291377,0.8384018,1.1194473295272706e-16,4.3465577215271506e-14
Grik2,8.127925,0.47357824,4.367009410097185e-16,1.655713085402376e-13
Kcnip4,8.033399,0.28791022,9.480908645010343e-16,3.461851596225101e-13
Epha5,7.761246,0.73264825,8.409885791502957e-15,2.7940761794099567e-12
Col11a2,7.5914245,0.84911096,3.164071466570884e-14,9.44153066233147e-12
Dlg2,7.5586834,0.26797011,4.07169558381773e-14,1.1821489511684142e-11
Bmpr1b,7.5123096,0.3872951,5.80932139613973e-14,1.6422543915210095e-11
Ptprt,7.470436,0.23334761,7.992941611311573e-14,2.2205907698942937e-11
Acsl3,7.359301,0.3080013,1.8487535596913312e-13,5.0067042830397085e-11
Mapk4,7.3382006,0.33917028,2.1648447494189206e-13,5.8138709782936295e-11
Zeb2,7.2258444,0.3201837,4.979981677143692e-13,1.3047956870675592e-10
Gm14964,7.201555,1.3036314,5.952980660135509e-13,1.547150868824089e-10
Lrrc4c,7.124891,0.18438978,1.0416326251471967e-12,2.6225542664545866e-10
Cspp1,7.1069546,0.44898564,1.1863160063316306e-12,2.9408773796961123e-10
