names,scores,logfoldchanges,pvals,pvals_adj
Trpm3,36.222557,1.7483968,2.6881198693856104e-287,8.663003903069007e-283
Gria2,29.820147,1.0470833,2.141357574373415e-195,3.450476527466602e-191
Gpc5,24.390663,0.6435048,2.1484581951269438e-131,2.307945408478534e-127
Gm3764,21.64053,0.67760015,7.464167277462627e-104,6.013692971269702e-100
Slc7a10,20.77436,1.2728064,7.384002823023872e-96,4.759285179551806e-92
Lsamp,20.310026,0.32373163,1.048504413493989e-91,5.631691955611797e-88
Rora,20.286743,0.42920157,1.683877496107972e-91,7.752331438153087e-88
Pitpnc1,19.294186,0.6818308,6.01049924049684e-83,2.421254487793646e-79
Luzp2,18.778234,1.119282,1.1380279841882939e-78,4.075025316270683e-75
Nhsl1,17.65567,0.9584465,9.20359691259632e-70,2.966043177022416e-66
Npas3,16.7263,0.40098855,8.431733841276443e-63,2.264412387523466e-59
Mgat4c,15.253146,1.1525149,1.568868027638977e-52,3.611422137622951e-49
Kcnd2,14.303944,0.85437244,2.0675289386867053e-46,3.701680839280914e-43
Gabbr2,14.016886,0.9346944,1.2289085986055538e-44,2.084423021434799e-41
Plcb1,13.851959,0.5254239,1.2378976619358034e-43,1.994686397560257e-40
Atp1a2,13.753429,0.41054896,4.8571484572295106e-43,7.453872539577877e-40
Kirrel3,13.741705,0.6129763,5.711511246712006e-43,8.366585133990355e-40
Nrxn1,13.479507,0.15244937,2.0648013769643095e-41,2.8931458250186436e-38
Itih3,12.941693,1.3112795,2.6179508676778363e-38,3.515362608860568e-35
Tnik,12.734329,0.43899608,3.811096481606645e-37,4.912808252509494e-34
Ddhd1,12.626658,0.46452317,1.5053669010440798e-36,1.7967947822202798e-33
Fry,12.060699,0.7469664,1.7032943159837127e-33,1.829735530706904e-30
Acsbg1,11.974055,0.65489537,4.859409738296293e-33,5.0517483108411174e-30
St3gal4,11.333621,0.4743525,8.94292647645634e-30,8.73344519868965e-27
Cntn1,11.296009,0.95612025,1.3731840881195556e-29,1.3015765767008504e-26
Camk1d,11.21927,0.76596284,3.2796828085136255e-29,3.019838224856246e-26
Ank2,10.691667,0.28422338,1.1135235697484939e-26,9.732340119491351e-24
Wwc1,10.691346,0.6661258,1.117375444258479e-26,9.732340119491351e-24
St6galnac5,10.625255,0.6783256,2.2739108300653284e-26,1.8790083159106498e-23
Slc4a4,10.580997,0.4304103,3.650526638354153e-26,2.869402974981446e-23
Ncam1,10.448334,0.4918782,1.4912193690702207e-25,1.0922165137960456e-22
Rgs7,10.342242,0.515031,4.537918904070866e-25,3.1792067939454737e-22
Ntm,10.166152,0.15754937,2.807840937463163e-24,1.885172706075528e-21
Tmcc3,9.879733,0.8381342,5.096824482357148e-23,3.352150256998445e-20
Vav3,9.860934,0.8328731,6.14745366568309e-23,3.962279785679379e-20
Nim1k,9.671248,0.63126993,3.9947550750876157e-22,2.524293564800953e-19
Grin2c,9.651917,0.58109885,4.8244849552848655e-22,2.9899745510377956e-19
Eps8,9.557151,0.69666314,1.2104265520227521e-21,7.360078583403251e-19
Mdga2,9.219714,0.31437653,2.978924397832546e-20,1.6842420450692886e-17
Srgap1,9.169227,0.9582036,4.76422860218455e-20,2.6471861234931292e-17
Macf1,9.090567,0.2386164,9.852433671758887e-20,5.291906332329561e-17
Atp13a4,8.973799,0.73642457,2.8646123734345104e-19,1.4889977896560316e-16
Pcdh7,8.955283,0.42239988,3.3886455281598763e-19,1.733426657714418e-16
Cep85l,8.94008,0.5811591,3.8889045645494147e-19,1.9582457406520935e-16
