names,scores,logfoldchanges,pvals,pvals_adj
Luzp2,23.412354,1.4144745,3.1987779907343583e-121,1.0308701830739616e-116
Slco1c1,22.399124,1.5380797,4.013967310939993e-111,6.467906226483158e-107
Grm3,21.53477,0.9232078,7.355952525447972e-103,7.902009401253727e-99
Dcc,18.459333,1.4966487,4.387175039220342e-76,2.8277097997790793e-72
Cadm1,17.52109,0.8575436,9.891307277751225e-69,5.312785994001479e-65
Lama3,16.730797,2.2579231,7.818536891164326e-63,3.599542691307896e-59
Dach1,15.389223,2.1116621,1.9333978041207262e-53,7.78845137917483e-50
Gnao1,14.519203,0.5659829,9.156881808617885e-48,3.278875889403651e-44
4930488L21Rik,14.400827,1.2136925,5.112783126507098e-47,1.6476966181794423e-43
Fam13c,14.360311,1.273098,9.181482713475259e-47,2.689924030974247e-43
Dio2,14.21045,1.5280972,7.891700095900792e-46,2.1193818249216236e-42
Tspan7,13.68104,0.7545284,1.3179484547214143e-42,3.267194219254386e-39
Zswim6,13.590824,1.1982063,4.5394231506687875e-42,1.0449427848328787e-38
Lypd6,13.4570675,1.3190241,2.7980307043806093e-41,6.011475700671593e-38
Ptn,13.1801405,0.9494303,1.1417751219611322e-39,2.1644698150259648e-36
Eogt,13.076403,1.7036394,4.492007364991163e-39,8.042440075087235e-36
St6galnac5,13.0540695,1.0809126,6.024139629838971e-39,1.0217891992148449e-35
Unc13c,12.997389,1.3129909,1.265928631724983e-38,2.0398541007300513e-35
Trim9,12.984831,0.8611107,1.4916789536647765e-38,2.2891589352264166e-35
Gm48765,12.954661,1.1824509,2.2110920953041273e-38,3.238948407062096e-35
Lef1,12.773918,1.8797282,2.2931314830172857e-37,3.079197845966586e-34
Qk,12.462925,0.57590204,1.1892722358318613e-35,1.5330670537661358e-32
Fars2,12.363527,1.0826164,4.1168983165909877e-35,5.102895463414529e-32
Cdh13,12.287195,1.6615318,1.0612489499160254e-34,1.266698885516435e-31
Ranbp3l,11.8153,1.2065011,3.2538575279784477e-32,3.6159333294538424e-29
Grid2,11.559219,0.66833436,6.630868626932179e-31,7.123100108004778e-28
Tnfrsf19,11.26424,1.0503588,1.9704484220724393e-29,2.048440041875113e-26
Ncam2,11.254696,0.99418503,2.1958213515062546e-29,2.2113979592185022e-26
Magi3,11.022646,1.009372,2.9719118237582715e-28,2.902297040735085e-25
Frmd4a,11.009506,0.39855945,3.4388493272678917e-28,3.259523449113598e-25
Slc1a3,10.884791,0.45881096,1.3621081905084326e-27,1.2541903044432931e-24
Chrdl1,10.760046,1.6092124,5.3143663331507974e-27,4.757391217179187e-24
Cpeb4,10.732841,0.97651947,7.136800411044063e-27,6.216153158019379e-24
