"Peak.ID","Chr","Start","End","Strand","Peak.Caller.Combination","Peak.Caller.Overlaps","ChIP.Tag.Count","Control.Tag.Count","Fold.Change","Peak.Center","Number.of.Motifs","negLog10_IDR","IDR","Annotation","Detailed.Annotation","Distance.to.TSS","Nearest.PromoterID","Entrez.ID","Nearest.Unigene","Nearest.Refseq","Nearest.Ensembl","Gene.Name","Gene.Alias","Gene.Description","Gene.Type","negLog10_IDR_MACS2_vs_union","negLog10_IDR_GEM_vs_union","negLog10_IDR_HOMER_vs_union","negLog10_IDR_Genrich_vs_union","negLog10_IDR_SEACR_vs_union","negLog10_IDR_SICER2_vs_union","annot_class","details","SYMBOL"
"chr1:10036050-10040449","chr1",10036050,10040449,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,74,1,74,10038189,0,23.840252,0,"promoter-TSS ","promoter-TSS (NM_001277101)",31,"NM_026493",211660,NA,"NM_026493","ENSMUSG00000056763","Cspp1","2310020J12Rik|4930413O22Rik|Cspp2|Cspp3","centrosome and spindle pole associated protein 1","protein-coding",5,2.139261,5,5,5,1.700991,"Promoter",NA,"Cops5"
"chr1:10231282-10234099","chr1",10231282,10234099,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,59,0,59,10232760,0,24.383784,0,"promoter-TSS ","promoter-TSS (NM_001102430)",-20,"NM_001102430",211673,NA,"NM_001102430","ENSMUSG00000067851","Arfgef1","ARFGEP1|BIG1|D130059B05Rik|D730028O18Rik|P200","ADP ribosylation factor guanine nucleotide exchange factor 1","protein-coding",5,2.288572,5,5,5,2.095212,"Promoter",NA,"Arfgef1"
"chr1:104766793-104772722","chr1",104766793,104772722,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,102,1,102,104769566,0,24.553376,0,"intron ","intron (NM_011800, intron 1 of 11)",1237,"NM_011800",23836,NA,"NM_011800","ENSMUSG00000050840","Cdh20","Cdh7","cadherin 20","protein-coding",5,2.468398,5,5,5,2.084978,"Promoter",NA,"Cdh20"
"chr1:105662426-105666199","chr1",105662426,105666199,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,99,1,99,105664082,0,24.593352,0,"promoter-TSS ","promoter-TSS (NM_013784)",451,"NM_173187",227446,NA,"NM_029349","ENSMUSG00000026319","Relch","2310035C23Rik|6430401N10|Kiaa1468|mKIAA1468","RAB11 binding and LisH domain, coiled-coil and HEAT repeat containing","protein-coding",5,2.473835,5,5,5,2.119517,"Promoter",NA,"Pign"
"chr1:105989230-105994949","chr1",105989230,105994949,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,90,0,90,105991259,0,23.850768,0,"intron ","intron (NM_001122675, intron 1 of 12)",1683,"NM_001122676",227449,NA,"NM_001122675","ENSMUSG00000038866","Zcchc2","9930114B20Rik","zinc finger, CCHC domain containing 2","protein-coding",5,2.102207,5,5,5,1.748561,"Promoter",NA,"Gm7160"
"chr1:106170576-106181509","chr1",106170576,106181509,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,46,0,46,106173863,0,24.104431,0,"intron ","intron (NM_133821, intron 1 of 16)",4173,"NM_133821",98432,NA,"NM_133821","ENSMUSG00000044340","Phlpp1","Phlpp|Plekhe1|SCOP|mKIAA0606","PH domain and leucine rich repeat protein phosphatase 1","protein-coding",5,2.239295,5,5,5,1.865136,"Promoter",NA,"Gm20753"
"chr1:106709200-106714820","chr1",106709200,106714820,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,25,0,25,106712885,0,23.960715,0,"TTS ","TTS (NM_177410)",2280,"NM_009741",12043,NA,"NM_009741","ENSMUSG00000057329","Bcl2","Bcl-2|C430015F12Rik|D630044D05Rik|D830018M01Rik","B cell leukemia/lymphoma 2","protein-coding",5,2.062731,5,5,4.978531,1.919453,"Promoter",NA,"Bcl2"
"chr1:106758600-106760949","chr1",106758600,106760949,".","MACS2|HOMER|Genrich|SEACR|SICER2",5,17,1,17,106759685,0,16.419529,0,"promoter-TSS ","promoter-TSS (NM_027534)",-32,"NM_027534",70750,NA,"NM_027534","ENSMUSG00000009905","Kdsr","6330410P18Rik|9430079B08Rik|Fvt1","3-ketodihydrosphingosine reductase","protein-coding",3.414244,0.688389,3.456295,4.327249,3.209219,1.324133,"Promoter",NA,"Kdsr"
"chr1:106795250-106797110","chr1",106795250,106797110,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,35,0,35,106796272,0,23.129922,0,"intron ","intron (NM_009190, intron 1 of 10)",545,"NM_009190",20479,NA,"NM_009190","ENSMUSG00000009907","Vps4b","8030489C12Rik|Skd1","vacuolar protein sorting 4B","protein-coding",5,1.807405,5,5,4.359494,1.963023,"Promoter",NA,"Vps4b"
"chr1:10990250-10998122","chr1",10990250,10998122,".","MACS2|GEM|HOMER|Genrich|SEACR|SICER2",6,79,0,79,10994351,0,23.855447,0,"intron ","intron (NM_029525, intron 1 of 39)",721,"NM_029525",109294,NA,"NM_029525","ENSMUSG00000048960","Prex2","6230420N16Rik|C030045D06Rik|D430013K02|Depdc2|P-Rex2","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2","protein-coding",5,2.214853,5,5,5,1.640594,"Promoter",NA,"Prex2"
